target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2-flat.json,30000,0.85981511,1.09352693,0.05566076,1001,"[636, 161, 29, 3]",8.94966076,3.03554486,0.78453362,13.86326617,13.86326617,17,1.1132662,2320,12662,221,829,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09434620,0.05076856,990,"[614, 170, 34, 3]",8.94476856,3.04039301,0.78375840,13.86326617,13.86326617,17,1.1132662,2290,12692,218,821,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09269253,0.05222695,1028,"[641, 169, 50, 0]",8.94622695,3.04512793,0.77921876,13.86326617,13.86326617,17,1.1132662,2320,12662,217,860,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09210668,0.05063838,968,"[571, 185, 36, 4]",8.94463838,3.04074562,0.78577549,13.86326617,13.86326617,17,1.1132662,2335,12647,221,796,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09549483,0.05128152,976,"[593, 172, 41, 0]",8.94528152,3.03885522,0.78363460,13.86326617,13.86326617,17,1.1132662,2261,12721,219,806,1,51,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09191719,0.05238097,975,"[600, 164, 34, 6]",8.94638097,3.03683427,0.78813374,13.86326617,13.86326617,17,1.1132662,2337,12645,220,804,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09263666,0.05091116,1016,"[648, 172, 28, 0]",8.94491116,2.98203688,0.84368147,13.86326617,13.86326617,17,1.1132662,2322,12660,217,848,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09717265,0.05200850,1030,"[651, 167, 43, 0]",8.94600850,3.04107301,0.77901201,13.86326617,13.86326617,17,1.1132662,2268,12714,218,861,1,51,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09361672,0.05322783,1055,"[671, 179, 31, 3]",8.94722783,3.04251432,0.77990730,13.86326617,13.86326617,17,1.1132662,2280,12702,220,884,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09074359,0.05518850,938,"[584, 136, 46, 1]",8.94918850,3.02878313,0.79455095,13.86326617,13.86326617,17,1.1132662,2369,12613,220,767,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09342991,0.05638878,972,"[592, 182, 33, 1]",8.95038878,3.00658107,0.81286641,13.86326617,13.86326617,17,1.1132662,2310,12672,213,808,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09528700,0.05216053,974,"[589, 174, 31, 6]",8.94616053,3.01132389,0.81049475,13.86326617,13.86326617,17,1.1132662,2261,12721,223,800,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09323874,0.05683345,976,"[604, 177, 27, 0]",8.95083345,3.00350967,0.81568431,13.86326617,13.86326617,17,1.1132662,2305,12677,217,808,1,51,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09413173,0.05464787,963,"[569, 189, 30, 5]",8.94864787,3.01194662,0.80853995,13.86326617,13.86326617,17,1.1132662,2245,12737,219,793,0,50,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09288967,0.05029971,1012,"[624, 179, 35, 3]",8.94429971,3.04227496,0.78380183,13.86326617,13.86326617,17,1.1132662,2374,12608,220,841,1,51,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09118535,0.04890911,923,"[553, 154, 46, 0]",8.94290911,3.04139761,0.78777410,13.86326617,13.86326617,17,1.1132662,2330,12652,219,753,1,51,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09125017,0.05144622,1004,"[633, 167, 33, 0]",8.94544622,3.02771972,0.79885006,13.86326617,13.86326617,17,1.1132662,2401,12581,220,833,12,62,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09233530,0.05096975,992,"[601, 187, 35, 0]",8.94496975,3.00550318,0.82045794,13.86326617,13.86326617,17,1.1132662,2304,12678,218,823,12,62,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09215799,0.05077056,916,"[546, 157, 43, 0]",8.94477056,3.03609866,0.79023896,13.86326617,13.86326617,17,1.1132662,2332,12650,219,746,3,52,0,[]
utxotargetsv2-flat.json,30000,0.85981511,1.09244387,0.05551498,970,"[607, 160, 28, 3]",8.94951498,3.03378865,0.78751867,13.86326617,13.86326617,17,1.1132662,2332,12650,221,798,0,50,0,[]
Mean,30000.00000000,0.85981511,1.09313018,0.05261170,983.95000000,,8.94661170,3.02760261,0.79592166,13.86326617,13.86326617,17.00000000,1.11326619,2314.80000000,12667.20000000,219.00000000,813.95000000,1.60000000,51.54999999,0E-8,
Stdev,0E-8,0E-8,0.00158338,0.00229645,35.16648374,,0.00229645,0.01767654,0.01727871,0E-8,0E-8,0E-8,0E-8,40.14132927,40.14132927,2.10262993,35.41702682,3.63318042,3.61975573,0E-8,
