target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2-refill2500.json,2500,0.85981511,1.06795384,0.03086834,391,"[159, 51, 21, 5]",8.92486834,2.92798380,0.94246019,13.86326617,13.86326617,17,1.1132662,5366,9616,198,236,5,49,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.07000693,0.03693741,583,"[200, 120, 76, 8]",8.93093741,3.42106270,0.44125913,13.86326617,13.86326617,17,1.1132662,5265,9717,199,404,10,31,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05700024,0.03581607,393,"[158, 56, 19, 7]",8.92981607,2.87478208,1.00166778,13.86326617,13.86326617,17,1.1132662,5992,8990,197,240,16,58,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06768914,0.03610301,396,"[158, 49, 21, 12]",8.93010301,2.79974543,1.06572859,13.86326617,13.86326617,17,1.1132662,5488,9494,203,240,6,54,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05724752,0.03853820,398,"[149, 53, 18, 10]",8.93253820,2.93481625,0.93866420,13.86326617,13.86326617,17,1.1132662,5734,9248,213,230,8,54,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06885289,0.03507827,373,"[151, 53, 15, 5]",8.92907827,2.96136858,0.90396643,13.86326617,13.86326617,17,1.1132662,5308,9674,189,224,6,47,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05235407,0.03710144,397,"[157, 54, 42, 5]",8.93110144,2.89932220,0.98048846,13.86326617,13.86326617,17,1.1132662,6068,8914,180,258,12,54,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06915614,0.03334846,399,"[151, 49, 29, 5]",8.92734846,2.87924976,0.98751181,13.86326617,13.86326617,17,1.1132662,5360,9622,210,234,6,52,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06483499,0.03469505,393,"[149, 51, 25, 7]",8.92869505,2.96360236,0.90613377,13.86326617,13.86326617,17,1.1132662,5572,9410,201,232,12,53,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05871378,0.03408682,407,"[149, 54, 25, 7]",8.92808682,3.01517324,0.86129233,13.86326617,13.86326617,17,1.1132662,5988,8994,212,235,20,61,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06725751,0.03427624,399,"[153, 49, 24, 11]",8.92827624,2.92179432,0.94593810,13.86326617,13.86326617,17,1.1132662,5421,9561,206,237,21,66,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06306864,0.03335797,446,"[156, 69, 44, 4]",8.92735797,3.10298187,0.76985769,13.86326617,13.86326617,17,1.1132662,5753,9229,208,273,14,50,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05279522,0.03463491,436,"[167, 66, 39, 6]",8.92863491,2.94800934,0.93382670,13.86326617,13.86326617,17,1.1132662,6272,8710,198,278,2,43,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05741426,0.03399963,390,"[160, 49, 26, 6]",8.92799963,2.89386344,0.98398884,13.86326617,13.86326617,17,1.1132662,5892,9090,194,241,10,56,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06548119,0.03384603,390,"[163, 49, 20, 8]",8.92784603,2.80706088,1.06287807,13.86326617,13.86326617,17,1.1132662,5428,9554,197,240,10,57,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06536217,0.03255877,407,"[161, 56, 20, 19]",8.92655877,2.91209494,0.95925029,13.86326617,13.86326617,17,1.1132662,5467,9515,195,256,9,54,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06496182,0.03453599,390,"[157, 49, 21, 11]",8.92853599,2.84105304,1.02871532,13.86326617,13.86326617,17,1.1132662,5513,9469,199,238,2,50,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.05506161,0.03458564,407,"[157, 50, 25, 8]",8.92858564,2.90052913,0.97908979,13.86326617,13.86326617,17,1.1132662,6059,8923,212,240,15,61,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06678512,0.03715614,401,"[152, 55, 25, 4]",8.93115614,2.93136519,0.93395972,13.86326617,13.86326617,17,1.1132662,5482,9500,209,236,14,59,0,[]
utxotargetsv2-refill2500.json,2500,0.85981511,1.06281237,0.03492337,483,"[172, 69, 37, 6]",8.92892337,3.24634958,0.62518085,13.86326617,13.86326617,17,1.1132662,5759,9223,228,284,17,47,0,[]
Mean,2500.00000000,0.85981511,1.06274047,0.03482238,413.94999999,,8.92882238,2.95911040,0.91259290,13.86326617,13.86326617,17.00000000,1.11326619,5659.35000000,9322.64999999,202.40000000,252.80000000,10.75000000,52.79999999,0E-8,
Stdev,0E-8,0E-8,0.00569870,0.00176752,46.61429078,,0.00176752,0.14744043,0.14882826,0E-8,0E-8,0E-8,0E-8,298.32325720,298.32325720,10.32829531,39.19935552,5.45676788,7.52959074,0E-8,
