target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07147168,0.05593391,1371,"[863, 250, 78, 0]",8.94993391,3.11847526,0.72338532,13.86326617,13.86326617,17,1.1132662,2783,12199,229,1191,9,59,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07360233,0.05649352,1222,"[766, 197, 79, 6]",8.95049352,3.09876958,0.74040074,13.86326617,13.86326617,17,1.1132662,2724,12258,223,1048,0,50,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07352634,0.05643364,1220,"[716, 234, 92, 0]",8.95043364,3.10069608,0.73861011,13.86326617,13.86326617,17,1.1132662,2736,12246,227,1042,9,59,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07378417,0.05365379,1272,"[765, 253, 75, 0]",8.94765379,3.10328595,0.73854226,13.86326617,13.86326617,17,1.1132662,2678,12304,228,1093,7,57,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06870629,0.05762508,1420,"[936, 229, 81, 18]",8.95162508,3.06749579,0.77543901,13.86326617,13.86326617,17,1.1132662,2844,12138,205,1264,2,52,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07214535,0.06018046,1343,"[861, 208, 89, 5]",8.95418046,3.13069045,0.70624991,13.86326617,13.86326617,17,1.1132662,2742,12240,229,1163,1,51,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07617048,0.05500512,1182,"[628, 279, 88, 4]",8.94900512,3.11835426,0.71973631,13.86326617,13.86326617,17,1.1132662,2573,12409,232,999,2,52,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.05854460,0.05729136,1814,"[1365, 196, 73, 2]",8.95129136,3.14060312,0.71282709,13.86326617,13.86326617,17,1.1132662,3203,11779,227,1636,16,66,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07906653,0.05715679,1106,"[611, 217, 90, 7]",8.95115679,3.09993917,0.73310368,13.86326617,13.86326617,17,1.1132662,2511,12471,230,925,13,63,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.05795096,0.05353237,1687,"[1213, 207, 87, 4]",8.94753237,3.14797018,0.70981266,13.86326617,13.86326617,17,1.1132662,3240,11742,225,1511,16,66,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06260647,0.06035435,1742,"[1290, 186, 87, 0]",8.95435435,3.15143960,0.69486575,13.86326617,13.86326617,17,1.1132662,3094,11888,228,1563,8,58,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.08259480,0.05491685,1095,"[611, 193, 89, 1]",8.94891685,3.13823060,0.69352392,13.86326617,13.86326617,17,1.1132662,2410,12572,250,894,17,67,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06634251,0.05790525,1487,"[1003, 225, 76, 1]",8.95190525,3.13807315,0.70694526,13.86326617,13.86326617,17,1.1132662,2927,12055,231,1305,11,61,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07506571,0.05917681,1252,"[778, 213, 81, 9]",8.95317681,3.08624383,0.74877982,13.86326617,13.86326617,17,1.1132662,2669,12313,220,1081,6,56,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07683131,0.05704671,1100,"[603, 220, 99, 11]",8.95104671,3.06697975,0.76840840,13.86326617,13.86326617,17,1.1132662,2582,12400,216,933,5,55,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06257650,0.05920505,1603,"[1117, 233, 77, 0]",8.95320505,3.13440643,0.71307819,13.86326617,13.86326617,17,1.1132662,3049,11933,225,1427,10,60,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.07639614,0.05948202,1236,"[677, 290, 82, 8]",8.95348202,3.12268567,0.71070234,13.86326617,13.86326617,17,1.1132662,2644,12338,228,1057,8,58,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06695878,0.05787508,1462,"[935, 262, 79, 11]",8.95187508,3.11526982,0.72916249,13.86326617,13.86326617,17,1.1132662,2890,12092,224,1287,9,57,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06601407,0.05930099,1516,"[1068, 196, 81, 0]",8.95330099,3.10925477,0.73469634,13.86326617,13.86326617,17,1.1132662,2914,12068,220,1345,7,57,0,[]
utxotargetsv2.2-refill5000-flat.json,5000,0.85981511,1.06826045,0.05533428,1376,"[908, 218, 77, 11]",8.94933428,3.05942987,0.78624157,13.86326617,13.86326617,17,1.1132662,2850,12132,211,1214,4,54,0,[]
Mean,5000.00000000,0.85981511,1.07043077,0.05719517,1375.29999999,,8.95119517,3.11241466,0.72922555,13.86326617,13.86326617,17.00000000,1.11326619,2803.15000000,12178.85000000,225.40000000,1198.90000000,8.00000000,57.89999999,0E-8,
Stdev,0E-8,0E-8,0.00674468,0.00204910,214.71207158,,0.00204910,0.02719970,0.02565168,0E-8,0E-8,0E-8,0E-8,223.66428672,223.66428672,8.97599136,216.49477932,4.95240505,4.95134218,0E-8,
