target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93667271,0.03154017,1144,"[665, 213, 89, 54]",8.92554017,3.15207230,0.84898099,13.86326617,13.86326617,17,1.1132662,12256,2726,156,1021,30,63,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.92935530,0.03236089,1659,"[612, 759, 166, 22]",8.92636089,2.96392970,1.04362028,13.86326617,13.86326617,17,1.1132662,12587,2395,131,1559,15,46,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93713917,0.03506631,1077,"[652, 198, 84, 29]",8.92906631,2.95176351,1.04529718,13.86326617,13.86326617,17,1.1132662,12154,2828,147,963,23,56,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93360483,0.03244894,1489,"[836, 294, 210, 25]",8.92644894,3.77508142,0.22813098,13.86326617,13.86326617,17,1.1132662,12383,2599,131,1365,14,20,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93412259,0.03355620,1189,"[617, 310, 92, 68]",8.92755620,3.02913516,0.97245222,13.86326617,13.86326617,17,1.1132662,12302,2680,132,1087,21,50,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.92738280,0.03385402,1158,"[628, 213, 146, 46]",8.92785402,3.27285865,0.73517070,13.86326617,13.86326617,17,1.1132662,12589,2393,150,1033,22,47,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93979496,0.03432826,1200,"[644, 282, 91, 46]",8.92832826,3.23836286,0.75678009,13.86326617,13.86326617,17,1.1132662,12043,2939,161,1063,29,54,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93494720,0.03204756,1542,"[708, 430, 234, 32]",8.92604756,3.73042760,0.27184381,13.86326617,13.86326617,17,1.1132662,12121,2861,148,1404,21,30,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93616235,0.03635496,1323,"[663, 241, 235, 26]",8.93035496,3.50448360,0.49226526,13.86326617,13.86326617,17,1.1132662,12284,2698,176,1165,29,48,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93437122,0.03577705,1138,"[599, 235, 118, 32]",8.92977705,3.17526554,0.82385236,13.86326617,13.86326617,17,1.1132662,12219,2763,186,984,26,58,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93409843,0.03709318,1623,"[758, 618, 81, 19]",8.93109318,3.99807456,0,13.86326617,13.86326617,17,1.1132662,12406,2576,147,1476,32,32,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93470794,0.03385248,1296,"[741, 288, 82, 20]",8.92785248,3.87004946,0.13065629,13.86326617,13.86326617,17,1.1132662,12557,2425,169,1131,32,37,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93083661,0.03544019,1283,"[627, 345, 160, 19]",8.92944019,3.13244722,0.87054215,13.86326617,13.86326617,17,1.1132662,12511,2471,159,1151,20,47,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.92936787,0.03231694,1100,"[626, 201, 124, 39]",8.92631694,3.06828362,0.93929774,13.86326617,13.86326617,17,1.1132662,12594,2388,138,990,32,60,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93244179,0.03281175,1187,"[652, 251, 135, 30]",8.92681175,3.65671775,0.34729488,13.86326617,13.86326617,17,1.1132662,12429,2553,129,1068,12,20,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93075929,0.03616919,1261,"[757, 205, 118, 25]",8.93016919,3.47129689,0.53104080,13.86326617,13.86326617,17,1.1132662,12514,2468,175,1105,33,53,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93280781,0.03559517,1295,"[662, 334, 150, 20]",8.92959517,3.43184448,0.56901871,13.86326617,13.86326617,17,1.1132662,12466,2516,147,1166,22,41,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93517728,0.03553734,1343,"[616, 422, 165, 33]",8.92953734,3.15721022,0.84134133,13.86326617,13.86326617,17,1.1132662,12290,2692,136,1236,13,42,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93249913,0.03620561,1176,"[607, 220, 222, 24]",8.93020561,3.07373757,0.92682386,13.86326617,13.86326617,17,1.1132662,12372,2610,130,1073,27,55,0,[]
utxotargetsv2.2-refill5000.json,5000,0.85981511,0.93530993,0.03246693,1700,"[887, 512, 137, 18]",8.92646693,4.00148931,0,13.86326617,13.86326617,17,1.1132662,12368,2614,146,1554,30,31,0,[]
Mean,5000.00000000,0.85981511,0.93357796,0.03424115,1309.15000000,,8.92824115,3.38272657,0.61872048,13.86326617,13.86326617,17.00000000,1.11326619,12372.25000000,2609.75000000,149.69999999,1179.70000000,24.14999999,44.50000000,0E-8,
Stdev,0E-8,0E-8,0.00299068,0.00172741,192.07845847,,0.00172741,0.34770993,0.34812025,0E-8,0E-8,0E-8,0E-8,162.97945463,162.97945463,16.96466916,189.56767990,6.86926794,12.67197488,0E-8,
