target_file,bucket_refill_feerate,minimum_total_fees,simulated_total_fees,simulated_total_excess,utxos_count,target_counts,total_sent_value,total_utxo_value,total_pending_utxo_value,total_utxo_value+total_sent_value+total_fees+total_pending_utxo_value,total_funding_value,received_utxos,received_utxos_value,total_changeless,total_with_change,utxos_not_in_buckets,utxos_in_buckets,small_change_outputs_not_in_buckets,small_utxos_not_in_buckets,failure_count,failures
utxotargetsv2.json,30000,0.85981511,1.07555165,0.02751967,759,"[228, 96, 254, 29]",8.92151967,3.50185007,0.36434478,13.86326617,13.86326617,17,1.1132662,6003,8979,169,607,0,18,0,[]
utxotargetsv2.json,30000,0.85981511,1.07814244,0.02773503,457,"[149, 52, 66, 39]",8.92173503,3.04355254,0.81983616,13.86326617,13.86326617,17,1.1132662,5609,9373,193,306,0,43,0,[]
utxotargetsv2.json,30000,0.85981511,1.07820724,0.02708509,480,"[152, 49, 107, 13]",8.92108509,2.97620098,0.88777286,13.86326617,13.86326617,17,1.1132662,5581,9401,204,321,1,47,0,[]
utxotargetsv2.json,30000,0.85981511,1.07866249,0.02464237,421,"[154, 50, 27, 14]",8.91864237,3.05745945,0.80850186,13.86326617,13.86326617,17,1.1132662,5526,9456,221,245,0,46,0,[]
utxotargetsv2.json,30000,0.85981511,1.07214316,0.02784913,506,"[153, 61, 81, 42]",8.92184913,3.08457491,0.78469897,13.86326617,13.86326617,17,1.1132662,5862,9120,227,337,22,81,0,[]
utxotargetsv2.json,30000,0.85981511,1.07544544,0.02760287,441,"[149, 52, 66, 7]",8.92160287,3.03701227,0.82920559,13.86326617,13.86326617,17,1.1132662,5864,9118,212,274,0,46,0,[]
utxotargetsv2.json,30000,0.85981511,1.09234161,0.02481411,477,"[149, 87, 26, 32]",8.91881411,3.24375015,0.60836030,13.86326617,13.86326617,17,1.1132662,5085,9897,217,294,32,67,0,[]
utxotargetsv2.json,30000,0.85981511,1.08112122,0.03325001,470,"[149, 50, 76, 22]",8.92725001,3.02390072,0.83099422,13.86326617,13.86326617,17,1.1132662,5735,9247,218,297,33,79,0,[]
utxotargetsv2.json,30000,0.85981511,1.07430673,0.02692377,375,"[160, 50, 21, 7]",8.92092377,2.84118948,1.02684619,13.86326617,13.86326617,17,1.1132662,5938,9044,186,238,0,50,0,[]
utxotargetsv2.json,30000,0.85981511,1.07823886,0.02461005,412,"[150, 54, 22, 36]",8.91861005,2.98110605,0.88531121,13.86326617,13.86326617,17,1.1132662,5691,9291,199,262,1,51,0,[]
utxotargetsv2.json,30000,0.85981511,1.06955474,0.02928386,465,"[149, 50, 55, 73]",8.92328386,3.00492167,0.86550590,13.86326617,13.86326617,17,1.1132662,6114,8868,183,327,17,63,0,[]
utxotargetsv2.json,30000,0.85981511,1.07638211,0.02636851,440,"[153, 49, 53, 9]",8.92036851,3.03589276,0.83062279,13.86326617,13.86326617,17,1.1132662,5714,9268,260,264,43,90,0,[]
utxotargetsv2.json,30000,0.85981511,1.07888981,0.02605212,486,"[153, 56, 85, 12]",8.92005212,3.07816517,0.78615907,13.86326617,13.86326617,17,1.1132662,5807,9175,222,306,1,44,0,[]
utxotargetsv2.json,30000,0.85981511,1.07874591,0.02714203,408,"[153, 61, 21, 3]",8.92114203,3.07428805,0.78909018,13.86326617,13.86326617,17,1.1132662,5659,9323,212,238,0,43,0,[]
utxotargetsv2.json,30000,0.85981511,1.07761720,0.03003256,562,"[160, 51, 141, 53]",8.92403256,3.05954920,0.80206721,13.86326617,13.86326617,17,1.1132662,5761,9221,228,405,0,72,0,[]
utxotargetsv2.json,30000,0.85981511,1.08522014,0.02697543,486,"[149, 53, 98, 11]",8.92097543,3.02208609,0.83498451,13.86326617,13.86326617,17,1.1132662,5197,9785,220,311,24,70,0,[]
utxotargetsv2.json,30000,0.85981511,1.06001920,0.02686564,395,"[163, 50, 21, 25]",8.92086564,2.94210702,0.94027431,13.86326617,13.86326617,17,1.1132662,6576,8406,181,259,0,46,0,[]
utxotargetsv2.json,30000,0.85981511,1.07757679,0.02884369,414,"[149, 52, 31, 8]",8.92284369,2.97718277,0.88566292,13.86326617,13.86326617,17,1.1132662,5721,9261,221,240,32,80,0,[]
utxotargetsv2.json,30000,0.85981511,1.07691018,0.02578126,457,"[153, 51, 66, 22]",8.91978126,3.00514324,0.86143149,13.86326617,13.86326617,17,1.1132662,5720,9262,210,292,4,50,0,[]
utxotargetsv2.json,30000,0.85981511,1.07303353,0.02775809,410,"[156, 51, 29, 3]",8.92175809,3.01066126,0.85781329,13.86326617,13.86326617,17,1.1132662,5841,9141,219,239,6,55,0,[]
Mean,30000.00000000,0.85981511,1.07690552,0.02735676,466.05000000,,8.92135676,3.05002969,0.81497419,13.86326617,13.86326617,17.00000000,1.11326619,5750.19999999,9231.79999999,210.09999999,303.10000000,10.80000000,57.04999999,0E-8,
Stdev,0E-8,0E-8,0.00619590,0.00199579,81.66972962,,0.00199579,0.13030977,0.13216621,0E-8,0E-8,0E-8,0E-8,308.90223287,308.90223287,20.61399626,83.05160095,14.61289985,17.60823670,0E-8,
