id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00000171,0.00001476,0.0000154054054054,bnb,1,0,1,,225,224,91
1,0.00200000,0.00000665,0.00001929,0.0000195014662757,bnb,5,0,1,,224,219,560
2,0.00050000,0.00000605,0.00002645,0.0000267699115044,bnb,3,0,1,,219,216,462
3,0.00010000,0.00000249,0.00001495,0.0000224324324324,bnb,1,0,1,,216,215,168
4,0.00050000,0.00000358,0.00001567,0.0000158407079646,bnb,3,0,1,,215,212,273
5,0.00010000,0.00000912,0.00006764,0.0000821621621622,bnb,1,0,1,,212,211,546
6,0.00050000,0.00000629,0.00002742,0.0000278318584071,bnb,3,0,1,,211,208,480
7,0.00050000,0.00001403,0.00007933,0.000126396396396,bnb,1,0,1,,208,207,974
8,0.00050000,0.00001423,0.00006232,0.0000629646017699,bnb,3,0,1,,207,204,1086
9,0.00010000,0.00000938,0.00006222,0.0000845045045045,bnb,1,0,1,,204,203,602
10,0.00050000,0.00000637,0.00002788,0.0000281858407080,bnb,3,0,1,,203,200,486
11,0.01000000,0.00000454,0.00002926,0.0000294805194805,cg,1,0,2,0.00041683,200,200,876
12,0.00010000,0.00000652,0.00001991,0.00002000,cg,1,0,6,0.01021608,199,204,782
13,0.00050000,0.00001062,0.00004646,0.0000469911504425,bnb,3,0,1,,198,201,811
14,0.00010000,0.00001292,0.00009401,0.000116396396396,bnb,1,0,1,,195,200,784
15,0.00010000,0.00001300,0.00007884,0.000117117117117,bnb,1,0,1,,194,199,874
16,0.00010000,0.00001446,0.00006785,0.000130270270270,bnb,1,0,1,,193,198,1079
17,0.00050000,0.00000922,0.00004025,0.0000407964601770,bnb,3,0,1,,192,195,704
18,0.00010000,0.00000342,0.00002205,0.0000222077922078,cg,1,0,2,0.00039208,189,195,803
19,0.00010000,0.00000233,0.00001499,0.0000151298701299,knapsack,1,0,2,0.00011227,188,195,732
20,0.00010000,0.00000715,0.00004611,0.0000464285714286,cg,1,0,2,0.00039091,187,195,1047
21,0.00010000,0.00001477,0.00006753,0.000133063063063,bnb,1,0,1,,186,194,1112
22,0.00050000,0.00001564,0.00010060,0.000140900900901,bnb,1,0,1,,185,193,1020
23,0.00010000,0.00001591,0.00010498,0.000143333333333,bnb,1,0,1,,184,192,1024
24,0.00010000,0.00001695,0.00010539,0.000152702702703,bnb,1,0,1,,183,191,1125
25,0.00050000,0.00000548,0.00002392,0.0000242477876106,bnb,3,0,1,,182,188,418
26,0.00010000,0.00001000,0.00006448,0.0000649350649351,cg,1,0,2,0.00039138,179,188,1232
27,0.00200000,0.00001566,0.00010103,0.000101688311688,cg,1,0,2,0.00014283,178,188,1601
28,0.00010000,0.00001797,0.00008057,0.000161891891892,bnb,1,0,1,,177,187,1361
29,0.00010000,0.00001837,0.00010471,0.000165495495495,bnb,1,0,1,,176,186,1271
30,0.00050000,0.00001289,0.00008310,0.0000837012987013,knapsack,1,0,2,0.00016744,175,186,1420
31,0.00200000,0.00001357,0.00008749,0.0000881168831169,cg,1,0,2,0.00027517,174,186,1465
32,0.00010000,0.00000678,0.00003422,0.0000344162436548,cg,1,0,3,0.00016309,173,187,927
33,0.00050000,0.00000363,0.00001573,0.0000160619469027,bnb,3,0,1,,172,184,278
34,0.00200000,0.00000945,0.00002736,0.0000277126099707,bnb,5,0,1,,169,179,797
35,0.00050000,0.00000484,0.00002119,0.0000214159292035,bnb,3,0,1,,164,176,369
36,0.00050000,0.00005366,0.00001993,0.0000199405425492,manual,1,0,61,0.00024085,161,235,782
37,0.00010000,0.00001049,0.00006764,0.0000681168831169,knapsack,1,0,2,0.00011603,160,236,1264
38,0.00010000,0.00000829,0.00005342,0.0000538311688312,cg,1,0,2,0.00042641,161,236,1120
39,0.00050000,0.00000507,0.00002215,0.0000224336283186,bnb,3,0,1,,160,233,387
40,0.00050000,0.00001364,0.00005971,0.0000603539823009,bnb,3,0,1,,157,230,1041
41,0.00010000,0.00001850,0.00015817,0.000166666666667,bnb,1,0,1,,154,229,995
42,0.00010000,0.00002357,0.00020127,0.000212342342342,bnb,1,0,1,,153,228,1270
43,0.00010000,0.00001603,0.00013044,0.000144414414414,bnb,1,0,1,,152,227,898
44,0.00010000,0.00001933,0.00013783,0.000174144144144,bnb,1,0,1,,151,226,1188
45,0.00010000,0.00001938,0.00017079,0.000174594594595,bnb,1,0,1,,150,225,1015
46,0.00010000,0.00001985,0.00012831,0.000178828828829,bnb,1,0,1,,149,224,1292
47,0.00010000,0.00002211,0.00011481,0.000199189189189,bnb,1,0,1,,148,223,1591
48,0.00010000,0.00002226,0.00017907,0.000200540540541,bnb,1,0,1,,147,222,1259
49,0.00050000,0.00003890,0.00022791,0.000350450450450,bnb,1,0,1,,146,221,2659
50,0.00010000,0.00002895,0.00024160,0.000260810810811,bnb,1,0,1,,145,220,1590
51,0.00010000,0.00003534,0.00027934,0.000318378378378,bnb,1,0,1,,144,219,2025
52,0.00050000,0.00003939,0.00025222,0.000354864864865,bnb,1,0,1,,143,218,2577
53,0.00010000,0.00002541,0.00020389,0.000228918918919,bnb,1,0,1,,142,217,1439
54,0.00010000,0.00002248,0.00018122,0.000202522522523,bnb,1,0,1,,141,216,1269
55,0.00010000,0.00003127,0.00025260,0.000281711711712,bnb,1,0,1,,140,215,1762
56,0.00050000,0.00007850,0.00019006,0.000190533980583,cg,1,0,8,0.00023182,139,221,2501
57,0.00050000,0.00005488,0.00014830,0.000148726287263,cg,1,0,7,0.00019733,138,226,2079
58,0.00050000,0.00012073,0.00016908,0.000169326788219,cg,1,0,15,0.00207046,137,239,2289
59,0.00010000,0.00002562,0.00018578,0.000230810810811,bnb,1,0,1,,136,238,1558
60,0.00010000,0.00002613,0.00016808,0.000235405405405,bnb,1,0,1,,135,237,1705
61,0.00010000,0.00004695,0.00016531,0.000165901060071,cg,1,0,5,0.01127756,134,240,2250
62,0.00050000,0.00003302,0.00016675,0.000167614213198,cg,1,0,3,0.01210087,133,241,2266
63,0.00010000,0.00003838,0.00022774,0.000345765765766,bnb,1,0,1,,133,240,2608
64,0.00010000,0.00004025,0.00025488,0.000362612612613,bnb,1,0,1,,137,239,2648
65,0.00010000,0.00004184,0.00024158,0.000376936936937,bnb,1,0,1,,136,238,2879
66,0.00010000,0.00006243,0.00019090,0.000191503067485,cg,1,0,6,0.01121441,135,242,2509
67,0.00010000,0.00001911,0.00012449,0.000172162162162,bnb,1,0,1,,134,242,1238
68,0.00200000,0.00002348,0.00012827,0.000211531531532,bnb,1,0,1,,134,241,1655
69,0.00010000,0.00002565,0.00016547,0.000166558441558,cg,1,0,2,0.00231649,133,241,2252
70,0.00010000,0.00003140,0.00020258,0.000203896103896,cg,1,0,2,0.00206260,132,241,2627
71,0.00050000,0.00003878,0.00022367,0.000229467455621,bnb,2,0,1,,132,239,2670
72,0.00010000,0.00002864,0.00018471,0.000185974025974,cg,1,0,2,0.00208399,131,239,2447
73,0.00010000,0.00001925,0.00012415,0.000125000,cg,1,0,2,0.00233123,131,239,1835
74,0.00050000,0.00001074,0.00005794,0.0000635502958580,bnb,2,0,1,,130,237,761
75,0.00010000,0.00000500,0.00003221,0.0000324675324675,cg,1,0,2,0.00226493,128,237,906
76,0.00010000,0.00001227,0.00005433,0.000110540540541,bnb,1,0,1,,127,236,933
77,0.00050000,0.00003639,0.00011128,0.000111625766871,cg,1,0,6,0.00224875,126,240,1705
78,0.00200000,0.00003266,0.00021068,0.000212077922078,cg,1,0,2,0.00020714,125,241,2708
79,0.00050000,0.00001568,0.00010115,0.000101818181818,cg,1,0,2,0.00970040,126,241,1602
80,0.00010000,0.00000982,0.00004628,0.0000463207547170,srd,2,0,2,0.00064675,126,240,1318
81,0.00010000,0.00000481,0.00002268,0.0000226886792453,srd,2,0,2,0.00087054,125,239,942
82,0.00010000,0.00000999,0.00004712,0.0000471226415094,srd,2,0,2,0.00069750,123,238,1331
83,0.00050000,0.00003311,0.00015844,0.000195917159763,bnb,2,0,1,,121,236,2455
84,0.00010000,0.00004253,0.00030512,0.000383153153153,bnb,1,0,1,,120,235,2605
85,0.00010000,0.00004283,0.00031108,0.000385855855856,bnb,1,0,1,,120,234,2603
