Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,1.78551388,215.836000000,189,1,622,498,0,179,bnb: **319** ; Total: **319**,0.00010110,0.01397619,0.00216843608939,0.00364111484993,0.02630715,0.0000528256024096,0.00128520000,0.02759235000,1,5,1.24899598394,0.681937850080,113,2.24297188755,6.20014934616,bnb: **319** ; cg: **145** ; knapsack: **28** ; manual: **2** ; srd: **4**
bustabit-2019-2020-tiny-utxotargets,1.71216492,215.903000000,140,1,1162,998,0,313,bnb: **685** ; Total: **685**,0.00010110,0.01397619,0.00230105984026,0.00389485634861,0.07768065,0.0000778363226453,0.000952000000,0.078632650000,1,5,1.16432865731,0.558557121856,113,2.17334669339,5.80033989095,bnb: **685** ; cg: **258** ; knapsack: **47** ; manual: **3** ; srd: **5**
bustabit-2019-2020-tiny-utxotargets,1.18277776,220.742000000,115,1,1737,1498,0,520,bnb: **976** ; knapsack: **2** ; Total: **978**,0.00010110,0.49985315,0.00389653263462,0.0270525466602,0.11865774,0.0000792107743658,0.000782000000,0.119439740000,1,5,1.15954606142,0.536489798121,113,2.16288384513,5.20971398455,bnb: **976** ; cg: **439** ; knapsack: **74** ; manual: **4** ; srd: **5**
bustabit-2019-2020-tiny-utxotargets,2.45251912,223.493500000,192,1,2274,1998,0,781,bnb: **1215** ; knapsack: **2** ; Total: **1217**,0.00010110,0.49985315,0.00659813079385,0.0440569810910,0.14737260,0.0000737600600601,0.00130560000,0.14867820000,1,5,1.13813813814,0.495282640801,113,2.14164164164,4.87289188477,bnb: **1215** ; cg: **674** ; knapsack: **96** ; manual: **4** ; srd: **9**
bustabit-2019-2020-tiny-utxotargets,2.42755797,224.835200000,191,1,2813,2498,0,960,bnb: **1535** ; knapsack: **3** ; Total: **1538**,0.00010110,0.49985315,0.0112322562708,0.0623038463044,0.19827840,0.0000793748598879,0.00129880000,0.19957720000,1,7,1.12610088070,0.481653066681,113,2.13130504404,4.71735910765,bnb: **1535** ; cg: **837** ; knapsack: **111** ; manual: **4** ; srd: **11**
bustabit-2019-2020-tiny-utxotargets,2.49642290,226.970666667,185,3,3362,2996,0,1195,bnb: **1796** ; knapsack: **5** ; Total: **1801**,0.00010110,0.49985315,0.0113974463264,0.0624665762561,0.23793378,0.0000794171495327,0.00125800000,0.23919178000,1,7,1.12216288385,0.475541474877,113,2.12383177570,4.60670406484,bnb: **1796** ; cg: **1040** ; knapsack: **140** ; manual: **6** ; srd: **14**
bustabit-2019-2020-tiny-utxotargets,3.42747673,229.642000000,201,5,3891,3494,0,1430,bnb: **2059** ; knapsack: **5** ; Total: **2064**,0.00010110,0.49985315,0.0113336530629,0.0605724574398,0.27178649,0.0000777866313681,0.00136680000,0.27315329000,1,7,1.11362335432,0.458994634533,113,2.11247853463,4.36164987996,bnb: **2059** ; cg: **1238** ; knapsack: **176** ; manual: **6** ; srd: **15**
bustabit-2019-2020-tiny-utxotargets,4.51715462,230.766000000,190,5,4431,3994,0,1629,bnb: **2360** ; knapsack: **5** ; Total: **2365**,0.00010110,0.49985315,0.0116752382689,0.0609590731348,0.31994608,0.0000801066800200,0.00129200000,0.32123808000,1,7,1.10941412118,0.450723888097,113,2.11116675013,4.21945697582,bnb: **2360** ; cg: **1409** ; knapsack: **204** ; manual: **6** ; srd: **15**
bustabit-2019-2020-tiny-utxotargets,3.86172832,231.987333333,197,7,4970,4492,0,1830,bnb: **2657** ; knapsack: **5** ; Total: **2662**,0.00010110,0.49985315,0.0108272720492,0.0579250071322,0.36254514,0.0000807090694568,0.00133960000,0.36388474000,1,7,1.10641139804,0.442441997712,113,2.10351736420,4.14684971967,bnb: **2657** ; cg: **1576** ; knapsack: **237** ; manual: **7** ; srd: **15**
bustabit-2019-2020-tiny-utxotargets,3.68604761,232.512600000,186,7,5488,4992,0,2058,bnb: **2929** ; knapsack: **5** ; Total: **2934**,0.00010110,0.49985315,0.00989736891642,0.0548147952610,0.39734655,0.0000795966646635,0.00126480000,0.39861135000,1,7,1.09935897436,0.426228338825,113,2.09935897436,4.07824488428,bnb: **2929** ; cg: **1761** ; knapsack: **279** ; manual: **8** ; srd: **15**
bustabit-2019-2020-tiny-utxotargets,0.99951385,233.121454545,197,7,6008,5492,0,2281,bnb: **3206** ; knapsack: **5** ; Total: **3211**,0.00010110,0.49985315,0.00979277078474,0.0540390662430,0.43428005,0.0000790750273125,0.00133960000,0.43561965000,1,7,1.09395484341,0.411437132152,113,2.09577567371,3.98150939284,bnb: **3206** ; cg: **1945** ; knapsack: **317** ; manual: **8** ; srd: **16**
bustabit-2019-2020-tiny-utxotargets,3.40296109,233.426833333,178,9,6519,5990,0,2463,bnb: **3522** ; knapsack: **5** ; Total: **3527**,0.00010110,0.49985315,0.00926789945189,0.0520771563652,0.48311498,0.0000806535859766,0.00121040000,0.48432538000,1,7,1.08831385643,0.398754524913,113,2.08146911519,3.90097502212,bnb: **3522** ; cg: **2101** ; knapsack: **341** ; manual: **8** ; srd: **18**
bustabit-2019-2020-tiny-utxotargets,2.34082763,233.759538462,146,9,7060,6490,0,2701,bnb: **3784** ; knapsack: **5** ; Total: **3789**,0.00010110,0.49985315,0.00925063143280,0.0517536381214,0.52372010,0.0000806964714946,0.000992800000,0.524712900000,1,7,1.08782742681,0.393336852974,113,2.08690292758,3.85771331672,bnb: **3784** ; cg: **2305** ; knapsack: **375** ; manual: **8** ; srd: **18**
bustabit-2019-2020-tiny-utxotargets,2.52159223,234.018142857,202,11,7595,6988,0,2924,bnb: **4059** ; knapsack: **5** ; Total: **4064**,0.00010110,0.49985315,0.00887991993844,0.0503386429654,0.55313412,0.0000791548540355,0.00137360000,0.55450772000,1,7,1.08686319405,0.389550434153,113,2.08743560389,3.82928941174,bnb: **4059** ; cg: **2496** ; knapsack: **406** ; manual: **9** ; srd: **18**
bustabit-2019-2020-tiny-utxotargets,2.68259071,233.539733333,148,13,8113,7486,0,3094,bnb: **4387** ; knapsack: **5** ; Total: **4392**,0.00010110,0.49985315,0.00897080517453,0.0507451603194,0.60155721,0.0000803576289073,0.00100640000,0.60256361000,1,7,1.08375634518,0.380641228762,113,2.08295484905,3.92612960295,bnb: **4387** ; cg: **2645** ; knapsack: **423** ; manual: **12** ; srd: **19**
