id,input_amounts
0,['0.00010196']
1,"['0.00072740', '0.00024074', '0.00017603', '0.00072680', '0.00013570']"
2,['0.00050462']
3,['0.00010224']
4,"['0.00017367', '0.00009207', '0.00023785']"
5,['0.00010920']
6,['0.00050475']
7,['0.00050990']
8,['0.00051194']
9,['0.00010730']
10,['0.00050539']
11,['0.01062706']
12,['0.00010293']
13,"['0.00011284', '0.00023741', '0.00016038']"
14,['0.00011077']
15,['0.00011170']
16,['0.00011407']
17,"['0.00009630', '0.00023652', '0.00017638']"
18,['0.00010297']
19,['0.00010319']
20,['0.01266930']
21,['0.00011450']
22,['0.00051695']
23,['0.00011489']
24,['0.00011697']
25,"['0.00023668', '0.00009759', '0.00017121']"
26,['0.00052405']
27,['0.33670890']
28,['0.00011704']
29,['0.00012019']
30,['0.00064107']
31,['0.01095218']
32,['0.01227146']
33,"['0.00023307', '0.00013846', '0.00013210']"
34,"['0.00072001', '0.00059828', '0.00068837']"
35,"['0.00009981', '0.00022747', '0.00017756']"
36,"['0.00012419', '0.00015395', '0.00022644']"
37,['0.49996900']
38,['0.00020896']
39,"['0.00022606', '0.00015060', '0.00012845']"
40,"['0.00014136', '0.00023728', '0.00013500']"
41,['0.00012059']
42,['0.00012332']
43,['0.00012432']
44,['0.00012463']
45,['0.00012749']
46,['0.00053491']
47,['0.00021637']
48,['0.00013233']
49,['0.00053548']
50,['0.00013735']
51,['0.00013811']
52,['0.00054269']
53,['0.00055319']
54,['0.00056945']
55,['0.00013975']
56,['0.00199789']
57,['0.00071784']
58,['0.00200211']
59,['0.00056960']
60,['0.00203861']
61,['0.00221897']
62,['0.01366345']
63,['0.00014048']
64,['0.00014054']
65,['0.00014137']
66,['0.49996900']
67,['0.00057347']
68,"['0.00064870', '0.00067169', '0.00070957']"
69,['0.00204613']
70,"['0.00017288', '0.00237869']"
71,"['0.00045416', '0.00009149']"
72,['0.00231085']
73,['0.49996900']
74,"['0.00011710', '0.00021792', '0.00017822']"
75,['0.00057407']
76,['0.00023859']
77,['0.00065964']
78,['0.01220248']
79,['0.00245421']
80,['0.49996900']
81,['0.00021754']
82,['0.00057491']
83,['0.00205026']
84,['0.00014004']
85,['0.00014111']
86,['0.00054098']
87,['0.00014384']
88,['0.00014233']
89,['0.00014461']
90,['0.00822610']
91,['0.00019004']
92,['0.00021147']
93,['0.00020576']
94,['0.00020410']
95,['0.00020936']
96,['0.00021093']
97,['0.00060407']
98,['0.00020724']
99,['0.00019363']
100,['0.00020266']
101,['0.00225353']
102,['0.00013306']
103,['0.00014468']
104,['0.00056181']
105,['0.00015694']
106,['0.00058254']
107,['0.00016148']
108,['0.00015645']
109,['0.00058446']
110,['0.01094429']
111,['0.30938406']
112,['0.00020412']
113,['0.00060054']
114,['0.00017132']
115,['0.00014898']
116,['0.00014499']
117,['0.00014593']
118,['0.00015576']
119,['0.00015002']
120,['0.00014721']
121,['0.00015223']
122,['0.00015858']
123,['0.00054887']
124,['0.00015128']
125,['0.00224841']
126,['0.00018696']
127,['0.00018565']
128,['0.00020283']
129,['0.00061611']
130,['0.00020469']
131,['0.00018861']
132,['0.00018881']
133,['0.00022968']
134,['0.00026296']
135,['0.00066247']
136,['0.00028916']
137,['0.00063261']
138,['0.00065096']
139,['0.00065359']
140,['0.00023361']
141,['0.00065563']
142,['0.00030013']
143,['0.00101362']
144,['0.00024137']
145,['0.00061997']
146,['0.00024030']
147,['0.00120889']
148,['0.00065979']
149,['0.00069818']
150,['0.00072588']
151,['0.00071016']
152,['0.00122039']
153,['0.00224931']
154,['0.00193852']
155,['0.00019739']
156,['0.00017530']
157,['0.00017017']
158,['0.00058529']
159,['0.00017364']
160,['0.00017556']
161,['0.00018195']
162,['0.00017069']
163,['0.00018002']
164,['0.00017357']
165,['0.00016367']
