----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 2.56693075 | 231.052000000 | 187 | 1 | 587 | 498 | 0 | 202 | bnb: **294** ; knapsack: **2** ; Total: **296** | 0.00009495 | 0.49986182 | 0.0446862651980 | 0.129215430027 | 0.02229137 | 0.0000447617871486 | 0.00127160000 | 0.02356297000 | 1 | 6 | 1.17871485944 | 0.603634827566 | 2 | 1.40562248996 | 0.491505831042 | bnb: **294** ; cg: **157** ; knapsack: **46** ; srd: **1** |
| bustabit-2019-2020-tiny-utxotargets | 2.74865736 | 230.020000000 | 180 | 1 | 1127 | 998 | 0 | 346 | bnb: **649** ; knapsack: **3** ; Total: **652** | 0.00006550 | 0.49986182 | 0.0501574220231 | 0.133882791649 | 0.06471924 | 0.0000648489378758 | 0.00122400000 | 0.06594324000 | 1 | 6 | 1.12925851703 | 0.510988236887 | 2 | 1.34669338677 | 0.476155710833 | bnb: **649** ; cg: **283** ; knapsack: **64** ; srd: **1** ; manual: **1** |
| bustabit-2019-2020-tiny-utxotargets | 1.89959191 | 232.750666667 | 136 | 1 | 1671 | 1498 | 0 | 572 | bnb: **923** ; knapsack: **3** ; Total: **926** | 0.00006550 | 0.49986182 | 0.0412107705420 | 0.119812683978 | 0.09850982 | 0.0000657608945260 | 0.000924800000 | 0.099434620000 | 1 | 6 | 1.11548731642 | 0.477286847688 | 2 | 1.38184245661 | 0.486000483010 | bnb: **923** ; cg: **473** ; knapsack: **100** ; srd: **1** ; manual: **1** |
| bustabit-2019-2020-tiny-utxotargets | 2.00764873 | 234.061500000 | 196 | 1 | 2203 | 1998 | 0 | 809 | bnb: **1186** ; knapsack: **3** ; Total: **1189** | 0.00006550 | 0.49986182 | 0.0442711739184 | 0.123261155006 | 0.12413919 | 0.0000621317267267 | 0.00133280000 | 0.12547199000 | 1 | 6 | 1.10260260260 | 0.444161177909 | 2 | 1.40490490490 | 0.490996519682 | bnb: **1186** ; cg: **677** ; knapsack: **133** ; srd: **1** ; manual: **1** |
| bustabit-2019-2020-tiny-utxotargets | 1.99853358 | 234.494000000 | 181 | 1 | 2724 | 2498 | 0 | 987 | bnb: **1507** ; knapsack: **4** ; Total: **1511** | 0.00006550 | 0.49986182 | 0.0419151950253 | 0.118100697825 | 0.16411301 | 0.0000656977622098 | 0.00123080000 | 0.16534381000 | 1 | 6 | 1.09047237790 | 0.419562314896 | 2 | 1.39511609287 | 0.488973496858 | bnb: **1507** ; cg: **836** ; knapsack: **153** ; srd: **1** ; manual: **1** |
| bustabit-2019-2020-tiny-utxotargets | 3.22910995 | 234.228666667 | 187 | 3 | 3269 | 2996 | 0 | 1201 | bnb: **1791** ; knapsack: **4** ; Total: **1795** | 0.00003151 | 0.49986182 | 0.0441000385762 | 0.121605727518 | 0.19790954 | 0.0000660579238985 | 0.00127160000 | 0.19918114000 | 1 | 6 | 1.09112149533 | 0.427800146721 | 2 | 1.40086782377 | 0.490156100534 | bnb: **1791** ; cg: **1010** ; knapsack: **192** ; srd: **1** ; manual: **2** |
| bustabit-2019-2020-tiny-utxotargets | 3.56015773 | 235.334857143 | 191 | 5 | 3804 | 3494 | 0 | 1411 | bnb: **2077** ; knapsack: **6** ; Total: **2083** | 0.00003151 | 0.49986182 | 0.0423487850957 | 0.118369726383 | 0.22702756 | 0.0000649764052662 | 0.00129880000 | 0.22832636000 | 1 | 6 | 1.08872352604 | 0.424856017754 | 2 | 1.40383514596 | 0.490735412492 | bnb: **2077** ; cg: **1178** ; knapsack: **236** ; srd: **1** ; manual: **2** |
| bustabit-2019-2020-tiny-utxotargets | 2.68934260 | 235.742500000 | 200 | 5 | 4339 | 3994 | 0 | 1598 | bnb: **2389** ; knapsack: **7** ; Total: **2396** | 0.00003151 | 0.49986182 | 0.0428856370964 | 0.118750979636 | 0.26292759 | 0.0000658306434652 | 0.00136000000 | 0.26428759000 | 1 | 6 | 1.08637956935 | 0.420248530743 | 2 | 1.40010015023 | 0.489979724287 | bnb: **2389** ; cg: **1349** ; knapsack: **253** ; srd: **1** ; manual: **2** |
| bustabit-2019-2020-tiny-utxotargets | 3.08267089 | 236.826000000 | 189 | 7 | 4895 | 4492 | 0 | 1784 | bnb: **2700** ; knapsack: **8** ; Total: **2708** | 0.00002521 | 0.49986182 | 0.0429166487780 | 0.118708217156 | 0.29915640 | 0.0000665975957257 | 0.00128520000 | 0.30044160000 | 1 | 6 | 1.08971504898 | 0.428043046358 | 2 | 1.39715048976 | 0.489362125374 | bnb: **2700** ; cg: **1514** ; knapsack: **274** ; srd: **1** ; manual: **3** |
