id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00000183,0.00001476,0.0000164864864865,bnb,1,0,1,,225,224,103
1,0.00200000,0.00000666,0.00001929,0.0000195307917889,bnb,5,0,1,,224,219,561
2,0.00050000,0.00000605,0.00002645,0.0000267699115044,bnb,3,0,1,,219,216,462
3,0.00010000,0.00000186,0.00001495,0.0000167567567568,bnb,1,0,1,,216,215,105
4,0.00050000,0.00000359,0.00001567,0.0000158849557522,bnb,3,0,1,,215,212,274
5,0.00010000,0.00000879,0.00006764,0.0000791891891892,bnb,1,0,1,,212,211,513
6,0.00050000,0.00000629,0.00002742,0.0000278318584071,bnb,3,0,1,,211,208,480
7,0.00050000,0.00001397,0.00007933,0.000125855855856,bnb,1,0,1,,208,207,968
8,0.00050000,0.00000760,0.00006232,0.0000684684684685,bnb,1,0,1,,207,206,423
9,0.00010000,0.00000936,0.00006222,0.0000843243243243,bnb,1,0,1,,206,205,600
10,0.00050000,0.00000637,0.00002788,0.0000281858407080,bnb,3,0,1,,205,202,486
11,0.01000000,0.00000454,0.00002926,0.0000189166666667,cg,1,0,2,0.00055501,202,204,876
12,0.00010000,0.00000309,0.00001991,0.00000234980988593,cg,1,0,2,0.34133464,201,231,782
13,0.00050000,0.00001062,0.00004646,0.0000469911504425,bnb,3,0,1,,200,229,811
14,0.00010000,0.00001292,0.00009401,0.000116396396396,bnb,1,0,1,,198,228,784
15,0.00010000,0.00001426,0.00007884,0.000128468468468,bnb,1,0,1,,197,227,1000
16,0.00010000,0.00001553,0.00006785,0.000139909909910,bnb,1,0,1,,196,226,1186
17,0.00050000,0.00000920,0.00004025,0.0000407079646018,bnb,3,0,1,,195,223,702
18,0.00010000,0.00000342,0.00002205,0.0000222077922078,knapsack,1,0,2,0.00010344,192,223,803
19,0.00010000,0.00000233,0.00001499,0.00000970833333333,cg,1,0,2,0.00039154,191,225,732
20,0.00010000,0.00000715,0.00004611,0.0000464285714286,knapsack,1,0,2,0.00011088,190,225,1047
21,0.00010000,0.00001047,0.00006753,0.0000531472081218,cg,1,0,2,0.00038358,189,226,1263
22,0.00050000,0.00001795,0.00010060,0.000161711711712,bnb,1,0,1,,188,225,1251
23,0.00010000,0.00001641,0.00010498,0.000147837837838,bnb,1,0,1,,187,224,1074
24,0.00010000,0.00001794,0.00010539,0.000161621621622,bnb,1,0,1,,186,223,1224
25,0.00050000,0.00000550,0.00002392,0.0000243362831858,bnb,3,0,1,,185,220,420
26,0.00010000,0.00001000,0.00006448,0.0000507614213198,cg,1,0,2,0.00040950,182,221,1232
27,0.00200000,0.00001566,0.00010103,0.000101688311688,cg,1,0,2,0.00020084,181,221,1601
28,0.00010000,0.00001249,0.00008057,0.0000811038961039,cg,1,0,2,0.00218712,180,221,1395
29,0.00010000,0.00002185,0.00010471,0.000196846846847,bnb,1,0,1,,179,220,1619
30,0.00050000,0.00001289,0.00008310,0.0000837012987013,cg,1,0,2,0.00021059,178,220,1420
31,0.00200000,0.00001357,0.00008749,0.0000232363013699,cg,1,0,2,0.00868393,177,230,1465
32,0.00010000,0.00000531,0.00003422,0.0000269543147208,cg,1,0,2,0.49986369,176,231,927
33,0.00050000,0.00000363,0.00001573,0.0000160619469027,bnb,3,0,1,,175,229,278
34,0.00200000,0.00000626,0.00002736,0.0000276991150442,bnb,3,0,1,,173,226,478
35,0.00050000,0.00000484,0.00002119,0.0000214159292035,bnb,3,0,1,,170,223,369
36,0.00050000,0.00000458,0.00001993,0.0000202654867257,bnb,3,0,1,,167,220,350
37,0.00010000,0.00001049,0.00006764,0.0000681168831169,cg,1,0,2,0.00041237,164,220,1264
38,0.00010000,0.00000829,0.00005342,0.0000224661246612,cg,1,0,2,0.00191544,163,225,1120
39,0.00050000,0.00000507,0.00002215,0.0000224336283186,bnb,3,0,1,,162,222,387
40,0.00050000,0.00001364,0.00005971,0.0000603539823009,bnb,3,0,1,,159,219,1041
41,0.00010000,0.00002289,0.00015817,0.000206216216216,bnb,1,0,1,,156,218,1434
42,0.00010000,0.00002306,0.00020127,0.000207747747748,bnb,1,0,1,,155,217,1219
43,0.00010000,0.00002500,0.00013044,0.000225225225225,bnb,1,0,1,,154,216,1795
44,0.00010000,0.00002137,0.00013783,0.000108477157360,cg,1,0,2,0.00040337,153,217,1973
45,0.00010000,0.00002750,0.00017079,0.000247747747748,bnb,1,0,1,,152,216,1827
46,0.00010000,0.00001989,0.00012831,0.000100964467005,cg,1,0,2,0.00040544,151,217,1877
47,0.00010000,0.00001780,0.00011481,0.000115584415584,knapsack,1,0,2,0.00050962,150,217,1740
48,0.00010000,0.00002914,0.00017907,0.000262522522523,bnb,1,0,1,,149,216,1947
49,0.00050000,0.00002945,0.00022791,0.000265315315315,bnb,1,0,1,,148,215,1714
50,0.00010000,0.00002956,0.00024160,0.000266306306306,bnb,1,0,1,,147,214,1651
51,0.00010000,0.00003196,0.00027934,0.000287927927928,bnb,1,0,1,,146,213,1687
52,0.00050000,0.00003456,0.00025222,0.000311351351351,bnb,1,0,1,,145,212,2094
53,0.00010000,0.00003022,0.00020389,0.000272252252252,bnb,1,0,1,,144,211,1920
54,0.00010000,0.00002809,0.00018122,0.000182402597403,knapsack,1,0,2,0.00053372,143,211,2412
55,0.00010000,0.00003796,0.00025260,0.000341981981982,bnb,1,0,1,,142,210,2431
56,0.00050000,0.00002946,0.00019006,0.00012275000,cg,1,0,2,0.00150329,141,212,2501
57,0.00050000,0.00002299,0.00014830,0.000149285714286,cg,1,0,2,0.00155440,140,212,2079
58,0.00050000,0.00002621,0.00016908,0.0000346693121693,cg,1,0,2,0.01031051,139,226,2289
59,0.00010000,0.00002880,0.00018578,0.0000632967032967,cg,1,0,2,0.49984020,138,233,2457
60,0.00010000,0.00002606,0.00016808,0.000169220779221,cg,1,0,2,0.00040936,137,234,2278
61,0.00010000,0.00002563,0.00016531,0.000130101522843,cg,1,0,2,0.00199706,138,235,2250
62,0.00050000,0.00002585,0.00016675,0.000131218274112,cg,1,0,2,0.01125397,137,236,2266
63,0.00010000,0.00003858,0.00022774,0.000347567567568,bnb,1,0,1,,136,235,2628
