Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,4.76248056,230.714000000,199,1,580,498,0,197,bnb: **300** ; knapsack: **1** ; Total: **301**,0.00009626,0.49986744,0.0610177734010,0.152154936825,0.02180074,0.0000437765863454,0.00135320000,0.02315394000,1,6,1.16465863454,0.578797045653,2,1.39558232932,0.489467088201,bnb: **300** ; cg: **158** ; knapsack: **39** ; srd: **1**
bustabit-2019-2020-tiny-utxotargets,3.62342250,227.023000000,174,1,1117,998,0,326,bnb: **671** ; knapsack: **1** ; Total: **672**,0.00002899,0.49986744,0.0557396605215,0.141433681704,0.06304206,0.0000631683967936,0.00118320000,0.06422526000,1,6,1.11923847695,0.493498981739,2,1.32665330661,0.469224399040,bnb: **671** ; cg: **270** ; knapsack: **56** ; srd: **1**
bustabit-2019-2020-tiny-utxotargets,3.08922107,230.826666667,137,1,1663,1498,0,531,bnb: **965** ; knapsack: **2** ; Total: **967**,0.00002899,0.49986744,0.0489480176836,0.131896679310,0.09663819,0.0000645114753004,0.000931600000,0.097569790000,1,6,1.11014686248,0.467247778057,2,1.35447263017,0.478512944647,bnb: **965** ; cg: **442** ; knapsack: **90** ; srd: **1**
bustabit-2019-2020-tiny-utxotargets,3.02635362,232.897000000,198,1,2193,1998,0,748,bnb: **1248** ; knapsack: **2** ; Total: **1250**,0.00002899,0.49986744,0.0500885628610,0.131868529539,0.12200374,0.0000610629329329,0.00134640000,0.12335014000,1,6,1.09759759760,0.432741414626,2,1.37437437437,0.484082107927,bnb: **1248** ; cg: **619** ; knapsack: **130** ; srd: **1**
bustabit-2019-2020-tiny-utxotargets,1.62855485,232.650400000,179,1,2721,2498,0,927,bnb: **1569** ; knapsack: **2** ; Total: **1571**,0.00002899,0.49986744,0.0491621126429,0.130100160267,0.16201359,0.0000648573218575,0.00121720000,0.16323079000,1,6,1.08927141713,0.409680846106,2,1.37109687750,0.483195044225,bnb: **1569** ; cg: **779** ; knapsack: **148** ; srd: **1** ; manual: **1**
bustabit-2019-2020-tiny-utxotargets,3.42984679,232.693333333,191,3,3255,2996,0,1145,bnb: **1848** ; knapsack: **3** ; Total: **1851**,0.00002899,0.49986744,0.0482803951354,0.128163978946,0.19598155,0.0000654144025367,0.00129880000,0.19728035000,1,6,1.08644859813,0.405558133969,2,1.38217623498,0.486000409100,bnb: **1848** ; cg: **979** ; knapsack: **167** ; srd: **1** ; manual: **1**
bustabit-2019-2020-tiny-utxotargets,3.07934125,234.341714286,179,5,3794,3494,0,1350,bnb: **2141** ; knapsack: **3** ; Total: **2144**,0.00002899,0.49986744,0.0454312942,0.123432226280,0.22471318,0.0000643140183171,0.00121720000,0.22593038000,1,6,1.08586147682,0.403336200632,2,1.38637664568,0.486988304816,bnb: **2141** ; cg: **1162** ; knapsack: **189** ; srd: **1** ; manual: **1**
bustabit-2019-2020-tiny-utxotargets,2.84630504,233.362750000,191,5,4330,3994,0,1542,bnb: **2447** ; knapsack: **5** ; Total: **2452**,0.00001042,0.49986744,0.0447782256096,0.122329810841,0.26086544,0.0000653143314972,0.00129880000,0.26216424000,1,6,1.08412618928,0.402762064178,2,1.38607911868,0.486910045271,bnb: **2447** ; cg: **1329** ; knapsack: **216** ; srd: **1** ; manual: **1**
bustabit-2019-2020-tiny-utxotargets,3.01796548,234.458444444,196,7,4873,4492,0,1743,bnb: **2744** ; knapsack: **5** ; Total: **2749**,0.00001042,0.49986744,0.0449624508032,0.121833970423,0.29739008,0.0000662043811220,0.00133280000,0.29872288000,1,6,1.08481745325,0.407752896886,2,1.38802315227,0.487354142770,bnb: **2744** ; cg: **1499** ; knapsack: **247** ; srd: **1** ; manual: **1**
