id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00000189,0.00001476,0.0000170270270270,bnb,1,0,1,,225,224,109
1,0.00200000,0.00000466,0.00001929,0.0000206194690265,bnb,3,0,1,,224,221,361
2,0.00050000,0.00000598,0.00002645,0.0000538738738739,bnb,1,0,1,,221,220,455
3,0.00010000,0.00000203,0.00001495,0.0000182882882883,bnb,1,0,1,,220,219,122
4,0.00050000,0.00000358,0.00001567,0.0000158407079646,bnb,3,0,1,,219,216,273
5,0.00010000,0.00000765,0.00006764,0.0000689189189189,bnb,1,0,1,,216,215,399
6,0.00050000,0.00000629,0.00002742,0.0000278318584071,bnb,3,0,1,,215,212,480
7,0.00050000,0.00001204,0.00007933,0.000108468468468,bnb,1,0,1,,212,211,775
8,0.00050000,0.00001423,0.00006232,0.0000629646017699,bnb,3,0,1,,211,208,1086
9,0.00010000,0.00000988,0.00006222,0.0000890090090090,bnb,1,0,1,,208,207,652
10,0.00050000,0.00000637,0.00002788,0.0000281858407080,bnb,3,0,1,,207,204,486
11,0.01000000,0.00001209,0.00002926,0.0000293446601942,cg,1,0,8,0.00014292,204,210,876
12,0.00010000,0.00000388,0.00001991,0.0000349549549550,bnb,1,0,1,,203,209,280
13,0.00050000,0.00001062,0.00004646,0.0000469911504425,bnb,3,0,1,,202,206,811
14,0.00010000,0.00001179,0.00009401,0.000106216216216,bnb,1,0,1,,199,205,671
15,0.00010000,0.00001318,0.00007884,0.000118738738739,bnb,1,0,1,,198,204,892
16,0.00010000,0.00001371,0.00006785,0.000123513513514,bnb,1,0,1,,197,203,1004
17,0.00050000,0.00000922,0.00004025,0.0000407964601770,bnb,3,0,1,,196,200,704
18,0.00010000,0.00000437,0.00002205,0.0000221827411168,cg,1,0,3,0.00024887,193,201,803
19,0.00010000,0.00000233,0.00001499,0.0000151298701299,cg,1,0,2,0.00039443,192,201,732
20,0.00010000,0.00000913,0.00004611,0.0000463451776650,cg,1,0,3,0.00013574,191,202,1047
21,0.00010000,0.00001437,0.00006753,0.000129459459459,bnb,1,0,1,,190,201,1072
22,0.00050000,0.00001520,0.00010060,0.000136936936937,bnb,1,0,1,,189,200,976
23,0.00010000,0.00001442,0.00010498,0.000129909909910,bnb,1,0,1,,188,199,875
24,0.00010000,0.00001472,0.00010539,0.000132612612613,bnb,1,0,1,,187,198,902
25,0.00050000,0.00000548,0.00002392,0.0000242477876106,bnb,3,0,1,,186,195,418
26,0.00010000,0.00001497,0.00006448,0.000134864864865,bnb,1,0,1,,183,194,1148
27,0.00200000,0.00001566,0.00010103,0.000101688311688,cg,1,0,2,0.00011839,182,194,1601
28,0.00010000,0.00001500,0.00008057,0.000135135135135,bnb,1,0,1,,181,193,1064
29,0.00010000,0.00001515,0.00010471,0.000136486486486,bnb,1,0,1,,180,192,949
30,0.00050000,0.00001741,0.00008310,0.000156846846847,bnb,1,0,1,,179,191,1292
31,0.00200000,0.00001357,0.00008749,0.0000881168831169,cg,1,0,2,0.00023009,178,191,1465
