id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00000307,0.00001476,0.0000276576576577,bnb,1,0,1,,225,224,227
1,0.00200000,0.00000668,0.00001929,0.0000195894428152,bnb,5,0,1,,224,219,563
2,0.00050000,0.00000335,0.00002645,0.0000301801801802,bnb,1,0,1,,219,218,192
3,0.00010000,0.00000344,0.00001495,0.0000309909909910,bnb,1,0,1,,218,217,263
4,0.00050000,0.00000286,0.00001567,0.0000257657657658,bnb,1,0,1,,217,216,201
5,0.00010000,0.00000964,0.00006764,0.0000868468468468,bnb,1,0,1,,216,215,598
6,0.00050000,0.00000379,0.00002742,0.0000341441441441,bnb,1,0,1,,215,214,230
7,0.00050000,0.00001181,0.00007933,0.000106396396396,bnb,1,0,1,,214,213,752
8,0.00050000,0.00000770,0.00006232,0.0000693693693694,bnb,1,0,1,,213,212,433
9,0.00010000,0.00000720,0.00006222,0.0000648648648649,bnb,1,0,1,,212,211,384
10,0.00050000,0.00000381,0.00002788,0.0000343243243243,bnb,1,0,1,,211,210,230
11,0.01000000,0.00000454,0.00002926,0.0000294805194805,cg,1,0,2,0.00082587,210,210,876
12,0.00010000,0.00000483,0.00001991,0.0000435135135135,bnb,1,0,1,,209,209,375
13,0.00050000,0.00000637,0.00004646,0.0000573873873874,bnb,1,0,1,,208,208,386
14,0.00010000,0.00001181,0.00009401,0.000106396396396,bnb,1,0,1,,207,207,673
15,0.00010000,0.00001037,0.00007884,0.0000934234234234,bnb,1,0,1,,206,206,611
16,0.00010000,0.00001470,0.00006785,0.000132432432432,bnb,1,0,1,,205,205,1103
17,0.00050000,0.00000925,0.00004025,0.0000409292035398,bnb,3,0,1,,204,202,707
18,0.00010000,0.00000496,0.00002205,0.0000446846846847,bnb,1,0,1,,201,201,376
19,0.00010000,0.00000666,0.00001499,0.00006000,bnb,1,0,1,,200,200,585
20,0.00010000,0.00000734,0.00004611,0.0000661261261261,bnb,1,0,1,,199,199,485
21,0.00010000,0.00001488,0.00006753,0.000134054054054,bnb,1,0,1,,198,198,1123
22,0.00050000,0.00001560,0.00010060,0.000101298701299,cg,1,0,2,0.00149779,197,198,1597
23,0.00010000,0.00001502,0.00010498,0.000135315315315,bnb,1,0,1,,196,197,935
24,0.00010000,0.00001592,0.00010539,0.000143423423423,bnb,1,0,1,,195,196,1022
25,0.00050000,0.00000547,0.00002392,0.0000242035398230,bnb,3,0,1,,194,193,417
26,0.00010000,0.00000734,0.00006448,0.0000661261261261,bnb,1,0,1,,191,192,385
