id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00000229,0.00001476,0.0000148701298701,knapsack,1,0,2,0.00184795,256,256,730
1,0.00200000,0.00000409,0.00001929,0.0000192924528302,srd,2,0,2,0.00190009,255,255,887
2,0.00050000,0.00000410,0.00002645,0.0000266233766234,knapsack,1,0,2,0.00144799,253,255,848
3,0.00010000,0.00000232,0.00001495,0.0000150649350649,knapsack,1,0,2,0.00184977,252,255,732
4,0.00050000,0.00000243,0.00001567,0.0000157792207792,knapsack,1,0,2,0.00144966,251,255,739
5,0.00010000,0.00001049,0.00006764,0.0000681168831169,knapsack,1,0,2,0.00184160,250,255,1264
6,0.00050000,0.00000426,0.00002742,0.0000276623376623,knapsack,1,0,2,0.00144783,249,255,858
7,0.00050000,0.00001230,0.00007933,0.0000798701298701,knapsack,1,0,2,0.00143979,248,255,1383
8,0.00050000,0.00000966,0.00006232,0.0000627272727273,knapsack,1,0,2,0.00144243,247,255,1210
9,0.00010000,0.00000965,0.00006222,0.0000626623376623,knapsack,1,0,2,0.00184244,246,255,1209
10,0.00050000,0.00000433,0.00002788,0.0000281168831169,knapsack,1,0,2,0.00144776,245,255,862
11,0.01000000,0.00001297,0.00002926,0.0000293438914027,srd,6,0,2,0.00169957,244,250,1726
12,0.00010000,0.00000309,0.00001991,0.0000200649350649,knapsack,1,0,2,0.00184900,238,250,782
13,0.00050000,0.00000721,0.00004646,0.0000468181818182,knapsack,1,0,2,0.00144488,237,250,1050
14,0.00010000,0.00001458,0.00009401,0.0000946753246753,knapsack,1,0,2,0.00183751,236,250,1531
15,0.00010000,0.00001223,0.00007884,0.0000794155844156,knapsack,1,0,2,0.00183986,235,250,1378
16,0.00010000,0.00001052,0.00006785,0.0000683116883117,knapsack,1,0,2,0.00184157,234,250,1266
