Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,0.24456166,204.282000000,87,2,588,498,0,466,bnb: **32** ; Total: **32**,0.00050014,0.09397657,0.00134829040773,0.00432150602523,0.02735585,0.0000549314257028,0.000591600000,0.027947450000,1,8,1.18072289157,0.802078461667,2,1.93574297189,0.245456807743,knapsack: **311** ; srd: **25** ; bnb: **32** ; cg: **130**
bustabit-2019-2020-tiny-utxotargets,0.35104277,196.792000000,184,3,1177,997,0,893,bnb: **104** ; Total: **104**,0.00050014,0.09397657,0.00198891055991,0.00816366010375,0.07910794,0.0000793459779338,0.00125120000,0.08035914000,1,8,1.18054162487,0.771936559394,2,1.89568706118,0.305819483666,knapsack: **432** ; srd: **52** ; bnb: **104** ; cg: **409**
bustabit-2019-2020-tiny-utxotargets,0.11633866,185.806666667,46,3,1756,1497,0,1330,bnb: **167** ; Total: **167**,0.00050014,0.09397657,0.00202456622556,0.00799998423947,0.11884814,0.0000793908750835,0.000312800000,0.119160940000,1,8,1.17301269205,0.744044856961,2,1.88844355377,0.314925160323,knapsack: **593** ; srd: **77** ; bnb: **167** ; cg: **660**
bustabit-2019-2020-tiny-utxotargets,0.22857554,191.264500000,126,4,2376,1996,0,1775,bnb: **221** ; Total: **221**,0.00019674,0.09397657,0.00196874414085,0.00739506332041,0.15033284,0.0000753170541082,0.000856800000,0.151189640000,1,8,1.19038076152,0.810227639234,2,1.88927855711,0.313865511740,knapsack: **757** ; srd: **95** ; bnb: **221** ; cg: **923**
bustabit-2019-2020-tiny-utxotargets,0.37457866,186.298400000,195,5,2987,2495,0,2204,bnb: **291** ; Total: **291**,0.00019674,0.09397657,0.00184650424229,0.00668741839077,0.19873932,0.0000796550380762,0.00132600000,0.20006532000,1,8,1.19719438878,0.823419328670,2,1.88336673347,0.321047128622,knapsack: **879** ; srd: **122** ; bnb: **291** ; cg: **1203**
bustabit-2019-2020-tiny-utxotargets,0.04147676,182.442000000,27,7,3598,2993,0,2643,bnb: **350** ; Total: **350**,0.00019674,0.09397657,0.00184780209232,0.00668602955073,0.23898536,0.0000798480988974,0.000183600000,0.239168960000,1,8,1.20213832275,0.839114457691,2,1.88306047444,0.321401908077,knapsack: **1048** ; srd: **146** ; bnb: **350** ; cg: **1449**
bustabit-2019-2020-tiny-utxotargets,0.32406903,189.458285714,156,10,4169,3490,0,3087,bnb: **403** ; Total: **403**,0.00019674,0.09397657,0.00200810674441,0.00700744579743,0.27343790,0.0000783489684814,0.00106080000,0.27449870000,1,8,1.19455587393,0.810665604400,2,1.88452722063,0.319637436980,knapsack: **1197** ; srd: **167** ; bnb: **403** ; cg: **1723**
bustabit-2019-2020-tiny-utxotargets,0.09013982,184.957750000,49,10,4716,3990,0,3528,bnb: **462** ; Total: **462**,0.00019674,0.09397657,0.00201890239796,0.00676704197865,0.31493811,0.0000789318571429,0.000333200000,0.315271310000,1,8,1.18195488722,0.786559945890,2,1.88421052632,0.320012402288,knapsack: **1338** ; srd: **176** ; bnb: **462** ; cg: **2014**
bustabit-2019-2020-tiny-utxotargets,0.23811378,187.006666667,126,13,5334,4486,0,3957,bnb: **529** ; Total: **529**,0.00019674,0.09397657,0.00210932734142,0.00718564848881,0.35880363,0.0000799829759251,0.000856800000,0.359660430000,1,9,1.18903254570,0.813720196193,2,1.88207757468,0.322552195876,knapsack: **1496** ; srd: **192** ; bnb: **529** ; cg: **2269**
bustabit-2019-2020-tiny-utxotargets,0.01831459,180.325600000,21,13,5883,4986,0,4399,bnb: **587** ; Total: **587**,0.00019674,0.09397657,0.00208698002046,0.00700675210768,0.39494752,0.0000792112956278,0.000142800000,0.395090320000,1,9,1.17990373045,0.789807989793,2,1.88227035700,0.322320043658,knapsack: **1647** ; srd: **201** ; bnb: **587** ; cg: **2551**
bustabit-2019-2020-tiny-utxotargets,0.14125636,182.226000000,80,14,6516,5485,0,4842,bnb: **643** ; Total: **643**,0.00019674,0.09397657,0.00200090266006,0.00668899168951,0.43484200,0.0000792783956244,0.000544000000,0.435386000000,1,9,1.18796718323,0.806294284383,2,1.88277119417,0.321722059374,knapsack: **1793** ; srd: **233** ; bnb: **643** ; cg: **2816**
bustabit-2019-2020-tiny-utxotargets,0.33467524,183.590000000,184,17,7109,5982,0,5277,bnb: **705** ; Total: **705**,0.00019674,0.09397657,0.00206838617396,0.00721683642603,0.48550796,0.0000811614777666,0.00125120000,0.48675916000,1,9,1.18839852892,0.804879249684,2,1.88214643932,0.322461596645,knapsack: **1930** ; srd: **249** ; bnb: **705** ; cg: **3098**
