id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste,max_excess,excess
0,0.00010000,0.00000169,0.00001476,0.0000152252252252,bnb,1,0,1,,225,224,89,0,0
1,0.00200000,0.00000666,0.00001929,0.0000195307917889,bnb,5,0,1,,224,219,561,0,0
2,0.00050000,0.00000608,0.00002645,0.0000269026548673,bnb,3,0,1,,219,216,465,0,0
3,0.00010000,0.00000283,0.00001495,0.0000254954954955,bnb,1,0,1,,216,215,202,0,0
4,0.00050000,0.00000211,0.00001567,0.0000190090090090,bnb,1,0,1,,215,214,126,0,0
5,0.00010000,0.00000894,0.00006764,0.0000805405405405,bnb,1,0,1,,214,213,528,0,0
6,0.00050000,0.00000629,0.00002742,0.0000278318584071,bnb,3,0,1,,213,210,480,0,0
7,0.00050000,0.00001179,0.00007933,0.000106216216216,bnb,1,0,1,,210,209,750,0,0
8,0.00050000,0.00000704,0.00006232,0.0000634234234234,bnb,1,0,1,,209,208,367,0,0
9,0.00010000,0.00000702,0.00006222,0.0000632432432432,bnb,1,0,1,,208,207,366,0,0
10,0.00050000,0.00000637,0.00002788,0.0000281858407080,bnb,3,0,1,,207,204,486,0,0
11,0.01000000,0.00001009,0.00002926,0.0000295894428152,knapsack,5,0,1,,204,199,850,0,0
12,0.00010000,0.00000349,0.00001991,0.0000314414414414,bnb,1,0,1,,199,198,241,0,0
13,0.00050000,0.00001062,0.00004646,0.0000469911504425,bnb,3,0,1,,198,195,811,0,0
14,0.00010000,0.00001056,0.00009401,0.0000951351351351,bnb,1,0,1,,195,194,548,0,0
15,0.00010000,0.00000991,0.00007884,0.0000892792792793,bnb,1,0,1,,194,193,565,0,0
16,0.00010000,0.00001132,0.00006785,0.000101981981982,bnb,1,0,1,,193,192,765,0,0
17,0.00050000,0.00000923,0.00004025,0.0000408407079646,bnb,3,0,1,,192,189,705,0,0
18,0.00010000,0.00000433,0.00002205,0.0000390090090090,bnb,1,0,1,,189,188,313,0,0
19,0.00010000,0.00000459,0.00001499,0.0000413513513514,bnb,1,0,1,,188,187,378,0,0
