----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 1.83279874 | 219.810000000 | 186 | 1 | 616 | 498 | 0 | 171 | bnb: **325** ; knapsack: **2** ; Total: **327** | 0.00010936 | 0.47584259 | 0.00509590116959 | 0.0364057369758 | 0.02711914 | 0.0000544561044177 | 0.00126480000 | 0.02838394000 | 1 | 6 | 1.23694779116 | 0.674395415423 | 80 | 2.23293172691 | 5.25505982477 | bnb: **325** ; knapsack: **31** ; cg: **138** ; manual: **1** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 1.55039809 | 218.859000000 | 179 | 1 | 1143 | 998 | 0 | 299 | bnb: **697** ; knapsack: **2** ; Total: **699** | 0.00010471 | 0.47584259 | 0.00518739341137 | 0.0349309183091 | 0.07579606 | 0.0000759479559118 | 0.00121720000 | 0.07701326000 | 1 | 6 | 1.14529058116 | 0.531771764350 | 115 | 2.15731462926 | 5.55489623844 | bnb: **697** ; knapsack: **42** ; cg: **253** ; manual: **2** ; srd: **4** |
| bustabit-2019-2020-tiny-utxotargets | 1.32381410 | 222.742000000 | 163 | 1 | 1703 | 1498 | 0 | 521 | bnb: **974** ; knapsack: **3** ; Total: **977** | 0.00010471 | 0.47584259 | 0.00484230656430 | 0.0326219264131 | 0.12051470 | 0.0000804504005340 | 0.00110840000 | 0.12162310000 | 1 | 6 | 1.13684913218 | 0.511031236278 | 115 | 2.14018691589 | 4.98927110415 | bnb: **974** ; knapsack: **83** ; cg: **434** ; manual: **2** ; srd: **5** |
| bustabit-2019-2020-tiny-utxotargets | 1.82844937 | 224.329000000 | 182 | 1 | 2258 | 1998 | 0 | 743 | bnb: **1252** ; knapsack: **3** ; Total: **1255** | 0.00010020 | 0.47584259 | 0.00455414189771 | 0.0302534564397 | 0.14935215 | 0.0000747508258258 | 0.00123760000 | 0.15058975000 | 1 | 6 | 1.13013013013 | 0.484184608580 | 115 | 2.13313313313 | 4.75428207939 | bnb: **1252** ; knapsack: **121** ; cg: **614** ; manual: **4** ; srd: **7** |
| bustabit-2019-2020-tiny-utxotargets | 1.50975988 | 223.068400000 | 164 | 1 | 2800 | 2498 | 0 | 891 | bnb: **1604** ; knapsack: **3** ; Total: **1607** | 0.00010020 | 0.47584259 | 0.00460265821549 | 0.0294913419982 | 0.20429521 | 0.0000817835108086 | 0.00111520000 | 0.20541041000 | 1 | 6 | 1.12089671737 | 0.469105263495 | 115 | 2.12409927942 | 4.84313522834 | bnb: **1604** ; knapsack: **142** ; cg: **739** ; manual: **5** ; srd: **8** |
| bustabit-2019-2020-tiny-utxotargets | 0.51260678 | 223.770000000 | 183 | 3 | 3347 | 2996 | 0 | 1087 | bnb: **1906** ; knapsack: **3** ; Total: **1909** | 0.00010020 | 0.47584259 | 0.00459323983441 | 0.0290887437054 | 0.24755068 | 0.0000826270627503 | 0.00124440000 | 0.24879508000 | 1 | 6 | 1.11715620828 | 0.454940664973 | 115 | 2.11982643525 | 4.64046160525 | bnb: **1906** ; knapsack: **167** ; cg: **907** ; manual: **5** ; srd: **11** |
| bustabit-2019-2020-tiny-utxotargets | 1.41523549 | 224.575428571 | 157 | 5 | 3888 | 3494 | 0 | 1316 | bnb: **2174** ; knapsack: **4** ; Total: **2178** | 0.00010020 | 0.47584259 | 0.00435421169453 | 0.0266974254048 | 0.28027739 | 0.0000802167687464 | 0.00106760000 | 0.28134499000 | 1 | 6 | 1.11276473955 | 0.448163441458 | 115 | 2.09730967373 | 4.52004837433 | bnb: **2174** ; knapsack: **209** ; cg: **1090** ; manual: **6** ; srd: **15** |
| bustabit-2019-2020-tiny-utxotargets | 0.80380624 | 223.778000000 | 182 | 5 | 4427 | 3994 | 0 | 1515 | bnb: **2475** ; knapsack: **4** ; Total: **2479** | 0.00010020 | 0.47584259 | 0.00401560972937 | 0.0249238712523 | 0.32043360 | 0.0000802287431147 | 0.00123760000 | 0.32167120000 | 1 | 6 | 1.10841261893 | 0.441424207345 | 115 | 2.11091637456 | 4.68014931999 | bnb: **2475** ; knapsack: **244** ; cg: **1250** ; manual: **8** ; srd: **17** |
| bustabit-2019-2020-tiny-utxotargets | 2.73615025 | 225.145333333 | 171 | 7 | 4967 | 4492 | 0 | 1700 | bnb: **2788** ; knapsack: **4** ; Total: **2792** | 0.00010020 | 0.47584259 | 0.00415527862941 | 0.0250628126188 | 0.36503403 | 0.0000812631411398 | 0.00116280000 | 0.36619683000 | 1 | 6 | 1.10574354408 | 0.434734340869 | 115 | 2.10218165628 | 4.58313684208 | bnb: **2788** ; knapsack: **270** ; cg: **1405** ; manual: **8** ; srd: **21** |
| bustabit-2019-2020-tiny-utxotargets | 0.98324146 | 225.982800000 | 194 | 7 | 5504 | 4992 | 0 | 1943 | bnb: **3045** ; knapsack: **4** ; Total: **3049** | 0.00010020 | 0.48209621 | 0.00470015379310 | 0.0287089174544 | 0.40144008 | 0.0000804166826923 | 0.00131920000 | 0.40275928000 | 1 | 6 | 1.10256410256 | 0.425938961702 | 115 | 2.10236378205 | 4.42481418667 | bnb: **3045** ; knapsack: **309** ; cg: **1608** ; manual: **8** ; srd: **22** |
| bustabit-2019-2020-tiny-utxotargets | 1.92460627 | 226.495272727 | 190 | 7 | 6052 | 5492 | 0 | 2171 | bnb: **3317** ; knapsack: **4** ; Total: **3321** | 0.00010020 | 0.48209621 | 0.00490979394749 | 0.0302761306391 | 0.43913037 | 0.0000799581882739 | 0.00129200000 | 0.44042237000 | 1 | 6 | 1.10196649672 | 0.419194091521 | 115 | 2.10378732702 | 4.42013326468 | bnb: **3317** ; knapsack: **330** ; cg: **1808** ; manual: **10** ; srd: **27** |
