Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,2.79522528,204.354000000,187,1,625,498,0,123,bnb: **375** ; Total: **375**,0.00010714,0.01350060,0.00254073008130,0.00404467174542,0.02524842,0.0000506996385542,0.00127160000,0.02652002000,1,12,1.25502008032,0.908945538274,121,2.18473895582,6.61852227121,bnb: **375** ; manual: **3** ; knapsack: **16** ; cg: **98** ; srd: **6**
bustabit-2019-2020-tiny-utxotargets,2.26828773,209.754000000,176,1,1155,998,0,247,bnb: **751** ; Total: **751**,0.00010150,0.48640892,0.00802439048583,0.0471949836698,0.07597611,0.0000761283667335,0.00119680000,0.07717291000,1,12,1.15731462926,0.683889404333,121,2.16332665331,5.88031564559,bnb: **751** ; manual: **5** ; knapsack: **33** ; cg: **203** ; srd: **6**
bustabit-2019-2020-tiny-utxotargets,2.04036067,215.354666667,121,1,1710,1498,0,450,bnb: **1048** ; Total: **1048**,0.00010150,0.48640892,0.00543437966667,0.0351211979114,0.11172324,0.0000745816021362,0.000822800000,0.112546040000,1,12,1.14152202937,0.600599416556,121,2.14552736983,5.48382421414,bnb: **1048** ; manual: **8** ; knapsack: **56** ; cg: **379** ; srd: **7**
bustabit-2019-2020-tiny-utxotargets,3.60647988,218.254000000,182,1,2239,1998,0,676,bnb: **1322** ; Total: **1322**,0.00010150,0.49730294,0.0112180581509,0.0600208410336,0.14004272,0.0000700914514515,0.00123760000,0.14128032000,1,12,1.12062062062,0.537958468831,121,2.11961961962,5.21900972880,bnb: **1322** ; manual: **9** ; knapsack: **92** ; cg: **566** ; srd: **9**
bustabit-2019-2020-tiny-utxotargets,2.58001933,219.926400000,182,1,2769,2498,0,817,bnb: **1681** ; Total: **1681**,0.00010150,0.49730294,0.0119137952387,0.0614486477825,0.18755011,0.0000750801080865,0.00123760000,0.18878771000,1,12,1.10848678943,0.498937629906,121,2.11088871097,5.09926627572,bnb: **1681** ; manual: **9** ; knapsack: **108** ; cg: **689** ; srd: **11**
bustabit-2019-2020-tiny-utxotargets,2.09955161,221.429666667,179,3,3316,2996,0,985,bnb: **2011** ; Total: **2011**,0.00010150,0.49730294,0.0111853762741,0.0581860292689,0.22341002,0.0000745694325768,0.00121720000,0.22462722000,1,12,1.10680907877,0.479224852266,121,2.10614152203,5.03046634532,bnb: **2011** ; manual: **12** ; knapsack: **135** ; cg: **827** ; srd: **11**
bustabit-2019-2020-tiny-utxotargets,3.10041890,223.810857143,196,5,3861,3494,0,1186,bnb: **2308** ; Total: **2308**,0.00010150,0.49730294,0.0107875178836,0.0557670468095,0.25735428,0.0000736560618203,0.00133280000,0.25868708000,1,12,1.10503720664,0.465977095617,121,2.10017172295,4.78339706273,bnb: **2308** ; manual: **12** ; knapsack: **156** ; cg: **1006** ; srd: **12**
bustabit-2019-2020-tiny-utxotargets,2.47185004,223.085000000,191,5,4378,3994,0,1373,bnb: **2621** ; Total: **2621**,0.00010150,0.49730294,0.0111073192571,0.0568869957641,0.30220342,0.0000756643515273,0.00129880000,0.30350222000,1,12,1.09614421632,0.441147054847,121,2.09839759639,4.75100869105,bnb: **2621** ; manual: **13** ; knapsack: **187** ; cg: **1159** ; srd: **14**
bustabit-2019-2020-tiny-utxotargets,2.55398690,224.305555556,188,7,4908,4492,0,1530,bnb: **2962** ; Total: **2962**,0.00010150,0.49730294,0.0110216147908,0.0557887107341,0.34533855,0.0000768785730187,0.00127840000,0.34661695000,1,12,1.09260908281,0.427165556055,121,2.09016028495,4.68049494964,bnb: **2962** ; manual: **14** ; knapsack: **204** ; cg: **1297** ; srd: **15**
bustabit-2019-2020-tiny-utxotargets,1.69444443,225.028600000,192,7,5440,4992,0,1759,bnb: **3233** ; Total: **3233**,0.00010150,0.49730294,0.0114021019102,0.0556787768159,0.38060724,0.0000762434375,0.00130560000,0.38191284000,1,12,1.08974358974,0.415535533935,121,2.08874198718,4.56256595289,bnb: **3233** ; manual: **15** ; knapsack: **233** ; cg: **1496** ; srd: **15**
bustabit-2019-2020-tiny-utxotargets,1.28178224,225.798181818,185,7,5978,5492,0,1957,bnb: **3535** ; Total: **3535**,0.00010150,0.49730294,0.0104865737353,0.0528668935970,0.41835060,0.0000761745447924,0.00125800000,0.41960860000,1,12,1.08849235251,0.405523850440,121,2.08776402039,4.49256650938,bnb: **3535** ; manual: **16** ; knapsack: **255** ; cg: **1670** ; srd: **16**
