id,input_amounts
0,['0.00009716']
1,['0.00199921']
2,['0.00049140']
3,['0.00009726']
4,['0.00049496']
5,['0.00010601']
6,['0.00049516']
7,['0.00050310']
8,['0.00051308']
9,['0.00010234']
10,['0.00051641']
11,['0.01016308']
12,['0.00009770']
13,['0.00052661']
14,['0.00010815']
15,['0.00010925']
16,['0.00010936']
17,"['0.00013619', '0.00023489', '0.00013946']"
18,['0.00009883']
19,['0.00009951']
20,['0.00010106']
21,['0.00010258']
22,['0.00053895']
23,['0.00010990']
24,['0.00011017']
25,"['0.00012348', '0.00012369', '0.00023387']"
26,['0.00011064']
27,['0.00201347']
28,['0.00011360']
29,['0.00011682']
30,['0.00054355']
31,['0.00202356']
32,['0.01045594']
33,"['0.00022901', '0.00012634', '0.00012394']"
34,['0.00202802']
35,"['0.00009325', '0.00020152', '0.00022826']"
36,"['0.00022707', '0.00011850', '0.00013466']"
37,['0.00011696']
38,['0.00011730']
39,"['0.00011964', '0.00022529', '0.00017597']"
40,"['0.00012725', '0.00022438', '0.00013702']"
41,['0.00011733']
42,['0.34196950']
43,['0.00011875']
44,['0.00012007']
45,['0.00012164']
46,['0.00012545']
47,['0.00012692']
48,['0.00012767']
49,['0.00054392']
50,['0.00012803']
51,['0.00013132']
52,['0.00054929']
53,['0.00013444']
54,['0.00013507']
55,['0.00013534']
56,['0.00054972']
57,['0.00063989']
58,['0.00055663']
59,['0.00013617']
60,['0.00013658']
61,['0.00204435']
62,['0.00071195']
63,['0.00014032']
64,['0.00014068']
65,['0.00014157']
66,['0.00055955']
67,['0.00065557']
68,['0.00210212']
69,['0.00073627']
70,['0.00210946']
71,['0.00056042']
72,['0.00237387']
73,['0.00229232']
74,"['0.00021722', '0.00009425', '0.00020230']"
75,['0.01109631']
76,['0.01294449']
77,['0.01193296']
78,['0.49996900']
79,['0.00216369']
80,['0.00221444']
81,['0.00221910']
82,['0.00244168']
83,"['0.00014284', '0.00019240', '0.00021554']"
84,['0.00014300']
85,['0.00014569']
86,['0.00056199']
87,['0.00014913']
88,['0.00014957']
89,['0.00015027']
90,['0.00218329']
91,['0.00018795']
92,['0.00020725']
93,['0.00020422']
94,['0.00020496']
95,['0.00020734']
96,['0.00020779']
97,['0.00057917']
98,['0.00021039']
99,['0.00019033']
100,['0.00019699']
101,['0.00210363']
102,['0.00013142']
103,['0.00014241']
104,['0.00056904']
105,['0.00015398']
106,['0.00057214']
107,['0.00015713']
108,['0.00015421']
109,['0.00057452']
110,['0.01035063']
111,['0.00213442']
112,['0.00020109']
113,['0.00057519']
114,['0.00017115']
115,['0.00015061']
116,['0.00014448']
117,['0.00014705']
118,['0.00015493']
119,['0.00015233']
120,['0.00015239']
121,['0.00015590']
122,['0.00015639']
123,['0.00053627']
124,['0.00015395']
125,['0.00197806']
126,['0.00018172']
127,['0.00018017']
128,['0.00019769']
129,['0.00059628']
130,['0.00020597']
131,['0.00018288']
