Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,2.78954374,203.540000000,172,1,636,498,0,137,bnb: **361** ; Total: **361**,0.00010715,0.01393148,0.00248343262774,0.00345034772790,0.02646535,0.0000531432730924,0.00116960000,0.02763495000,1,14,1.27710843373,1.01473949849,111,2.18072289157,6.87773869940,bnb: **361** ; cg: **92** ; manual: **4** ; knapsack: **28** ; srd: **13**
bustabit-2019-2020-tiny-utxotargets,1.71930900,206.145000000,171,1,1160,998,0,259,bnb: **739** ; Total: **739**,0.00010715,0.01396999,0.00226366984556,0.00338489721566,0.07198860,0.0000721328657315,0.00116280000,0.07315140000,1,14,1.16232464930,0.750595488646,111,2.15430861723,6.96374307581,bnb: **739** ; cg: **196** ; manual: **6** ; knapsack: **43** ; srd: **14**
bustabit-2019-2020-tiny-utxotargets,1.16781687,211.249333333,176,1,1707,1498,0,452,bnb: **1046** ; Total: **1046**,0.00010699,0.37654926,0.00324356391593,0.0179361750033,0.11435190,0.0000763363818425,0.00119680000,0.11554870000,1,14,1.13951935915,0.652747368855,111,2.14352469960,6.22244854202,bnb: **1046** ; cg: **366** ; manual: **7** ; knapsack: **58** ; srd: **21**
bustabit-2019-2020-tiny-utxotargets,2.71272339,215.797500000,179,1,2245,1998,0,675,bnb: **1323** ; Total: **1323**,0.00010615,0.48927858,0.00552030045926,0.0342956000902,0.14234745,0.0000712449699700,0.00121720000,0.14356465000,1,14,1.12362362362,0.583732471154,111,2.12962962963,5.68675846117,bnb: **1323** ; cg: **559** ; manual: **8** ; knapsack: **84** ; srd: **24**
bustabit-2019-2020-tiny-utxotargets,2.59362072,217.852000000,172,1,2768,2498,0,831,bnb: **1667** ; Total: **1667**,0.00010615,0.48927858,0.00586468756919,0.0357836765431,0.19744780,0.0000790423538831,0.00116960000,0.19861740000,1,14,1.10808646918,0.533543122198,111,2.11048839071,5.44494067336,bnb: **1667** ; cg: **700** ; manual: **9** ; knapsack: **98** ; srd: **24**
bustabit-2019-2020-tiny-utxotargets,0.68680212,220.073333333,189,3,3295,2996,0,1039,bnb: **1957** ; Total: **1957**,0.00010395,0.48927858,0.00725139827719,0.0407296619082,0.23489567,0.0000784030941255,0.00128520000,0.23618087000,1,14,1.09979973298,0.500136835980,111,2.10180240320,5.19817453084,bnb: **1957** ; cg: **884** ; manual: **10** ; knapsack: **121** ; srd: **24**
bustabit-2019-2020-tiny-utxotargets,2.33016982,222.106571429,174,5,3831,3494,0,1240,bnb: **2254** ; Total: **2254**,0.00010084,0.48927858,0.00742568888710,0.0417046352360,0.26791551,0.0000766787378363,0.00118320000,0.26909871000,1,14,1.09645105896,0.478718585248,111,2.09015455066,4.92737410292,bnb: **2254** ; cg: **1060** ; manual: **10** ; knapsack: **146** ; srd: **24**
bustabit-2019-2020-tiny-utxotargets,1.72073391,222.359000000,186,5,4348,3994,0,1426,bnb: **2568** ; Total: **2568**,0.00010084,0.48927858,0.00781443621318,0.0433730165341,0.30934652,0.0000774528092138,0.00126480000,0.31061132000,1,14,1.08863294942,0.453890419456,111,2.09138708062,4.93249303416,bnb: **2568** ; cg: **1216** ; manual: **12** ; knapsack: **174** ; srd: **24**
bustabit-2019-2020-tiny-utxotargets,2.43167162,223.823555556,195,7,4871,4492,0,1595,bnb: **2897** ; Total: **2897**,0.00010084,0.48927858,0.00817872194984,0.0444597941777,0.35128039,0.0000782013334817,0.00132600000,0.35260639000,1,14,1.08437221728,0.435821674654,111,2.07836153161,4.80402898018,bnb: **2897** ; cg: **1365** ; manual: **13** ; knapsack: **193** ; srd: **24**
bustabit-2019-2020-tiny-utxotargets,2.20056631,224.779000000,171,7,5397,4992,0,1799,bnb: **3193** ; Total: **3193**,0.00010084,0.48927858,0.00751470949972,0.0419205427380,0.38634233,0.0000773922936699,0.00116280000,0.38750513000,1,14,1.08112980769,0.420888762987,111,2.07832532051,4.72163147723,bnb: **3193** ; cg: **1540** ; manual: **13** ; knapsack: **220** ; srd: **26**
bustabit-2019-2020-tiny-utxotargets,0.93631016,225.876363636,194,7,5922,5492,0,2010,bnb: **3482** ; Total: **3482**,0.00010084,0.48927858,0.00777606514925,0.0428490607941,0.42446782,0.0000772883867444,0.00131920000,0.42578702000,1,14,1.07829570284,0.406721179196,111,2.07957028405,4.59256419957,bnb: **3482** ; cg: **1726** ; manual: **13** ; knapsack: **240** ; srd: **31**
bustabit-2019-2020-tiny-utxotargets,1.87586215,226.472333333,191,9,6438,5990,0,2202,bnb: **3788** ; Total: **3788**,0.00010084,0.48927858,0.00753325806540,0.0417168792491,0.47408615,0.0000791462687813,0.00129880000,0.47538495000,1,14,1.07479131886,0.393742482196,111,2.07378964942,4.50515715275,bnb: **3788** ; cg: **1891** ; manual: **13** ; knapsack: **265** ; srd: **33**
bustabit-2019-2020-tiny-utxotargets,2.05276357,226.701846154,139,9,6971,6490,0,2433,bnb: **4057** ; Total: **4057**,0.00010084,0.48927858,0.00724588610358,0.0406099933816,0.50883156,0.0000784023975347,0.000945200000,0.509776760000,1,14,1.07411402157,0.385703671862,111,2.06178736518,4.38939557773,bnb: **4057** ; cg: **2091** ; manual: **14** ; knapsack: **294** ; srd: **34**
bustabit-2019-2020-tiny-utxotargets,1.54131660,226.753285714,174,11,7506,6988,0,2649,bnb: **4339** ; Total: **4339**,0.00010084,0.49985266,0.00729974911287,0.0411305879130,0.54078092,0.0000773870807098,0.00118320000,0.54196412000,1,14,1.07412707499,0.380127918169,111,2.07240984545,4.37630531131,bnb: **4339** ; cg: **2282** ; manual: **15** ; knapsack: **318** ; srd: **34**
bustabit-2019-2020-tiny-utxotargets,1.27542816,226.463333333,187,13,8019,7486,0,2798,bnb: **4688** ; Total: **4688**,0.00010084,0.49985266,0.00735811134739,0.0409358299665,0.59098805,0.0000789457721079,0.00127160000,0.59225965000,1,14,1.07119957254,0.370424773385,111,2.06959658028,4.39594669959,bnb: **4688** ; cg: **2416** ; manual: **15** ; knapsack: **332** ; srd: **35**
bustabit-2019-2020-tiny-utxotargets,1.04452392,226.890250000,178,14,8543,7985,0,3010,bnb: **4975** ; Total: **4975**,0.00010084,0.49985266,0.00711018217276,0.0400447185069,0.62996794,0.0000788939185974,0.00121040000,0.63117834000,1,14,1.06988102693,0.363166046771,111,2.06737633062,4.33954285682,bnb: **4975** ; cg: **2575** ; manual: **15** ; knapsack: **383** ; srd: **37**
bustabit-2019-2020-tiny-utxotargets,2.04615541,226.804588235,189,14,9088,8485,0,3237,bnb: **5248** ; Total: **5248**,0.00010084,0.49985266,0.00715534366080,0.0404745369445,0.65693483,0.0000774230795522,0.00128520000,0.65822003000,1,14,1.07106658810,0.365623679594,111,2.06682380672,4.27393433759,bnb: **5248** ; cg: **2753** ; manual: **15** ; knapsack: **429** ; srd: **40**
bustabit-2019-2020-tiny-utxotargets,1.82385980,226.511222222,191,15,9614,8984,0,3393,bnb: **5591** ; Total: **5591**,0.00010084,0.49985266,0.00752811162983,0.0422134606172,0.70643306,0.0000786323530721,0.00129880000,0.70773186000,1,14,1.07012466607,0.360868597944,111,2.06667408727,4.35994670612,bnb: **5591** ; cg: **2885** ; manual: **16** ; knapsack: **449** ; srd: **43**
bustabit-2019-2020-tiny-utxotargets,2.42231500,226.319052632,141,15,10158,9484,0,3610,bnb: **5874** ; Total: **5874**,0.00010084,0.49985266,0.00766778107202,0.0431508298270,0.74603748,0.0000786627456769,0.000958800000,0.746996280000,1,14,1.07106706031,0.359575599217,111,2.06242091944,4.35338016811,bnb: **5874** ; cg: **3074** ; manual: **16** ; knapsack: **474** ; srd: **46**
bustabit-2019-2020-tiny-utxotargets,3.48087206,226.255100000,184,15,10700,9984,0,3816,bnb: **6168** ; Total: **6168**,0.00010084,0.49985266,0.00774739293763,0.0437285410499,0.77487012,0.0000776111899038,0.00125120000,0.77612132000,1,14,1.07171474359,0.358446155731,111,2.06730769231,4.41486258482,bnb: **6168** ; cg: **3246** ; manual: **18** ; knapsack: **505** ; srd: **47**
bustabit-2019-2020-tiny-utxotargets,3.24029185,226.157619048,185,15,11234,10484,0,3956,bnb: **6528** ; Total: **6528**,0.00010084,0.49985266,0.00756802431749,0.0429639824706,0.82008645,0.0000782226678749,0.00125800000,0.82134445000,1,14,1.07153758108,0.355433266379,111,2.06877146127,4.43528961070,bnb: **6528** ; cg: **3363** ; manual: **20** ; knapsack: **525** ; srd: **48**
