id,input_amounts
0,['0.00009688']
1,['0.00200540']
2,['0.00049495']
3,['0.00009782']
4,['0.00049904']
5,['0.00010277']
6,['0.00050008']
7,['0.00050059']
8,['0.00050397']
9,['0.00010199']
10,['0.00050685']
11,['0.00999330']
12,['0.00009829']
13,['0.00050725']
14,['0.00010622']
15,['0.00010389']
16,['0.00010306']
17,['0.00050988']
18,['0.00009845']
19,['0.00009874']
20,['0.00010206']
21,['0.00010313']
22,['0.00051200']
23,['0.00010913']
24,['0.00010976']
25,['0.00051704']
26,['0.00010512']
27,['0.00201436']
28,['0.00010981']
29,['0.00010992']
30,['0.00052253']
31,['0.00201921']
32,['0.00011099']
33,"['0.00023470', '0.00012075', '0.00012321']"
34,['0.00202356']
35,"['0.00023099', '0.00012426', '0.00012604']"
36,"['0.00018583', '0.00022562', '0.00009285']"
37,['0.00011182']
38,['0.00011303']
39,"['0.00022497', '0.00012765', '0.00012822']"
40,['0.00053462']
41,['0.00011310']
42,['0.00011761']
43,['0.00011384']
44,['0.00011452']
45,['0.00011714']
46,['0.00011730']
47,['0.00011834']
48,['0.00011896']
49,['0.34373580']
50,['0.00012436']
51,['0.00012646']
52,['0.00053520']
53,['0.00012064']
54,['0.00012157']
55,['0.00012647']
56,['0.00054455']
57,['0.00054625']
58,['0.00055490']
59,['0.00012186']
60,['0.00012661']
61,['0.00012930']
62,['0.00202948']
63,['0.00012970']
64,['0.00013002']
65,['0.00013010']
66,['0.00013100']
67,['0.00055717']
68,['0.00203693']
69,['0.00013252']
70,['0.00013366']
71,['0.00055782']
72,['0.00013414']
73,['0.00206804']
74,"['0.00021562', '0.00009419', '0.00021485']"
75,['0.01029633']
76,['0.01264598']
77,['0.01318175']
78,['0.00208842']
79,['0.49996900']
80,['0.00056171']
81,['0.00211966']
82,['0.00242682']
83,"['0.00009450', '0.00045452']"
84,['0.00013511']
85,['0.00013567']
86,['0.00056282']
87,['0.00014047']
88,['0.00013647']
89,['0.00014102']
90,['0.00213524']
91,['0.00018535']
92,['0.00020759']
93,['0.00020356']
94,['0.00020011']
95,['0.00020567']
96,['0.00020399']
97,['0.00058090']
98,['0.00020939']
99,['0.00018885']
100,['0.00020972']
101,['0.00213765']
102,['0.00013012']
103,['0.00013381']
104,['0.00052127']
105,['0.00015233']
106,['0.00053686']
107,['0.00015804']
108,['0.00015260']
109,['0.00054790']
110,['0.01004967']
111,['0.00202806']
112,['0.00020309']
113,['0.00057683']
114,['0.00016629']
115,['0.00014299']
116,['0.00013766']
117,['0.00014205']
118,['0.00014775']
119,['0.00014503']
120,['0.00014305']
121,['0.00014891']
122,['0.00015404']
123,['0.00052714']
124,['0.00014579']
125,['0.00207341']
126,['0.00018161']
127,['0.00017991']
128,['0.00020733']
129,['0.00059545']
130,['0.00020775']
131,['0.00018284']
132,['0.00018360']
133,['0.00022447']
134,['0.00026944']
135,['0.00063703']
136,['0.00023855']
137,['0.00060750']
138,['0.00062276']
139,['0.00064167']
140,['0.00023033']
141,['0.00064183']
142,['0.00023855']
143,['0.00028437']
144,['0.00023669']
145,['0.00060195']
146,['0.00023051']
147,['0.00050166']
148,['0.00064227']
149,['0.00069323']
150,['0.00069340']
151,['0.00069672']
152,['0.00130232']
153,['0.00218220']
154,['0.00092292']
155,['0.00019265']
156,['0.00016938']
157,['0.00016525']
158,['0.00057119']
159,['0.00016495']
160,['0.00017133']
161,['0.00017789']
162,['0.00016593']
163,['0.00017342']
164,['0.00016615']
165,['0.00015900']
166,['0.00017981']
167,['0.00057136']
168,['0.00018166']
169,['0.00017847']
170,['0.00020827']
171,['0.00020856']
172,['0.00021073']
173,['0.01029193']
174,['0.00017921']
175,['0.00021230']
176,['0.00065167']
177,['0.00194878']
178,['0.00023678']
179,['0.00023724']
180,['0.00019105']
181,['0.00018090']
182,['0.00057159']
183,['0.00016608']
184,['0.00016656']
185,['0.00016742']
186,['0.01055563']
187,['0.00057188']
188,['0.00014318']
189,['0.00057294']
190,['0.00057353']
191,['0.00058318']
192,['0.00015001']
193,['0.00013876']
194,['0.00058700']
195,['0.00014547']
196,['0.00210121']
197,['0.01225083']
198,['0.30937852']
199,['0.00221769']
200,['0.00014958']
201,['0.00014581']
202,['0.00014341']
203,['0.01087107']
204,['0.48586400']
205,['0.00056265']
206,['0.00224031']
207,['0.00013388']
208,['0.00012857']
209,['0.49996900']
210,['0.00013457']
211,['0.00072117']
212,['0.00014613']
213,['0.00014924']
214,['0.00050319']
215,['0.00014959']
216,['0.00016873']
217,['0.00016242']
218,['0.00073107']
219,['0.00013023']
220,['0.00227637']
221,['0.00015514']
222,['0.49996900']
223,['0.00069798']
224,['0.00014959']
225,['0.00015625']
226,['0.00230043']
227,['0.00231950']
228,"['0.00021948', '0.00012496', '0.00021241']"
229,['0.49996900']
230,['0.00231942']
231,['0.00013258']
232,['0.00012058']
233,"['0.00026990', '0.00073288', '0.00092385']"
234,"['0.00232704', '0.00232311']"
235,['0.00011566']
236,['0.00011416']
237,['0.00011641']
238,['0.49996900']
239,['0.00011712']
240,['0.00065595']
241,['0.00010288']
242,['0.00233378']
243,['0.00012183']
244,['0.00243969']
245,['0.49996900']
246,['0.00234634']
247,['0.00010399']
248,['0.00010453']
249,['0.00070320']
250,['0.00237220']
251,['0.00239784']
252,['0.00010636']
253,"['0.00031481', '0.00017338']"
254,"['0.00084971', '0.00050332', '0.00073363']"
255,['0.00050951']
256,['0.00051009']
257,['0.01093709']
258,['0.00011312']
259,['0.00011631']
260,['0.00011369']
261,['0.00010006']
262,['0.00010875']
263,['0.00051152']
264,['0.00011476']
265,['0.00011519']
266,['0.00011123']
267,['0.00011678']
268,['0.00011767']
269,['0.00012112']
270,['0.00013420']
271,['0.00012339']
272,['0.00012369']
