----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 3.59226192 | 212.108000000 | 185 | 1 | 556 | 498 | 0 | 134 | bnb: **364** ; Total: **364** | 0.00010453 | 0.01362942 | 0.00220065216418 | 0.00359409844068 | 0.02535632 | 0.0000509163052209 | 0.00125800000 | 0.02661432000 | 1 | 5 | 1.11646586345 | 0.455781063788 | 106 | 2.10240963855 | 6.35973518368 | bnb: **364** ; manual: **2** ; cg: **111** ; knapsack: **19** ; srd: **2** |
| bustabit-2019-2020-tiny-utxotargets | 2.96231103 | 214.545000000 | 165 | 1 | 1083 | 998 | 0 | 242 | bnb: **756** ; Total: **756** | 0.00009126 | 0.01374982 | 0.00243600359504 | 0.00380827949552 | 0.07578789 | 0.0000759397695391 | 0.00112200000 | 0.07690989000 | 1 | 5 | 1.08517034068 | 0.382359933044 | 106 | 2.08416833667 | 5.89824531136 | bnb: **756** ; manual: **3** ; cg: **208** ; knapsack: **29** ; srd: **2** |
| bustabit-2019-2020-tiny-utxotargets | 4.09746025 | 221.442000000 | 155 | 1 | 1621 | 1498 | 0 | 457 | bnb: **1041** ; Total: **1041** | 0.00009126 | 0.49495414 | 0.00976718229759 | 0.0582246604450 | 0.11318989 | 0.0000755606742323 | 0.00105400000 | 0.11424389000 | 1 | 5 | 1.08210947931 | 0.371766202852 | 106 | 2.08945260347 | 5.18952836425 | bnb: **1041** ; manual: **5** ; cg: **392** ; knapsack: **57** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 3.58769577 | 223.699000000 | 187 | 1 | 2151 | 1998 | 0 | 674 | bnb: **1324** ; Total: **1324** | 0.00007886 | 0.49495414 | 0.0105255317804 | 0.0601717257197 | 0.14125786 | 0.0000706996296296 | 0.00127160000 | 0.14252946000 | 1 | 5 | 1.07657657658 | 0.354726144862 | 106 | 2.08058058058 | 4.75098632600 | bnb: **1324** ; manual: **6** ; cg: **566** ; knapsack: **99** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.38005424 | 225.242000000 | 169 | 1 | 2675 | 2498 | 0 | 816 | bnb: **1682** ; Total: **1682** | 0.00004611 | 0.49495414 | 0.0102774563725 | 0.0585166340925 | 0.18859686 | 0.0000754991433147 | 0.00114920000 | 0.18974606000 | 1 | 5 | 1.07085668535 | 0.336331814708 | 106 | 2.07405924740 | 4.65292373189 | bnb: **1682** ; manual: **7** ; cg: **693** ; knapsack: **113** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 3.63256647 | 226.139666667 | 179 | 3 | 3224 | 2996 | 0 | 991 | bnb: **2005** ; Total: **2005** | 0.00001178 | 0.49495414 | 0.00935895156408 | 0.0549709737026 | 0.22798272 | 0.0000760957009346 | 0.00121720000 | 0.22919992000 | 1 | 5 | 1.07610146862 | 0.346047978934 | 106 | 2.07276368491 | 4.61137946170 | bnb: **2005** ; manual: **7** ; cg: **846** ; knapsack: **135** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 3.19625702 | 227.918571429 | 193 | 5 | 3761 | 3494 | 0 | 1184 | bnb: **2310** ; Total: **2310** | 0.00001178 | 0.49495414 | 0.0100070315963 | 0.0567302772803 | 0.26211222 | 0.0000750178076703 | 0.00131240000 | 0.26342462000 | 1 | 5 | 1.07641671437 | 0.348649489368 | 106 | 2.06983400114 | 4.39956015368 | bnb: **2310** ; manual: **7** ; cg: **1021** ; knapsack: **153** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.82034406 | 227.089500000 | 195 | 5 | 4288 | 3994 | 0 | 1341 | bnb: **2653** ; Total: **2653** | 0.00001178 | 0.49495414 | 0.00907490915735 | 0.0533789817872 | 0.30531839 | 0.0000764442638958 | 0.00132600000 | 0.30664439000 | 1 | 5 | 1.07361041562 | 0.341017811059 | 106 | 2.07536304457 | 4.41130743535 | bnb: **2653** ; manual: **9** ; cg: **1142** ; knapsack: **187** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.73842250 | 228.278888889 | 192 | 7 | 4832 | 4492 | 0 | 1505 | bnb: **2987** ; Total: **2987** | 0.00001178 | 0.49495414 | 0.00928351673090 | 0.0534897206663 | 0.34819841 | 0.0000775152292965 | 0.00130560000 | 0.34950401000 | 1 | 5 | 1.07569011576 | 0.348123883692 | 106 | 2.07390917186 | 4.32011916042 | bnb: **2987** ; manual: **10** ; cg: **1281** ; knapsack: **211** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.95696661 | 228.847200000 | 177 | 7 | 5366 | 4992 | 0 | 1689 | bnb: **3303** ; Total: **3303** | 0.00001178 | 0.49495414 | 0.00906759646536 | 0.0521437493410 | 0.38389311 | 0.0000769016646635 | 0.00120360000 | 0.38509671000 | 1 | 5 | 1.07491987179 | 0.344978567409 | 106 | 2.07331730769 | 4.31882011039 | bnb: **3303** ; manual: **11** ; cg: **1430** ; knapsack: **245** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.08252008 | 229.417090909 | 187 | 7 | 5891 | 5492 | 0 | 1867 | bnb: **3625** ; Total: **3625** | 0.00001178 | 0.49495414 | 0.00986401083021 | 0.0545449881122 | 0.42402946 | 0.0000772085688274 | 0.00127160000 | 0.42530106000 | 1 | 5 | 1.07265112891 | 0.339263398998 | 106 | 2.07337946103 | 4.27393424680 | bnb: **3625** ; manual: **11** ; cg: **1584** ; knapsack: **269** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.43942183 | 229.461666667 | 170 | 9 | 6405 | 5990 | 0 | 2035 | bnb: **3955** ; Total: **3955** | 0.00001178 | 0.49495414 | 0.00988718797543 | 0.0541165679513 | 0.47099853 | 0.0000786308063439 | 0.00115600000 | 0.47215453000 | 1 | 5 | 1.06928213689 | 0.331525996351 | 106 | 2.05826377295 | 4.15098790751 | bnb: **3955** ; manual: **11** ; cg: **1726** ; knapsack: **295** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 2.48412041 | 230.218923077 | 188 | 9 | 6933 | 6490 | 0 | 2275 | bnb: **4215** ; Total: **4215** | 0.00001178 | 0.49495414 | 0.0101345682462 | 0.0543465252359 | 0.51050534 | 0.0000786602989214 | 0.00127840000 | 0.51178374000 | 1 | 5 | 1.06825885978 | 0.329558217086 | 106 | 2.06764252696 | 4.12034454425 | bnb: **4215** ; manual: **13** ; cg: **1927** ; knapsack: **328** ; srd: **7** |
