Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.34917935,266.204000000,229,50,464,450,0,436,bnb: **14** ; Total: **14**,0.04871558,0.04986001,0.0492986517202,0.000358766120856,0.01844284,0.0000409840888889,0.00155720000,0.02000004000,1,2,1.03111111111,0.173811230863,2,1.96888888889,0.173811230863,cg: **436** ; bnb: **14**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.57785990,3023.37200000,6691,89,955,911,0,575,bnb: **336** ; Total: **336**,0.00011155,0.04986001,0.0384245980870,0.0197277848229,0.08437295,0.0000926157519210,0.0454988000,0.1298717500,1,2,1.04829857300,0.214514178399,168,9.01536772777,20.2311853947,cg: **450** ; bnb: **336** ; manual: **125**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.46650139,4369.68466667,7384,143,1410,1357,0,622,bnb: **735** ; Total: **735**,0.00011155,0.04986001,0.0355329951447,0.0214985655486,0.10316575,0.0000760248710391,0.0502112000,0.1533769500,1,2,1.03905674282,0.193801423152,256,7.25350036846,19.4194652649,cg: **483** ; bnb: **735** ; manual: **139**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.45338159,5208.91650000,7729,189,1864,1811,0,629,bnb: **1182** ; Total: **1182**,0.00011155,0.04986001,0.0351389222099,0.0216992499392,0.12055307,0.0000665671286582,0.0525572000,0.1731102700,1,2,1.02926559912,0.168596617621,256,6.05190502485,17.9920657917,cg: **483** ; bnb: **1182** ; manual: **146**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.35846661,5673.14920000,7333,241,2312,2259,0,629,bnb: **1630** ; Total: **1630**,0.00011155,0.04986001,0.0351389222099,0.0216992499392,0.16225873,0.0000718276803896,0.0498644000,0.2121231300,1,2,1.02346170872,0.151398162632,256,5.05002213369,16.2341337341,cg: **483** ; bnb: **1630** ; manual: **146**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.09307798,5916.39033333,6933,291,2762,2709,0,629,bnb: **2080** ; Total: **2080**,0.00011155,0.04986001,0.0351389222099,0.0216992499392,0.37030321,0.000136693691399,0.0471444000,0.4174476100,1,2,1.01956441491,0.138523398417,256,4.37726098191,14.9005125079,cg: **483** ; bnb: **2080** ; manual: **146**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.97014288,6033.22314286,6529,329,3224,3171,0,649,bnb: **2522** ; Total: **2522**,0.00011155,0.04986001,0.0340607206009,0.0222023072386,0.43556416,0.000137358612425,0.0443972000,0.4799613600,1,2,1.01671397036,0.128217775569,256,3.89151687165,13.8223369014,cg: **503** ; bnb: **2522** ; manual: **146**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.87755456,6077.88300000,6260,374,3679,3626,0,790,bnb: **2836** ; Total: **2836**,0.00011155,0.04986001,0.0280187004557,0.0239393875315,0.48014730,0.000132417898511,0.0425680000,0.5227153000,1,2,1.01461665747,0.120029096649,256,3.56756756757,12.9550942817,cg: **644** ; bnb: **2836** ; manual: **146**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.78913270,6087.36133333,6051,425,4130,4075,0,1010,bnb: **3065** ; Total: **3065**,0.00011155,0.04986001,0.0219582629505,0.0240864905084,0.51742319,0.000126975015951,0.0411468000,0.5585699900,1,2,1.01349693252,0.115403784847,256,3.33865030675,12.2387943055,cg: **864** ; bnb: **3065** ; manual: **146**
