Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.34917935,266.204000000,229,50,464,450,0,436,bnb: **14** ; Total: **14**,0.04871558,0.04986001,0.0492986517202,0.000358766120856,0.01844284,0.0000409840888889,0.00155720000,0.02000004000,1,2,1.03111111111,0.173811230863,2,1.96888888889,0.173811230863,cg: **436** ; bnb: **14**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.54921734,4261.68800000,10739,89,925,911,0,639,bnb: **272** ; Total: **272**,0.00011155,0.04986001,0.0351566514397,0.0211697863973,0.11321472,0.000124275214050,0.0730252000,0.1862399200,1,2,1.01536772777,0.123077978548,171,13.4259055982,24.2636332727,cg: **440** ; bnb: **272** ; manual: **199**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.38184604,7148.50466667,14334,143,1379,1357,0,868,bnb: **489** ; Total: **489**,0.00011155,0.04986001,0.0276143744816,0.0222352016912,0.15635008,0.000115217450258,0.0974712000,0.2538212800,1,2,1.01621223287,0.126337478461,250,12.3249815770,23.4084497250,cg: **440** ; bnb: **489** ; manual: **428**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.39370215,9156.03600000,15523,189,1833,1811,0,1054,bnb: **757** ; Total: **757**,0.00011155,0.04986001,0.0237456480171,0.0219204041421,0.18166430,0.000100311595803,0.105556400,0.287220700,1,2,1.01214798454,0.109576644737,250,10.3384870237,20.8651485499,cg: **440** ; bnb: **757** ; manual: **614**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.30065370,10389.6448000,15127,241,2281,2259,0,1054,bnb: **1205** ; Total: **1205**,0.00011155,0.04986001,0.0237456480171,0.0219204041421,0.22336996,0.0000988800177069,0.102863600,0.326233560,1,2,1.00973882249,0.0982255000032,250,8.48649845064,19.0485875673,cg: **440** ; bnb: **1205** ; manual: **614**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.03602872,11145.8033333,14727,291,2731,2709,0,1054,bnb: **1655** ; Total: **1655**,0.00011155,0.04986001,0.0237456480171,0.0219204041421,0.43141444,0.000159252284976,0.100143600,0.531558040,1,2,1.00812107789,0.0897669234680,250,7.24289405685,17.6158769165,cg: **440** ; bnb: **1655** ; manual: **614**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.91503976,11627.4680000,14303,329,3193,3171,0,1054,bnb: **2117** ; Total: **2117**,0.00011155,0.04986001,0.0237456480171,0.0219204041421,0.49534755,0.000156211778619,0.0972604000,0.5926079500,1,2,1.00693787449,0.0830175511854,250,6.33333333333,16.4300128033,cg: **440** ; bnb: **2117** ; manual: **614**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.82338943,11936.7650000,13893,374,3648,3626,0,1054,bnb: **2572** ; Total: **2572**,0.00011155,0.04986001,0.0237456480171,0.0219204041421,0.53538870,0.000147652702703,0.0944724000,0.6298611000,1,2,1.00606729178,0.0776668741011,250,5.66409266409,15.4656002246,cg: **440** ; bnb: **2572** ; manual: **614**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.73470482,12134.5473333,13557,425,4097,4075,0,1157,bnb: **2918** ; Total: **2918**,0.00011155,0.04986001,0.0216485930337,0.0219711413800,0.56993464,0.000139861261350,0.0921876000,0.6621222400,1,2,1.00539877301,0.0732867264878,250,5.17546012270,14.6551050015,cg: **543** ; bnb: **2918** ; manual: **614**
