id,input_amounts
0,['0.05000000']
1,['0.05000000']
2,['0.05000000']
3,['0.05000000']
4,['0.05000000']
5,['0.05000000']
6,['0.05000000']
7,['0.05000000']
8,['0.05000000']
9,['0.05000000']
10,['0.05000000']
11,['0.05000000']
12,['0.05000000']
13,['0.05000000']
14,['0.05000000']
15,['0.05000000']
16,['0.05000000']
17,['0.05000000']
18,['0.05000000']
19,['0.05000000']
20,['0.05000000']
21,['0.05000000']
22,['0.05000000']
23,['0.05000000']
24,['0.05000000']
25,['0.05000000']
26,"['0.00008775', '0.00007713']"
27,['0.05000000']
28,['0.05000000']
29,['0.05000000']
30,['0.05000000']
31,['0.05000000']
32,['0.05000000']
33,['0.05000000']
34,['0.05000000']
35,['0.05000000']
36,['0.05000000']
37,['0.05000000']
38,['0.05000000']
39,['0.05000000']
40,['0.05000000']
41,['0.05000000']
42,['0.05000000']
43,['0.05000000']
44,['0.05000000']
45,['0.05000000']
46,['0.05000000']
47,['0.05000000']
48,['0.05000000']
49,['0.05000000']
50,['0.04983800']
51,['0.04983800']
52,['0.04983800']
53,['0.04983800']
54,['0.04983800']
55,['0.04983800']
56,['0.04983800']
57,['0.04983614']
58,['0.04983521']
59,['0.04983521']
60,['0.04983521']
61,['0.04983521']
62,['0.04983505']
63,['0.04983505']
64,['0.04983505']
65,['0.04983505']
66,['0.04983505']
67,['0.04983505']
68,['0.04983505']
69,['0.04983505']
70,['0.04983505']
71,['0.04983490']
72,['0.04983490']
73,['0.04983490']
74,"['0.00006852', '0.00008807']"
75,['0.04983490']
76,['0.04983552']
77,['0.04984776']
78,['0.04985319']
79,['0.04985629']
80,['0.04985629']
81,['0.04985629']
82,['0.04985629']
83,['0.04985629']
84,['0.04985629']
85,['0.04985629']
86,['0.04985613']
87,['0.04985613']
88,['0.04985613']
89,['0.04985613']
90,['0.04985613']
91,"['0.00007037', '0.00007236']"
92,['0.04985613']
93,['0.04985613']
94,['0.04985613']
95,['0.04985613']
96,['0.04985613']
97,['0.04985613']
98,['0.04985613']
99,['0.04985892']
100,"['0.00004615', '0.00009686']"
101,['0.04969801']
102,['0.04969801']
103,['0.04969801']
104,['0.04969801']
105,['0.04969801']
106,['0.04969801']
107,['0.04969615']
108,['0.04969522']
109,['0.04969522']
110,['0.04969522']
111,['0.04969444']
112,['0.04969335']
113,['0.04969335']
114,['0.04969335']
115,['0.04969335']
116,['0.04969382']
117,['0.04969490']
118,['0.04969366']
119,['0.04969320']
120,['0.04969475']
121,['0.04969506']
122,['0.04969692']
123,['0.04969692']
124,['0.04969801']
125,['0.04969630']
126,['0.04969615']
127,['0.04970963']
128,['0.04971490']
129,['0.04971800']
130,['0.04971800']
131,"['0.00006516', '0.00009027']"
132,"['0.00004530', '0.00009807']"
133,['0.04971800']
134,['0.04971800']
135,['0.04971800']
136,['0.04971800']
137,['0.04971800']
138,['0.04971800']
139,['0.04971800']
140,['0.04971800']
141,['0.04971816']
142,['0.04971800']
143,['0.04971800']
144,['0.04971800']
145,['0.04971800']
146,['0.04971800']
147,"['0.00006870', '0.00008579']"
148,['0.04971800']
149,['0.04971800']
150,['0.04971831']
151,['0.04955972']
152,['0.04955972']
