Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,0,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,10.34917935,266.204000000,229,50,464,450,0,436,bnb: **14** ; Total: **14**,0.04871558,0.04986001,0.0492986517202,0.000358766120856,0.01844284,0.0000409840888889,0.00155720000,0.02000004000,1,2,1.03111111111,0.173811230863,2,1.96888888889,0.173811230863,cg: **436** ; bnb: **14**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.55030729,4229.21000000,10584,89,925,911,0,639,bnb: **272** ; Total: **272**,0.00011155,0.04986001,0.0350875697653,0.0212635355194,0.11210673,0.000123058979144,0.0719712000,0.1840779300,1,2,1.01536772777,0.123077978548,183,13.2557628979,24.1582103816,cg: **440** ; bnb: **272** ; manual: **199**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.42730696,6849.90600000,13041,143,1376,1357,0,686,bnb: **671** ; Total: **671**,0.00011155,0.04986001,0.0328000036152,0.0222045102048,0.14353776,0.000105775799558,0.0886788000,0.2322165600,1,2,1.01400147384,0.117539838213,250,11.3765659543,23.5931683339,cg: **440** ; bnb: **671** ; manual: **246**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.41278671,8485.34700000,13398,189,1830,1811,0,694,bnb: **1117** ; Total: **1117**,0.00011155,0.04986001,0.0324233193948,0.0223502420963,0.16134371,0.0000890909497515,0.0911064000,0.2524501100,1,2,1.01049144119,0.101917154682,250,9.16344561016,21.6732085051,cg: **440** ; bnb: **1117** ; manual: **254**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.31903015,9428.09360000,13002,241,2278,2259,0,694,bnb: **1565** ; Total: **1565**,0.00011155,0.04986001,0.0324233193948,0.0223502420963,0.20304937,0.0000898846259407,0.0884136000,0.2914629700,1,2,1.00841080124,0.0913441471717,250,7.54448871182,19.6756502553,cg: **440** ; bnb: **1565** ; manual: **254**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,12.05386883,9990.34400000,12602,291,2728,2709,0,694,bnb: **2015** ; Total: **2015**,0.00011155,0.04986001,0.0324233193948,0.0223502420963,0.41109385,0.000151751144334,0.0856936000,0.4967874500,1,2,1.00701365818,0.0834687881030,250,6.45736434109,18.1310501600,cg: **440** ; bnb: **2015** ; manual: **254**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.93199995,10333.5028571,12178,329,3190,3171,0,694,bnb: **2477** ; Total: **2477**,0.00011155,0.04986001,0.0324233193948,0.0223502420963,0.47502696,0.000149803519395,0.0828104000,0.5578373600,1,2,1.00599180069,0.0771866429554,250,5.66225165563,16.8681028342,cg: **440** ; bnb: **2477** ; manual: **254**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.84030672,10538.9205000,11768,374,3645,3626,0,694,bnb: **2932** ; Total: **2932**,0.00011155,0.04986001,0.0324233193948,0.0223502420963,0.51506811,0.000142048568671,0.0800224000,0.5950905100,1,2,1.00523993381,0.0722074430352,250,5.07722007722,15.8494501450,cg: **440** ; bnb: **2932** ; manual: **254**
2304-2404-bitcoind-1-2_blocks-utxotargetsv3,11.75580701,10659.2877778,11501,425,4094,4075,0,839,bnb: **3236** ; Total: **3236**,0.00011155,0.04986001,0.0268534191895,0.0237015196305,0.55050408,0.000135093025767,0.0782068000,0.6287108800,1,2,1.00466257669,0.0681320497344,250,4.66355828221,14.9975267017,cg: **585** ; bnb: **3236** ; manual: **254**
