id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00002490,0.00001139,0.0000113906678866,knapsack,1,0,49,0.00050051,0,0,707
1,0.00010000,0.00003735,0.00001476,0.0000147628458498,knapsack,1,0,57,0.00050094,0,0,745
2,0.00200000,0.00004300,0.00001929,0.0000192911619560,knapsack,1,0,50,0.00318630,0,0,795
3,0.00050000,0.00006124,0.00002645,0.0000264535637149,knapsack,1,0,52,0.00089948,0,0,874
4,0.00010000,0.00003590,0.00001495,0.0000149521032903,knapsack,1,0,54,0.00050103,0,0,747
5,0.00050000,0.00003493,0.00001567,0.0000156707043517,knapsack,1,0,50,0.00077791,0,0,755
6,0.00010000,0.00017113,0.00006764,0.0000676403162055,knapsack,1,0,57,0.00050300,0,0,1331
7,0.00050000,0.00006584,0.00002742,0.0000274219075385,knapsack,1,0,54,0.00080637,0,0,885
8,0.00050000,0.00018707,0.00007933,0.0000793341815098,knapsack,1,0,53,0.00071474,0,0,1462
9,0.00050000,0.00014428,0.00006232,0.0000623239740821,knapsack,1,0,52,0.00085804,0,0,1272
10,0.00010000,0.00014137,0.00006222,0.0000622227112676,knapsack,1,0,51,0.00050291,0,0,1272
11,0.00050000,0.00006575,0.00002788,0.0000278837998304,knapsack,1,0,53,0.00053949,0,0,890
12,0.01000000,0.00006271,0.00002926,0.0000292627158189,knapsack,1,0,48,0.00693726,0,0,905
13,0.00010000,0.00004524,0.00001991,0.0000199119718310,knapsack,1,0,51,0.00050106,0,0,802
14,0.00050000,0.00012154,0.00004646,0.0000464602446483,knapsack,1,0,59,0.00058450,0,0,1096
15,0.00010000,0.00021360,0.00009401,0.0000940140845070,knapsack,1,0,51,0.00050443,0,0,1625
16,0.00010000,0.00019947,0.00007884,0.0000788418972332,knapsack,1,0,57,0.00050396,0,0,1457
17,0.00010000,0.00016000,0.00006785,0.0000678541136556,knapsack,1,0,53,0.00050305,0,0,1334
18,0.00050000,0.00009491,0.00004025,0.0000402502120441,knapsack,1,0,53,0.00064699,0,0,1028
19,0.00010000,0.00004821,0.00002205,0.0000220539798719,knapsack,1,0,49,0.00050104,0,0,825
20,0.00010000,0.00003922,0.00001499,0.0000149923547401,knapsack,1,0,59,0.00050096,0,0,747
21,0.00010000,0.00012063,0.00004611,0.0000461123853211,knapsack,1,0,59,0.00050241,0,0,1093
22,0.00010000,0.00017666,0.00006753,0.0000675305810398,knapsack,1,0,59,0.00050328,0,0,1331
23,0.00050000,0.00024155,0.00010060,0.000100603915035,knapsack,1,0,54,0.00085067,0,0,1698
24,0.00010000,0.00022949,0.00010498,0.000104981701738,knapsack,1,0,49,0.00050480,0,0,1746
25,0.00010000,0.00024851,0.00010539,0.000105390161154,knapsack,1,0,53,0.00050498,0,0,1751
26,0.00050000,0.00005229,0.00002392,0.0000239204025618,knapsack,1,0,49,0.00074050,0,0,846
27,0.00010000,0.00015205,0.00006448,0.0000644826123834,knapsack,1,0,53,0.00050317,0,0,1297
28,0.00200000,0.00022520,0.00010103,0.000101031852849,knapsack,1,0,50,0.00353596,0,0,1703
