id,input_amounts
0,['0.05000000']
1,['0.05000000']
2,['0.05000000']
3,['0.05000000']
4,['0.05000000']
5,['0.05000000']
6,['0.05000000']
7,['0.05000000']
8,['0.05000000']
9,['0.05000000']
10,['0.05000000']
11,['0.05000000']
12,['0.05000000']
13,['0.05000000']
14,['0.05000000']
15,['0.05000000']
16,['0.05000000']
17,['0.05000000']
18,['0.05000000']
19,['0.05000000']
20,['0.05000000']
21,['0.05000000']
22,['0.05000000']
23,['0.05000000']
24,['0.05000000']
25,['0.05000000']
26,['0.05000000']
27,['0.05000000']
28,['0.05000000']
29,['0.05000000']
30,['0.05000000']
31,['0.05000000']
32,['0.05000000']
33,['0.05000000']
34,['0.05000000']
35,['0.05000000']
36,['0.05000000']
37,['0.05000000']
38,['0.05000000']
39,['0.05000000']
40,['0.05000000']
41,['0.05000000']
42,['0.05000000']
43,['0.05000000']
44,['0.05000000']
45,['0.05000000']
46,['0.05000000']
47,['0.05000000']
48,['0.05000000']
49,['0.05000000']
50,['0.05000000']
51,['0.05000000']
52,['0.05000000']
53,['0.05000000']
54,['0.05000000']
55,['0.05000000']
56,['0.05000000']
57,['0.05000000']
58,['0.05000000']
59,['0.05000000']
60,['0.05000000']
61,['0.05000000']
62,['0.05000000']
63,['0.05000000']
64,['0.05000000']
65,['0.05000000']
66,['0.05000000']
67,['0.05000000']
68,['0.05000000']
69,['0.05000000']
70,['0.05000000']
71,['0.05000000']
72,['0.05000000']
73,['0.05000000']
74,['0.05000000']
75,['0.05000000']
76,['0.05000000']
77,['0.05000000']
78,['0.05000000']
79,['0.05000000']
80,['0.05000000']
81,['0.05000000']
82,['0.05000000']
83,['0.05000000']
84,['0.05000000']
85,['0.05000000']
86,['0.05000000']
87,['0.05000000']
88,['0.05000000']
89,['0.05000000']
90,['0.05000000']
91,['0.05000000']
92,['0.05000000']
93,['0.05000000']
94,['0.05000000']
95,['0.05000000']
96,['0.05000000']
97,['0.05000000']
98,['0.05000000']
99,['0.05000000']
100,['0.05000000']
101,['0.00020270']
102,['0.01133943']
103,['0.00013395']
104,['0.00014060']
105,['0.00054653']
106,['0.00015701']
107,['0.00055833']
108,['0.00016217']
109,['0.00015605']
110,['0.00056604']
111,['0.05000000']
112,['0.00207295']
113,['0.00020433']
114,['0.00060465']
115,['0.00017136']
116,['0.00014750']
117,['0.00014141']
118,['0.00014055']
119,['0.00015245']
120,['0.00014957']
121,['0.00014437']
122,['0.00015225']
123,['0.00015788']
124,['0.00054866']
125,['0.00015081']
126,['0.00206483']
127,['0.00018659']
128,['0.00018537']
129,['0.00020261']
130,['0.00061575']
131,['0.00020439']
132,['0.00018842']
133,['0.00018844']
134,['0.00022935']
135,['0.00027311']
136,['0.00066149']
137,['0.00024348']
138,['0.00063317']
139,['0.00063731']
140,['0.00065109']
141,['0.00023381']
142,['0.00063375']
143,['0.00024320']
144,['0.00024653']
145,['0.00024062']
146,['0.00062020']
147,['0.00023382']
148,['0.00024730']
149,['0.00063185']
150,['0.00069715']
151,['0.00071355']
152,['0.00070380']
153,['0.00031036']
154,['0.00220821']
155,['0.00030177']
156,['0.00019697']
157,['0.00017425']
158,['0.00017006']
