----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 5.03580587 | 3529.41000000 | 4876 | 1 | 499 | 499 | 0 | 113 | bnb: **386** ; Total: **386** | 0.00050051 | 0.08597170 | 0.00382497831858 | 0.0118464488702 | 0.06339399 | 0.000127042064128 | 0.0331568000 | 0.0965507900 | 1 | 1 | 1 | 0 | 59 | 11.5691382766 | 20.9498523794 | knapsack: **105** ; bnb: **386** ; cg: **8** |
| bustabit-2019-2020-tiny-utxotargets | 4.70263146 | 4082.56900000 | 4400 | 1 | 999 | 999 | 0 | 137 | bnb: **862** ; Total: **862** | 0.00050051 | 0.08597170 | 0.00691091562044 | 0.0159057743556 | 0.10050569 | 0.000100606296296 | 0.0299200000 | 0.1304256900 | 1 | 1 | 1 | 0 | 59 | 6.30330330330 | 15.7077230758 | knapsack: **111** ; bnb: **862** ; cg: **24** ; srd: **2** |
| bustabit-2019-2020-tiny-utxotargets | 4.41089796 | 4109.53600000 | 3934 | 1 | 1504 | 1499 | 0 | 183 | bnb: **1315** ; knapsack: **1** ; Total: **1316** | 0.00050002 | 0.08597170 | 0.00736735420765 | 0.0157982523633 | 0.13083944 | 0.0000872844829887 | 0.0267512000 | 0.1575906400 | 1 | 3 | 1.00333555704 | 0.0682771105738 | 59 | 4.56504336224 | 13.0555557355 | knapsack: **131** ; bnb: **1315** ; cg: **51** ; srd: **2** |
| bustabit-2019-2020-tiny-utxotargets | 4.09800943 | 4010.39800000 | 3524 | 1 | 2020 | 1999 | 0 | 315 | bnb: **1683** ; knapsack: **1** ; Total: **1684** | 0.00050002 | 0.08597170 | 0.00596653546032 | 0.0126169742711 | 0.15424222 | 0.0000771596898449 | 0.0239632000 | 0.1782054200 | 1 | 3 | 1.01050525263 | 0.115771749341 | 59 | 3.73936968484 | 11.3967755218 | knapsack: **177** ; bnb: **1683** ; cg: **136** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets | 3.72107236 | 3874.75680000 | 3125 | 1 | 2530 | 2499 | 0 | 446 | bnb: **2051** ; knapsack: **2** ; Total: **2053** | 0.00050002 | 0.08597170 | 0.00528384717489 | 0.0108625084884 | 0.19095874 | 0.0000764140616246 | 0.0212500000 | 0.2122087400 | 1 | 3 | 1.01240496198 | 0.127511512500 | 59 | 3.24369747899 | 10.2425467099 | knapsack: **208** ; bnb: **2051** ; cg: **236** ; srd: **4** |
| bustabit-2019-2020-tiny-utxotargets | 3.51515893 | 3730.53266667 | 2839 | 3 | 3041 | 2997 | 0 | 678 | bnb: **2316** ; knapsack: **3** ; Total: **2319** | 0.00050002 | 0.08597170 | 0.00473465432153 | 0.00963633179710 | 0.22262952 | 0.0000742841241241 | 0.0193052000 | 0.2419347200 | 1 | 4 | 1.01468134801 | 0.143103616618 | 59 | 2.94828161495 | 9.37821566836 | knapsack: **264** ; bnb: **2316** ; cg: **413** ; srd: **4** |
| bustabit-2019-2020-tiny-utxotargets | 3.22724991 | 3584.63600000 | 2608 | 5 | 3546 | 3495 | 0 | 909 | bnb: **2583** ; knapsack: **3** ; Total: **2586** | 0.00050002 | 0.08597170 | 0.00458821258526 | 0.00891942658531 | 0.25065086 | 0.0000717169842632 | 0.0177344000 | 0.2683852600 | 1 | 4 | 1.01459227468 | 0.145781939146 | 59 | 2.73676680973 | 8.70172635934 | knapsack: **313** ; bnb: **2583** ; cg: **595** ; srd: **4** |
| bustabit-2019-2020-tiny-utxotargets | 2.92736839 | 3439.70225000 | 2257 | 5 | 4048 | 3995 | 0 | 1114 | bnb: **2878** ; knapsack: **3** ; Total: **2881** | 0.00050002 | 0.08597170 | 0.00453510562837 | 0.00849790715322 | 0.28475098 | 0.0000712768410513 | 0.0153476000 | 0.3000985800 | 1 | 4 | 1.01326658323 | 0.138213140042 | 59 | 2.57071339174 | 8.15253881932 | knapsack: **357** ; bnb: **2878** ; cg: **756** ; srd: **4** |
| bustabit-2019-2020-tiny-utxotargets | 2.65590357 | 3297.65088889 | 2014 | 7 | 4556 | 4493 | 0 | 1352 | bnb: **3137** ; knapsack: **4** ; Total: **3141** | 0.00050002 | 0.08597170 | 0.00460571090237 | 0.00869652687069 | 0.32034910 | 0.0000712995993768 | 0.0136952000 | 0.3340443000 | 1 | 5 | 1.01402181171 | 0.147792170946 | 59 | 2.44958824839 | 7.69680681870 | knapsack: **405** ; bnb: **3137** ; cg: **945** ; srd: **6** |
