id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00000188,0.00001139,0.0000113939393939,knapsack,1,0,2,0.04989812,0,0,707
1,0.00010000,0.00000244,0.00001476,0.0000147878787879,knapsack,1,0,2,0.04989756,0,0,745
2,0.00200000,0.00000319,0.00001929,0.0000193333333333,knapsack,1,0,2,0.04799681,0,0,795
3,0.00050000,0.00000437,0.00002645,0.0000264848484848,knapsack,1,0,2,0.04949563,0,0,874
4,0.00010000,0.00000247,0.00001495,0.0000149696969697,knapsack,1,0,2,0.04989753,0,0,747
5,0.00050000,0.00000259,0.00001567,0.0000156969696970,knapsack,1,0,2,0.04949741,0,0,755
6,0.00010000,0.00001117,0.00006764,0.0000676969696970,knapsack,1,0,2,0.04988883,0,0,1331
7,0.00050000,0.00000453,0.00002742,0.0000274545454545,knapsack,1,0,2,0.04949547,0,0,885
8,0.00050000,0.00001309,0.00007933,0.0000793333333333,knapsack,1,0,2,0.04948691,0,0,1462
9,0.00050000,0.00001029,0.00006232,0.0000623636363636,knapsack,1,0,2,0.04948971,0,0,1272
10,0.00010000,0.00001027,0.00006222,0.0000622424242424,knapsack,1,0,2,0.04988973,0,0,1272
11,0.00050000,0.00000461,0.00002788,0.0000279393939394,knapsack,1,0,2,0.04949539,0,0,890
12,0.01000000,0.00000483,0.00002926,0.0000292727272727,knapsack,1,0,2,0.03999517,0,0,905
13,0.00010000,0.00000329,0.00001991,0.0000199393939394,knapsack,1,0,2,0.04989671,0,0,802
14,0.00050000,0.00000767,0.00004646,0.0000464848484848,knapsack,1,0,2,0.04949233,0,0,1096
15,0.00010000,0.00001552,0.00009401,0.0000940606060606,knapsack,1,0,2,0.04988448,0,0,1625
16,0.00010000,0.00001301,0.00007884,0.0000788484848485,knapsack,1,0,2,0.04988699,0,0,1457
17,0.00010000,0.00001120,0.00006785,0.0000678787878788,knapsack,1,0,2,0.04988880,0,0,1334
18,0.00050000,0.00000665,0.00004025,0.0000403030303030,knapsack,1,0,2,0.04949335,0,0,1028
19,0.00010000,0.00000364,0.00002205,0.0000220606060606,knapsack,1,0,2,0.04989636,0,0,825
20,0.00010000,0.00000248,0.00001499,0.0000150303030303,knapsack,1,0,2,0.04989752,0,0,747
21,0.00010000,0.00000761,0.00004611,0.0000461212121212,knapsack,1,0,2,0.04989239,0,0,1093
22,0.00010000,0.00001115,0.00006753,0.0000675757575758,knapsack,1,0,2,0.04988885,0,0,1331
23,0.00050000,0.00001660,0.00010060,0.000100606060606,knapsack,1,0,2,0.04948340,0,0,1698
24,0.00010000,0.00001733,0.00010498,0.000105030303030,knapsack,1,0,2,0.04988267,0,0,1746
25,0.00010000,0.00001739,0.00010539,0.000105393939394,knapsack,1,0,2,0.04988261,0,0,1751
26,0.00050000,0.00000395,0.00002392,0.0000239393939394,knapsack,1,0,2,0.04949605,0,0,846
27,0.00010000,0.00001064,0.00006448,0.0000644848484848,knapsack,1,0,2,0.04988936,0,0,1297
28,0.00200000,0.00001667,0.00010103,0.000101030303030,knapsack,1,0,2,0.04798333,0,0,1703
29,0.00010000,0.00001330,0.00008057,0.0000806060606061,knapsack,1,0,2,0.04988670,0,0,1475
30,0.00010000,0.00001728,0.00010471,0.000104727272727,knapsack,1,0,2,0.04988272,0,0,1744
31,0.00050000,0.00001372,0.00008310,0.0000831515151515,knapsack,1,0,2,0.04948628,0,0,1504
