id,input_amounts
0,['0.05000000']
1,['0.05000000']
2,['0.05000000']
3,['0.05000000']
4,['0.05000000']
5,['0.05000000']
6,['0.05000000']
7,['0.05000000']
8,['0.05000000']
9,['0.05000000']
10,['0.05000000']
11,['0.05000000']
12,['0.05000000']
13,['0.05000000']
14,['0.05000000']
15,['0.05000000']
16,['0.05000000']
17,['0.05000000']
18,['0.05000000']
19,['0.05000000']
20,['0.05000000']
21,['0.05000000']
22,['0.05000000']
23,['0.05000000']
24,['0.05000000']
25,['0.05000000']
26,['0.05000000']
27,['0.05000000']
28,['0.05000000']
29,['0.05000000']
30,['0.05000000']
31,['0.05000000']
32,['0.05000000']
33,['0.05000000']
34,['0.05000000']
35,['0.05000000']
36,['0.05000000']
37,['0.05000000']
38,['0.05000000']
39,['0.05000000']
40,['0.05000000']
41,['0.05000000']
42,['0.05000000']
43,['0.05000000']
44,['0.05000000']
45,['0.05000000']
46,['0.05000000']
47,['0.05000000']
48,['0.05000000']
49,['0.05000000']
50,['0.05000000']
51,['0.05000000']
52,['0.05000000']
53,['0.05000000']
54,['0.05000000']
55,['0.05000000']
56,['0.05000000']
57,['0.05000000']
58,['0.05000000']
59,['0.05000000']
60,['0.05000000']
61,['0.05000000']
62,['0.05000000']
63,['0.05000000']
64,['0.05000000']
65,['0.05000000']
66,['0.05000000']
67,['0.05000000']
68,['0.05000000']
69,['0.05000000']
70,['0.05000000']
71,['0.05000000']
72,['0.05000000']
73,['0.05000000']
74,['0.05000000']
75,['0.05000000']
76,['0.05000000']
77,['0.05000000']
78,['0.05000000']
79,['0.05000000']
80,['0.05000000']
81,['0.05000000']
82,['0.05000000']
83,['0.05000000']
84,['0.05000000']
85,['0.05000000']
86,['0.05000000']
87,['0.05000000']
88,['0.05000000']
89,['0.05000000']
90,['0.05000000']
91,['0.05000000']
92,['0.05000000']
93,['0.05000000']
94,['0.05000000']
95,['0.05000000']
96,['0.05000000']
97,['0.05000000']
98,['0.05000000']
99,['0.05000000']
100,['0.05000000']
101,['0.04989812']
102,['0.04989756']
103,['0.04799681']
104,['0.04949563']
105,['0.04989753']
106,['0.04949741']
107,['0.04988883']
108,['0.04949547']
109,['0.04948691']
110,['0.04948971']
111,['0.04988973']
112,['0.04949539']
113,['0.03999517']
114,['0.04989671']
115,['0.04949233']
116,['0.04988448']
117,['0.04988699']
118,['0.04988880']
119,['0.04949335']
120,['0.04989636']
121,['0.04989752']
122,['0.04989239']
123,['0.04988885']
124,['0.04948340']
125,['0.04988267']
126,['0.04988261']
127,['0.04949605']
128,['0.04988936']
129,['0.04798333']
130,['0.04988670']
131,['0.04988272']
132,['0.04948628']
133,['0.04798556']
134,['0.04989435']
135,['0.04949740']
136,['0.04799548']
137,['0.04949650']
138,['0.04949671']
139,['0.04988883']
140,['0.04989118']
141,['0.04949634']
142,['0.04949014']
143,['0.04987390']
144,['0.04986679']
145,['0.04987847']
146,['0.04987725']
147,['0.04987181']
148,['0.04987882']
149,['0.04988105']
150,['0.04987045']
151,['0.04946239']
152,['0.04986013']
153,['0.04985390']
154,['0.04945838']
155,['0.04986635']
156,['0.04987009']
157,['0.04985832']
158,['0.04946864']
