Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,14.87440376,120.326000000,201,1,499,499,0,499,Total: **0**,0.03738584,0.04989834,0.0484271614629,0.00239859904107,0.02612493,0.0000523545691383,0.00136680000,0.02749173000,1,1,1,0,2,2,0,knapsack: **499**
bustabit-2019-2020-tiny-utxotargets,14.52913388,160.663000000,201,1,999,999,0,999,Total: **0**,0.02791622,0.04989834,0.0469454585285,0.00368401463630,0.07554303,0.0000756186486486,0.00136680000,0.07690983000,1,1,1,0,2,2,0,knapsack: **999**
bustabit-2019-2020-tiny-utxotargets,14.22943267,174.108666667,201,1,1499,1499,0,1499,Total: **0**,0.02241152,0.09594217,0.0456640135557,0.00487442689396,0.11437256,0.0000762992394930,0.00136680000,0.11573936000,1,1,1,0,2,2,0,knapsack: **1499**
bustabit-2019-2020-tiny-utxotargets,13.90959469,180.831500000,201,1,1999,1999,0,1999,Total: **0**,0.01092400,0.09594217,0.0440923775538,0.00586414477624,0.14409566,0.0000720838719360,0.00136680000,0.14546246000,1,1,1,0,2,2,0,knapsack: **1999**
bustabit-2019-2020-tiny-utxotargets,13.52193814,184.865200000,201,1,2499,2499,0,2499,Total: **0**,0.00922614,0.09594217,0.0424107458583,0.00699551231917,0.19038903,0.0000761860864346,0.00136680000,0.19175583000,1,1,1,0,2,2,0,knapsack: **2499**
bustabit-2019-2020-tiny-utxotargets,13.30921381,187.636000000,203,3,2997,2997,0,2997,Total: **0**,0.00671797,0.09594217,0.0407178150884,0.00815207654776,0.22920775,0.0000764790623957,0.00138040000,0.23058815000,1,1,1,0,2,2,0,knapsack: **2997**
bustabit-2019-2020-tiny-utxotargets,13.01668741,189.974857143,205,5,3495,3495,0,3495,Total: **0**,0.00370842,0.09594217,0.0389766218598,0.00924442258767,0.26308532,0.0000752747696710,0.00139400000,0.26447932000,1,1,1,0,2,2,0,knapsack: **3495**
bustabit-2019-2020-tiny-utxotargets,12.70743316,191.853000000,205,5,3995,3995,0,3995,Total: **0**,0.00254797,0.09594217,0.0372816866358,0.0102081466062,0.30474853,0.0000762824856070,0.00139400000,0.30614253000,1,1,1,0,2,2,0,knapsack: **3995**
bustabit-2019-2020-tiny-utxotargets,12.42991492,193.476000000,206,7,4493,4493,0,4492,bnb: **1** ; Total: **1**,0.00071144,0.09594217,0.0355550644947,0.0112599189457,0.34717468,0.0000772701268640,0.00140080000,0.34857548000,1,1,1,0,2,1.99977743156,0.0149187278209,knapsack: **4492** ; bnb: **1**
bustabit-2019-2020-tiny-utxotargets,12.15836235,194.679200000,205,7,4993,4993,0,4991,bnb: **2** ; Total: **2**,0.00051483,0.09594217,0.0338980396774,0.0121135320373,0.38221275,0.0000765497196075,0.00139400000,0.38360675000,1,1,1,0,2,1.99959943921,0.0200120100079,knapsack: **4991** ; bnb: **2**
bustabit-2019-2020-tiny-utxotargets,11.76548044,195.591090909,204,7,5493,5493,0,5490,bnb: **3** ; Total: **3**,0.00051483,0.09594217,0.0322958352368,0.0128795451518,0.41899502,0.0000762779938103,0.00138720000,0.42038222000,1,1,1,0,2,1.99945385035,0.0233655891396,knapsack: **5489** ; bnb: **3** ; srd: **1**
bustabit-2019-2020-tiny-utxotargets,11.53724932,196.279500000,203,9,5992,5991,0,5985,bnb: **6** ; Total: **6**,0.00050188,0.09594217,0.0307461798262,0.0136182140309,0.46817690,0.0000781467033884,0.00138040000,0.46955730000,1,2,1.00016691704,0.0129196378521,2,1.99899849775,0.0316333095782,knapsack: **5969** ; bnb: **6** ; srd: **1** ; cg: **15**
bustabit-2019-2020-tiny-utxotargets,11.16283649,196.658000000,200,9,6493,6491,0,6483,bnb: **8** ; Total: **8**,0.00050114,0.09594217,0.0293055504057,0.0142766086600,0.50497299,0.0000777958696657,0.00136000000,0.50633299000,1,2,1.00030811893,0.0175519645042,2,1.99876752426,0.0350876959767,knapsack: **6456** ; bnb: **8** ; srd: **7** ; cg: **20**
bustabit-2019-2020-tiny-utxotargets,11.29294264,196.910285714,200,11,6993,6989,0,6974,bnb: **15** ; Total: **15**,0.00050069,0.09594217,0.0281215161127,0.0147954454036,0.53447923,0.0000764743496924,0.00136000000,0.53583923000,1,2,1.00057232794,0.0239182407233,2,1.99785377021,0.0462809891743,knapsack: **6932** ; bnb: **15** ; srd: **16** ; cg: **26**
bustabit-2019-2020-tiny-utxotargets,11.37286447,197.138800000,201,13,7492,7487,0,7466,bnb: **21** ; Total: **21**,0.00050064,0.09594217,0.0271072658572,0.0151929870513,0.58510004,0.0000781487965807,0.00136680000,0.58646684000,1,2,1.00066782423,0.0258353902553,2,1.99719513824,0.0528901516441,knapsack: **7294** ; bnb: **21** ; srd: **22** ; cg: **150**
bustabit-2019-2020-tiny-utxotargets,11.62314393,197.325875000,200,14,7996,7986,0,7952,bnb: **34** ; Total: **34**,0.00050064,0.09594217,0.0263520290103,0.0155055164124,0.62351695,0.0000780762521913,0.00136000000,0.62487695000,1,2,1.00125219133,0.0353663678271,2,1.99574254946,0.0651141732989,knapsack: **7712** ; bnb: **34** ; srd: **40** ; cg: **200**
bustabit-2019-2020-tiny-utxotargets,12.18290204,197.481176471,200,14,8501,8486,0,8447,bnb: **39** ; Total: **39**,0.00050064,0.09594217,0.0259644056967,0.0157306521151,0.64941258,0.0000765275253358,0.00136000000,0.65077258000,1,2,1.00176761725,0.0420083412617,2,1.99540419514,0.0676403916479,knapsack: **8165** ; bnb: **39** ; srd: **42** ; cg: **240**
bustabit-2019-2020-tiny-utxotargets,12.50901887,197.621888889,200,15,9002,8985,0,8935,bnb: **50** ; Total: **50**,0.00050064,0.09594217,0.0257613550464,0.0158888860692,0.69948314,0.0000778500990540,0.00136000000,0.70084314000,1,2,1.00189204229,0.0434588618297,2,1.99443516973,0.0743940784299,knapsack: **8547** ; bnb: **50** ; srd: **53** ; cg: **335**
bustabit-2019-2020-tiny-utxotargets,12.57294764,197.746210526,200,15,9503,9485,0,9427,bnb: **58** ; Total: **58**,0.00050064,0.09594217,0.0256019024143,0.0159608383583,0.73832607,0.0000778414412230,0.00136000000,0.73968607000,1,2,1.00189773326,0.0435239197474,2,1.99388508171,0.0779625992716,knapsack: **9039** ; bnb: **58** ; srd: **53** ; cg: **335**
bustabit-2019-2020-tiny-utxotargets,12.80777403,197.857700000,200,15,10011,9985,0,9924,bnb: **61** ; Total: **61**,0.00050064,0.09594217,0.0255619606771,0.0159836133155,0.76787680,0.0000769030345518,0.00136000000,0.76923680000,1,2,1.00260390586,0.0509645529935,2,1.99389083625,0.0779259265019,knapsack: **9513** ; bnb: **61** ; srd: **65** ; cg: **346**
bustabit-2019-2020-tiny-utxotargets,12.84319138,197.959047619,200,15,10512,10485,0,10416,bnb: **69** ; Total: **69**,0.00050064,0.09594217,0.0256224873627,0.0159898065976,0.81400793,0.0000776354725799,0.00136000000,0.81536793000,1,2,1.00257510730,0.0506825523099,2,1.99341917024,0.0808588029091,knapsack: **9860** ; bnb: **69** ; srd: **83** ; cg: **473**
bustabit-2019-2020-tiny-utxotargets,12.96019159,198.059272727,200,16,11015,10984,0,10912,bnb: **72** ; Total: **72**,0.00050064,0.09594217,0.0256465201503,0.0159611259723,0.85292591,0.0000776516669701,0.00136000000,0.85428591000,1,3,1.00282228696,0.0547419173128,2,1.99344501092,0.0807007689647,knapsack: **10346** ; bnb: **72** ; srd: **86** ; cg: **480**
