id,input_amounts
0,['0.05000000']
1,['0.05000000']
2,['0.05000000']
3,['0.05000000']
4,['0.05000000']
5,['0.05000000']
6,['0.05000000']
7,['0.05000000']
8,['0.05000000']
9,['0.05000000']
10,['0.05000000']
11,['0.05000000']
12,['0.05000000']
13,['0.05000000']
14,['0.05000000']
15,['0.05000000']
16,['0.05000000']
17,['0.05000000']
18,['0.05000000']
19,['0.05000000']
20,['0.05000000']
21,['0.05000000']
22,['0.05000000']
23,['0.05000000']
24,['0.05000000']
25,['0.05000000']
26,['0.05000000']
27,['0.05000000']
28,['0.05000000']
29,['0.05000000']
30,['0.05000000']
31,['0.05000000']
32,['0.05000000']
33,['0.05000000']
34,['0.05000000']
35,['0.05000000']
36,['0.05000000']
37,['0.05000000']
38,['0.05000000']
39,['0.05000000']
40,['0.05000000']
41,['0.05000000']
42,['0.05000000']
43,['0.05000000']
44,['0.05000000']
45,['0.05000000']
46,['0.05000000']
47,['0.05000000']
48,['0.05000000']
49,['0.05000000']
50,['0.05000000']
51,['0.05000000']
52,['0.05000000']
53,['0.05000000']
54,['0.05000000']
55,['0.05000000']
56,['0.05000000']
57,['0.05000000']
58,['0.05000000']
59,['0.05000000']
60,['0.05000000']
61,['0.05000000']
62,['0.05000000']
63,['0.05000000']
64,['0.05000000']
65,['0.05000000']
66,['0.05000000']
67,['0.05000000']
68,['0.05000000']
69,['0.05000000']
70,['0.05000000']
71,['0.05000000']
72,['0.05000000']
73,['0.05000000']
74,['0.05000000']
75,['0.05000000']
76,['0.05000000']
77,['0.05000000']
78,['0.05000000']
79,['0.05000000']
80,['0.05000000']
81,['0.05000000']
82,['0.05000000']
83,['0.05000000']
84,['0.05000000']
85,['0.05000000']
86,['0.05000000']
87,['0.05000000']
88,['0.05000000']
89,['0.05000000']
90,['0.05000000']
91,['0.05000000']
92,['0.05000000']
93,['0.05000000']
94,['0.05000000']
95,['0.05000000']
96,['0.05000000']
97,['0.05000000']
98,['0.05000000']
99,['0.05000000']
100,['0.05000000']
101,['0.00020351']
102,['0.00206316']
103,['0.00013315']
104,['0.00013765']
105,['0.00054861']
106,['0.00015859']
107,['0.00055911']
108,['0.00016184']
109,['0.00015655']
110,['0.00055929']
111,['0.01379215']
112,['0.00208094']
113,['0.00020412']
114,['0.00060288']
115,['0.00017141']
116,['0.00014755']
117,['0.00014106']
118,['0.00014046']
119,['0.00015263']
120,['0.00014963']
121,['0.00014444']
122,['0.00015236']
123,['0.00015903']
124,['0.00054773']
125,['0.00015080']
126,['0.00207208']
127,['0.00018640']
128,['0.00018504']
129,['0.00020265']
130,['0.00061565']
131,['0.00020401']
132,['0.00018780']
133,['0.00018825']
134,['0.00022932']
135,['0.00026427']
136,['0.00066060']
137,['0.00024373']
138,['0.00063284']
139,['0.00063569']
140,['0.00065123']
141,['0.00023385']
142,['0.00063384']
143,['0.00024320']
144,['0.00024641']
145,['0.00024043']
146,['0.00061904']
147,['0.00023369']
148,['0.00024781']
149,['0.00063191']
150,['0.00069695']
151,['0.00071356']
152,['0.00070379']
153,['0.00030714']
154,['0.00221125']
155,['0.00030115']
156,['0.00019703']
157,['0.00017425']
158,['0.00017001']
