Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,5.03466618,3571.71200000,4934,1,500,499,0,115,bnb: **384** ; Total: **384**,0.00025618,0.09405259,0.00310248295652,0.0114133103205,0.06452747,0.000129313567134,0.0335512000,0.0980786700,1,2,1.00200400802,0.0447661481036,59,11.6893787575,21.1428899300,knapsack: **110** ; bnb: **384** ; cg: **5**
bustabit-2019-2020-tiny-utxotargets,4.70204916,4131.55800000,4449,1,1001,999,0,131,bnb: **868** ; Total: **868**,0.00025618,0.09405259,0.00511272709924,0.0144787708998,0.10108510,0.000101186286286,0.0302532000,0.1313383000,1,2,1.00200200200,0.0447213146941,59,6.35535535536,15.8588099350,knapsack: **114** ; bnb: **868** ; cg: **17**
bustabit-2019-2020-tiny-utxotargets,4.41058805,4157.74733333,3979,1,1505,1499,0,174,bnb: **1325** ; Total: **1325**,0.00025618,0.09405259,0.00666765264368,0.0164904111508,0.13107680,0.0000874428285524,0.0270572000,0.1581340000,1,2,1.00400266845,0.0631609721592,59,4.59773182121,13.1817537921,knapsack: **128** ; bnb: **1325** ; cg: **46**
bustabit-2019-2020-tiny-utxotargets,4.09818288,4056.65900000,3539,1,2015,1999,0,256,bnb: **1743** ; Total: **1743**,0.00025618,0.09405259,0.00610453222656,0.0147116695061,0.15404333,0.0000770601950975,0.0240652000,0.1781085300,1,3,1.00800400200,0.0945775496452,59,3.73886943472,11.5118359652,knapsack: **164** ; bnb: **1743** ; cg: **92**
bustabit-2019-2020-tiny-utxotargets,3.72108834,3912.04520000,3119,1,2534,2499,0,377,bnb: **2122** ; Total: **2122**,0.00025618,0.09405259,0.00558621167109,0.0131688299304,0.19091113,0.0000763950100040,0.0212092000,0.2121203300,1,3,1.01400560224,0.130451276717,59,3.23929571829,10.3456070742,knapsack: **197** ; bnb: **2122** ; cg: **180**
bustabit-2019-2020-tiny-utxotargets,3.51526784,3759.22933333,2824,3,3042,2997,0,606,bnb: **2390** ; knapsack: **1** ; Total: **2391**,0.00025618,0.09405259,0.00479700933993,0.0113589817262,0.22254429,0.0000742556856857,0.0192032000,0.2417474900,1,3,1.01501501502,0.134656171368,59,2.94361027694,9.47210559616,knapsack: **278** ; bnb: **2390** ; cg: **329**
bustabit-2019-2020-tiny-utxotargets,3.22739103,3607.78000000,2605,5,3542,3495,0,852,bnb: **2641** ; knapsack: **2** ; Total: **2643**,0.00025618,0.09405259,0.00466890559859,0.0104820038367,0.25047000,0.0000716652360515,0.0177140000,0.2681840000,1,3,1.01344778255,0.129248581529,59,2.73705293276,8.78779516812,knapsack: **328** ; bnb: **2641** ; cg: **526**
bustabit-2019-2020-tiny-utxotargets,2.92743594,3461.21675000,2272,5,4044,3995,0,1063,bnb: **2930** ; knapsack: **2** ; Total: **2932**,0.00025618,0.09405259,0.00451521671684,0.00974019184875,0.28471441,0.0000712676871089,0.0154496000,0.3001640100,1,3,1.01226533166,0.122973303351,59,2.57246558198,8.23271578626,knapsack: **395** ; bnb: **2930** ; cg: **670**
bustabit-2019-2020-tiny-utxotargets,2.65608632,3317.33200000,2006,7,4552,4493,0,1284,bnb: **3206** ; knapsack: **3** ; Total: **3209**,0.00025618,0.09405259,0.00460996436916,0.00979066429015,0.32023137,0.0000712733963944,0.0136408000,0.3338721700,1,4,1.01313153795,0.130265534059,59,2.44736256399,7.77280348449,knapsack: **436** ; bnb: **3206** ; cg: **851**
bustabit-2019-2020-tiny-utxotargets,2.38875217,3175.30840000,1805,7,5053,4993,0,1567,bnb: **3423** ; knapsack: **3** ; Total: **3426**,0.00025618,0.09405259,0.00452073772814,0.00949874079863,0.34991036,0.0000700801842580,0.0122740000,0.3621843600,1,4,1.01201682355,0.124420926795,59,2.35910274384,7.37968572327,knapsack: **471** ; bnb: **3423** ; cg: **1099**
bustabit-2019-2020-tiny-utxotargets,2.00239410,3038.22654545,1562,7,5559,5493,0,1886,bnb: **3604** ; knapsack: **3** ; Total: **3607**,0.00025618,0.09405259,0.00438877996819,0.00894613181430,0.38206108,0.0000695541744038,0.0106216000,0.3926826800,1,4,1.01201529219,0.123087696278,59,2.29346440925,7.04029262220,knapsack: **530** ; bnb: **3604** ; cg: **1359**
