id,input_amounts
0,['0.50000000']
1,['0.00010326']
2,"['0.00010092', '0.00024760', '0.00017639', '0.00073743', '0.00074432']"
3,['0.00050507']
4,['0.00010388']
5,"['0.00014254', '0.00024670', '0.00011435']"
6,['0.00010912']
7,"['0.00011239', '0.00014989', '0.00024403']"
8,['0.00051541']
9,"['0.00013706', '0.00024695', '0.00013022']"
10,['0.00011425']
11,"['0.00012861', '0.00024491', '0.00013286']"
12,['0.33725267']
13,['0.00010572']
14,['0.00050645']
15,['0.00011456']
16,['0.00011481']
17,['0.00011496']
18,"['0.00024062', '0.00014498', '0.00012361']"
19,['0.00010661']
20,['0.00060740']
21,['0.00060887']
22,['0.00011570']
23,['0.00051669']
24,['0.00011731']
25,['0.00011813']
26,"['0.00024239', '0.00014457', '0.00011851']"
27,['0.00061769']
28,['0.01038062']
29,['0.00061798']
30,['0.00012053']
31,['0.00202759']
32,['0.01161678']
33,['0.50000000']
34,['0.50000000']
35,"['0.00013996', '0.00014198', '0.00024418', '0.00073676', '0.00074655']"
36,"['0.00024013', '0.00013639', '0.00012832']"
37,"['0.00012420', '0.00014242', '0.00023799']"
38,['0.00011365']
39,['0.00010603']
40,"['0.00013243', '0.00012871', '0.00024397']"
41,"['0.00017388', '0.00010512', '0.00023464']"
42,['0.00012010']
43,['0.00012356']
44,['0.00012209']
45,['0.00012221']
46,['0.00012359']
47,['0.00012454']
48,['0.00062213']
49,['0.00012523']
50,['0.00052615']
51,['0.00012909']
52,['0.00013315']
53,['0.00053255']
54,['0.00012657']
55,['0.00013066']
56,['0.00013075']
57,['0.00053319']
58,['0.00200944']
59,['0.00203497']
60,['0.00013322']
61,['0.00063112']
62,['0.00063295']
63,['0.00204826']
64,['0.00013431']
65,['0.00013463']
66,['0.00013521']
67,['0.00063504']
68,['0.00062555']
69,['0.01231745']
70,['0.00063719']
71,['0.00013574']
72,['0.00206601']
73,['0.00063738']
74,['0.00065708']
75,"['0.00014018', '0.00023325', '0.00013983']"
76,['0.00010565']
77,['0.00060952']
78,['0.00209307']
79,['0.01314372']
80,['0.45865813']
81,['0.50000000']
82,['0.00010324']
83,['0.00010792']
84,['0.00212214']
85,['0.00013520']
86,['0.00013626']
87,['0.00054065']
88,['0.00014496']
89,['0.00013992']
90,['0.00014765']
91,['0.01022386']
92,['0.00019033']
93,['0.00021181']
94,['0.00020533']
95,['0.00020379']
96,['0.00020953']
97,['0.00020819']
98,['0.00060451']
99,['0.00020574']
100,['0.00019376']
101,['0.00020238']
102,['0.01205159']
103,['0.45044472']
104,['0.50000000']
105,['0.00054628']
106,['0.00015682']
107,['0.00055759']
108,['0.00016199']
109,['0.00015633']
110,['0.00056166']
111,['0.01006487']
112,['0.01302749']
113,['0.47066389']
114,['0.50000000']
115,['0.00017198']
116,['0.00015023']
117,['0.00014106']
118,['0.00014127']
119,['0.00015315']
120,['0.00015057']
121,['0.00015128']
122,['0.00015354']
123,['0.00015811']
124,['0.00054753']
125,['0.00015362']
126,['0.00835023']
127,['0.00018643']
128,['0.00018529']
129,['0.00020304']
130,['0.00062373']
131,['0.00020436']
132,['0.00018811']
133,['0.00018875']
134,['0.00022957']
135,['0.00201468']
136,['0.00066129']
137,['0.00024351']
138,['0.00065158']
139,['0.00065299']
140,['0.00065502']
141,['0.00023364']
142,['0.00065613']
143,['0.00024582']
144,['0.00024736']
145,['0.00024155']
146,['0.00065994']
147,['0.00023452']
148,['0.00024752']
149,['0.00066309']
150,['0.00069738']
151,['0.00071359']
152,['0.00070900']
153,['0.00090538']
154,['0.00221428']
155,['0.00212593']
156,['0.00019695']
157,['0.00017426']
158,['0.00017038']
159,['0.00057005']
160,['0.00017055']
161,['0.00017567']
162,['0.00018179']
163,['0.00017081']
164,['0.00017899']
165,['0.00017211']
166,['0.00016396']
167,['0.00018486']
168,['0.00059487']
169,['0.00018645']
170,['0.00018277']
171,['0.00020511']
172,['0.00020343']
173,['0.00020427']
174,['0.31323002']
175,['0.00018439']
176,['0.00021709']
177,['0.00063165']
178,['0.00024812']
179,['0.00024251']
180,['0.00024285']
181,['0.00019716']
182,['0.00018551']
183,['0.00057171']
184,['0.00017232']
185,['0.00016987']
186,['0.00017009']
187,['0.40798926']
188,['0.00055124']
189,['0.00014800']
190,['0.00056188']
191,['0.00056572']
192,['0.00056556']
193,['0.00015489']
194,['0.00014338']
195,['0.00056291']
196,['0.00014878']
197,['0.00583023']
198,['0.00056708']
199,['0.46065483']
200,['0.00056855']
201,['0.00015454']
202,['0.00015141']
203,['0.00014917']
204,['0.00202124']
205,['0.00997171']
206,['0.00054488']
207,['0.00054095']
208,['0.00013734']
209,['0.00013491']
210,['0.01085632']
211,['0.00013749']
212,['0.00053783']
213,['0.00013760']
214,['0.00013924']
215,['0.00053387']
216,['0.00013972']
217,['0.00017266']
218,['0.00016646']
219,['0.00057177']
220,['0.00013203']
221,['0.01092859']
222,['0.00015885']
223,['0.00202902']
224,['0.00207715']
225,['0.00014375']
226,['0.00013963']
227,['0.00054001']
228,['0.00052655']
229,['0.00626467']
230,['0.00054210']
231,['0.01150633']
232,['0.00013298']
233,['0.00012468']
234,['0.01160892']
235,['0.01228076']
236,['0.00012108']
237,['0.00011976']
238,['0.00011999']
239,"['0.00116546', '0.00086641']"
240,['0.00011683']
241,['0.00051154']
242,['0.00010732']
243,['0.00169460']
244,['0.00012304']
245,['0.00012257']
246,['0.01267669']
247,['0.01296991']
248,['0.00010854']
249,['0.00010902']
250,['0.00012143']
251,['0.00012146']
252,['0.00012152']
253,['0.00010971']
254,['0.00050874']
255,"['0.00089579', '0.00016156', '0.00094913']"
256,['0.00050732']
257,['0.00051270']
258,['0.01321456']
259,['0.00011754']
260,['0.00012198']
261,['0.00012391']
262,['0.00010233']
263,['0.00011291']
264,['0.00052692']
265,['0.00012402']
266,['0.00012560']
267,['0.00011674']
268,['0.00012619']
269,['0.00011541']
270,['0.00012682']
271,['0.00014102']
272,['0.00012723']
273,['0.00012770']
274,['0.00176566']
275,['0.00010372']
276,['0.00010197']
277,['0.00010505']
278,['0.00010558']
279,['0.00011404']
280,['0.00012848']
281,['0.00010987']
282,['0.00050625']
283,"['0.00075939', '0.00016432', '0.00091568', '0.00016396']"
284,['0.00050769']
285,['0.00051413']
286,['0.00051458']
287,['0.00011607']
288,['0.39789953']
289,['0.00011017']
290,['0.00010201']
291,['0.00065535']
292,['0.00010527']
293,['0.00011072']
294,"['0.00032446', '0.00019146']"
295,['0.00064577']
296,"['0.00032426', '0.00022756']"
297,"['0.00036609', '0.00018553']"
298,['0.00376575']
299,['0.00368062']
300,['0.00013505']
301,['0.45056998']
302,['0.00013566']
303,"['0.00020025', '0.00034323']"
304,['0.00211715']
305,['0.00145744']
306,['0.00791017']
307,"['0.00020416', '0.00034042']"
308,['0.00014408']
309,['0.00014559']
310,['0.00014566']
311,['0.00881007']
312,['0.00873130']
313,['0.00011095']
314,['0.29433994']
315,['0.00066138']
316,['0.00011772']
317,"['0.00011773', '0.00039376']"
318,['0.01346114']
319,['0.00011097']
320,['0.00066332']
321,['0.00066474']
322,['0.01040295']
323,['0.00066481']
324,['0.00146266']
325,['0.00151175']
326,['0.00066860']
327,['0.00014587']
328,['0.00067003']
329,['0.00215911']
330,['0.00572955']
331,['0.00067565']
332,['0.00945681']
333,['0.00061626']
334,['0.00216380']
335,['0.00010625']
336,['0.00959330']
337,['0.00011113']
338,['0.01026370']
339,['0.00010243']
340,['0.00060660']
341,['0.00217132']
342,['0.00217267']
343,['0.00067584']
344,['0.00117405']
345,['0.00050545']
346,['0.00050506']
347,['0.00061268']
348,['0.00061345']
349,['0.00068092']
350,['0.00068121']
351,['0.00068320']
352,['0.00060983']
353,['0.00060895']
354,['0.00050433']
355,['0.00061087']
356,['0.00061957']
357,['0.00068415']
358,['0.00068523']
359,['0.00050164']
360,['0.01093839']
361,['0.00069046']
362,['0.00069170']
363,['0.00050507']
364,['0.00050260']
365,['0.00050334']
366,['0.00069361']
367,['0.00070148']
368,"['0.00010000', '0.00025866', '0.00015443']"
369,['0.00070210']
370,['0.00070280']
371,['0.00070561']
372,['0.00219246']
373,['0.00070918']
374,['0.00050282']
375,['0.00050549']
376,['0.00163966']
377,['0.00261079']
378,['0.00293081']
379,['0.00299553']
380,['0.00317977']
381,['0.01064538']
382,['0.01119029']
383,"['0.00050109', '0.00020186']"
384,"['0.00017344', '0.00050172', '0.00073495']"
385,['0.41649751']
386,['0.44217805']
387,['0.47015998']
388,['0.50000000']
389,['0.00061702']
390,['0.00063558']
391,['0.00065502']
392,['0.00067562']
393,['0.00067618']
394,['0.00068315']
395,['0.00051513']
396,['0.00070949']
397,['0.00051639']
398,['0.00071266']
399,['0.00071475']
400,['0.00071899']
401,['0.00072194']
402,['0.00164421']
403,['0.00148821']
404,['0.00072403']
405,['0.00072412']
406,['0.00072541']
407,['0.00158541']
408,['0.00054489']
409,['0.00132723']
410,['0.00363204']
411,['0.00776655']
412,['0.39587734']
413,['0.00828132']
414,['0.00672218']
415,['0.45003326']
416,['0.29420794']
417,['0.00072692']
418,"['0.00055373', '0.00053315']"
419,['0.47987415']
420,['0.01145388']
421,['0.00063289']
422,['0.00061724']
423,['0.00062233']
424,['0.00050804']
425,['0.01384360']
426,['0.00064628']
427,['0.00052136']
428,['0.00100077']
429,['0.00052187']
430,['0.00066311']
431,['0.00070901']
432,['0.00071821']
433,['0.00071965']
434,['0.00559859']
435,['0.00016260']
436,['0.00017905']
437,['0.00057405']
438,['0.50000000']
439,['0.00017665']
440,['0.00018358']
441,['0.00018936']
442,['0.00059163']
443,['0.00017954']
444,['0.00015523']
445,['0.00015262']
446,['0.00824919']
447,['0.00017068']
448,"['0.00948834', '0.00060014']"
449,['0.00015523']
450,['0.00065426']
451,['0.00134271']
452,['0.00072208']
453,['0.00072805']
454,['0.00072873']
455,['0.00162892']
456,['0.00164897']
457,['0.00050426']
458,['0.00073988']
459,['0.00074378']
460,['0.00074618']
461,['0.00074703']
462,['0.00107672']
463,"['0.00018803', '0.00165629', '0.00015961']"
464,"['0.00165457', '0.00019340', '0.00015667']"
465,['0.00093684']
466,['0.00932095']
467,['0.01028019']
468,['0.00219528']
469,['0.00219599']
470,['0.00219758']
471,['0.00223833']
472,['0.00050592']
473,['0.00051507']
474,['0.00224236']
475,['0.00053026']
476,['0.00073335']
477,['0.00092478']
478,['0.00224775']
479,['0.01349288']
480,['0.00087403']
481,['0.00074672']
482,['0.00100873']
483,['0.00076180']
484,['0.00084458']
485,['0.00104653']
486,['0.09605594']
487,['0.00091708']
488,['0.00087627']
489,['0.00055577']
490,['0.00086577']
491,['0.00115337']
492,['0.00194157']
493,['0.00253219']
494,['0.39617430']
495,['0.42441651']
496,['0.45363790']
497,['0.50000000']
498,['0.50000000']
499,['0.00065483']
500,['0.00203526']
501,['0.00219304']
502,['0.00220385']
503,['0.00071691']
504,['0.00224524']
505,['0.00225565']
506,['0.01084807']
507,['0.00097231']
508,['0.00057506']
509,['0.48814203']
510,['0.00058101']
511,['0.00059005']
512,['0.00104263']
513,['0.50000000']
514,['0.00078942']
515,['0.00112702']
516,['0.00105814']
517,['0.50000000']
518,['0.00053440']
519,['0.00119702']
520,['0.00051634']
521,['0.00100339']
522,['0.00089982']
523,['0.00053575']
524,['0.00095518']
525,"['0.00050038', '0.00050010']"
526,"['0.00050041', '0.00053670']"
527,['0.00061332']
528,"['0.01376411', '0.00021004', '0.00017974']"
529,"['0.00050070', '0.00050076']"
530,['0.00382289']
531,"['0.00050397', '0.00050207']"
532,"['0.00050553', '0.00050497']"
533,['0.00054121']
534,['0.00053729']
535,['0.28331780']
536,['0.00088218']
537,"['0.00050652', '0.00051749']"
538,"['0.00054339', '0.00052435']"
539,['0.00085298']
540,['0.00195917']
541,['0.00070722']
542,"['0.00054786', '0.00055293']"
543,['0.00810040']
544,['0.00055582']
545,['0.00055690']
546,"['0.00055827', '0.00055997']"
547,"['0.00056022', '0.00056026']"
548,"['0.00053807', '0.00050703', '0.00054539']"
549,"['0.00056349', '0.00056049']"
550,"['0.00058255', '0.00058236']"
551,['0.00093109']
552,['0.00376074']
553,"['0.00058571', '0.00058401']"
554,"['0.00058657', '0.00058741']"
555,['0.38609984']
556,['0.00053366']
557,['0.43962739']
558,['0.00082371']
559,"['0.00058826', '0.00058793']"
560,['0.00111517']
561,['0.00058852']
562,"['0.00022034', '0.00059558', '0.00113112', '0.00023132']"
563,"['0.00059021', '0.00058948']"
564,"['0.00059093', '0.00059148']"
565,"['0.00059300', '0.00059276']"
566,['0.46816603']
567,['0.00095659']
568,"['0.00058723', '0.00060143', '0.00057154', '0.00053315']"
569,"['0.00059792', '0.00059569']"
570,['0.00083369']
571,['0.00870162']
572,['0.00964079']
573,['0.00206786']
574,['0.00207378']
575,['0.00207442']
576,['0.00212153']
577,"['0.00050704', '0.00050348']"
578,"['0.00059916', '0.00059804']"
579,['0.00062018']
580,['0.00172050']
581,"['0.00018791', '0.00018792']"
582,['0.00078318']
583,['0.00211764']
584,['0.00347779']
585,"['0.00059992', '0.00058998']"
586,['0.00080212']
587,"['0.00051506', '0.00060300']"
588,"['0.00060939', '0.00060271']"
589,['0.00083565']
590,['0.00019040']
591,['0.00019641']
592,['0.00022645']
593,['0.01316700']
594,['0.00066127']
595,['0.00270842']
596,['0.00092170']
597,['0.00174344']
598,['0.00020525']
599,['0.00019059']
600,['0.00059709']
601,['0.00021253']
602,['0.00060618']
603,['0.00019841']
604,['0.00019144']
605,['0.00019174']
606,['0.00020125']
607,['0.01080869']
608,['0.00022130']
609,['0.00023520']
610,['0.00024489']
611,['0.00023774']
612,['0.00023017']
613,['0.00059753']
614,['0.00019247']
615,['0.00019730']
616,['0.00018318']
617,['0.00016082']
618,['0.00062160']
619,['0.00063109']
620,['0.00071703']
621,['0.00053214']
622,['0.00072404']
623,['0.00074848']
624,['0.00015539']
625,['0.00076791']
626,['0.00054055']
627,['0.00016023']
628,['0.00017685']
629,['0.00057171']
630,['0.00016442']
631,['0.00015612']
632,['0.00015710']
633,['0.00015932']
634,['0.00016672']
635,['0.00057663']
636,['0.00019750']
637,['0.00060876']
638,['0.00020780']
639,['0.00020872']
640,['0.00018764']
641,['0.00021704']
642,['0.00061959']
643,['0.00021369']
644,['0.00021534']
645,['0.00061393']
646,['0.00020102']
647,['0.00208936']
648,['0.00016968']
649,['0.00057202']
650,['0.00017301']
651,['0.00056793']
652,['0.00056095']
653,['0.00015938']
654,['0.00072198']
655,['0.00016508']
656,['0.00020183']
657,['0.00215869']
658,['0.00024529']
659,['0.00062674']
660,['0.00021812']
661,['0.00023145']
662,['0.00088729']
663,['0.00226058']
664,['0.00079186']
665,['0.00050055']
666,"['0.00863119', '0.00188012']"
667,['0.00050097']
668,['0.00082440']
669,['0.00232196']
670,['0.00233748']
671,['0.00050108']
672,['0.00082443']
673,['0.00082546']
674,['0.00096636']
675,['0.00095435']
676,['0.00090495']
677,['0.00022844']
678,['0.00062696']
679,['0.00021902']
680,['0.00019791']
681,['0.00016970']
682,['0.00017394']
683,['0.00017857']
684,['0.00058388']
685,['0.00016874']
686,['0.00055885']
687,['0.00054998']
688,['0.00519807']
689,['0.00067748']
690,['0.00016059']
691,['0.00057240']
692,['0.00017909']
693,['0.00018109']
694,['0.00018053']
695,['0.00057412']
696,['0.00016929']
697,['0.00211819']
698,['0.00022281']
699,['0.00022864']
700,['0.00022878']
701,['0.00021619']
702,['0.00058548']
703,['0.00017931']
704,['0.00017727']
705,['0.00360792']
706,['0.00016940']
707,['0.00016944']
708,['0.00016958']
709,['0.00017396']
710,['0.00055951']
711,['0.00054398']
712,['0.00055951']
713,['0.00022136']
714,['0.00024562']
715,['0.00024836']
716,['0.00082926']
717,['0.00082956']
718,['0.00084055']
719,['0.00085598']
720,['0.00366656']
721,['0.00086055']
722,['0.00086184']
723,['0.00064299']
724,['0.00019873']
725,['0.00058628']
726,['0.00059357']
727,"['0.00058647', '0.00050907', '0.00090715']"
728,['0.00134196']
729,['0.00050278']
730,['0.00050406']
731,['0.00061045']
732,['0.00149450']
733,['0.00050972']
734,['0.00061226']
735,['0.00061238']
736,['0.00140478']
737,['0.00061267']
738,['0.00062048']
739,['0.00170850']
740,['0.00062174']
741,['0.00173727']
742,"['0.00093850', '0.00107800']"
743,['0.00174591']
744,['0.00065004']
745,['0.00068725']
746,['0.00075717']
747,['0.00073914']
748,['0.00086202']
749,['0.00091536']
750,['0.00177431']
751,['0.00092000']
752,['0.00092064']
753,['0.00092372']
754,['0.00092470']
755,['0.00093582']
756,['0.00094958']
757,['0.00097908']
758,['0.00099617']
759,['0.00101165']
760,['0.00200611']
761,['0.00101703']
762,['0.00180439']
763,['0.00182193']
764,['0.00536144']
765,['0.00183490']
766,['0.00183546']
767,['0.00183842']
