id,input_amounts
0,['0.05000000']
1,['0.05000000']
2,['0.05000000']
3,['0.05000000']
4,['0.05000000']
5,['0.05000000']
6,['0.05000000']
7,['0.05000000']
8,['0.05000000']
9,['0.05000000']
10,['0.05000000']
11,['0.05000000']
12,['0.05000000']
13,['0.05000000']
14,['0.05000000']
15,['0.05000000']
16,['0.05000000']
17,['0.05000000']
18,['0.05000000']
19,['0.05000000']
20,['0.05000000']
21,['0.05000000']
22,['0.05000000']
23,['0.05000000']
24,['0.05000000']
25,['0.05000000']
26,['0.05000000']
27,['0.05000000']
28,['0.05000000']
29,['0.05000000']
30,['0.05000000']
31,['0.05000000']
32,['0.05000000']
33,['0.05000000']
34,['0.05000000']
35,['0.05000000']
36,['0.05000000']
37,['0.05000000']
38,['0.05000000']
39,['0.05000000']
40,['0.05000000']
41,['0.05000000']
42,['0.05000000']
43,['0.05000000']
44,['0.05000000']
45,['0.05000000']
46,['0.05000000']
47,['0.05000000']
48,['0.05000000']
49,['0.05000000']
50,['0.05000000']
51,['0.05000000']
52,['0.05000000']
53,['0.05000000']
54,['0.05000000']
55,['0.05000000']
56,['0.05000000']
57,['0.05000000']
58,['0.05000000']
59,['0.05000000']
60,['0.05000000']
61,['0.05000000']
62,['0.05000000']
63,['0.05000000']
64,['0.05000000']
65,['0.05000000']
66,['0.05000000']
67,['0.05000000']
68,['0.05000000']
69,['0.05000000']
70,['0.05000000']
71,['0.05000000']
72,['0.05000000']
73,['0.05000000']
74,['0.05000000']
75,['0.05000000']
76,['0.05000000']
77,['0.05000000']
78,['0.05000000']
79,['0.05000000']
80,['0.05000000']
81,['0.05000000']
82,['0.05000000']
83,['0.05000000']
84,['0.05000000']
85,['0.05000000']
86,['0.05000000']
87,['0.05000000']
88,['0.05000000']
89,['0.05000000']
90,['0.05000000']
91,['0.05000000']
92,['0.05000000']
93,['0.05000000']
94,['0.05000000']
95,['0.05000000']
96,['0.05000000']
97,['0.05000000']
98,['0.05000000']
99,['0.05000000']
100,['0.05000000']
101,['0.05000000']
102,['0.00206602']
103,['0.00013353']
104,['0.00013816']
105,['0.00055085']
106,['0.00015818']
107,['0.00055831']
108,['0.00016207']
109,['0.00015620']
110,['0.00055925']
111,['0.05000000']
112,['0.00207597']
113,['0.00020443']
114,['0.00060082']
115,['0.00017154']
116,['0.00014785']
117,['0.00014104']
118,['0.00014021']
119,['0.00015325']
120,['0.00014930']
121,['0.00014473']
122,['0.00015231']
123,['0.00015796']
124,['0.00054752']
125,['0.00015071']
126,['0.00206744']
127,['0.00018690']
128,['0.00018490']
129,['0.00020242']
130,['0.00061564']
131,['0.00020425']
132,['0.00018797']
133,['0.00018858']
134,['0.00022933']
135,['0.00028576']
136,['0.00066067']
137,['0.00024343']
138,['0.00063303']
139,['0.00063615']
140,['0.00065106']
141,['0.00023373']
142,['0.00063392']
143,['0.00024325']
144,['0.00024651']
145,['0.00024058']
146,['0.00061894']
147,['0.00023379']
148,['0.00024726']
149,['0.00063246']
150,['0.00069743']
151,['0.00071376']
152,['0.00070357']
153,['0.00030660']
154,['0.00220853']
155,['0.00029556']
156,['0.00019693']
157,['0.00017423']
158,['0.00017000']
