Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny-utxotargets,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny-utxotargets,5.03269703,3540.83600000,4845,1,622,499,0,136,bnb: **361** ; knapsack: **2** ; Total: **363**,0.00050051,0.03992566,0.00177489919118,0.00548600615490,0.06660408,0.000133475110220,0.0329460000,0.0995500800,1,13,1.24649298597,1.08724012518,77,11.7595190381,21.1604665816,knapsack: **110** ; bnb: **361** ; srd: **27** ; cg: **1**
bustabit-2019-2020-tiny-utxotargets,4.69910222,4063.80000000,4324,1,1184,999,0,172,bnb: **824** ; knapsack: **3** ; Total: **827**,0.00050051,0.08601534,0.00256391447674,0.00857614499526,0.10410775,0.000104211961962,0.0294032000,0.1335109500,1,13,1.18518518519,0.885612420565,77,6.41041041041,15.8761404442,knapsack: **121** ; bnb: **824** ; srd: **44** ; cg: **10**
bustabit-2019-2020-tiny-utxotargets,4.40711272,4044.08200000,3725,1,1834,1499,0,240,bnb: **1254** ; knapsack: **5** ; Total: **1259**,0.00050051,0.08601534,0.00289754533333,0.00891164978586,0.13474027,0.0000898867711808,0.0253300000,0.1600702700,1,21,1.22348232155,1.02118201044,77,4.65110073382,13.1965860598,knapsack: **142** ; bnb: **1254** ; srd: **77** ; cg: **26**
bustabit-2019-2020-tiny-utxotargets,4.09380273,3892.12900000,3118,1,2534,1999,0,349,bnb: **1635** ; knapsack: **15** ; Total: **1650**,0.00050016,0.08601534,0.00295522266476,0.00881215163918,0.15865914,0.0000793692546273,0.0212024000,0.1798615400,1,26,1.26763381691,1.18672501880,77,3.79239619810,11.5248967655,knapsack: **216** ; bnb: **1635** ; srd: **115** ; cg: **33**
bustabit-2019-2020-tiny-utxotargets,3.71625229,3688.60680000,2592,1,3178,2499,0,485,bnb: **1996** ; knapsack: **18** ; Total: **2014**,0.00050000,0.08601534,0.00292360265979,0.00809359243637,0.19607235,0.0000784603241297,0.0176256000,0.2136979500,1,26,1.27170868347,1.19956454000,77,3.28811524610,10.3582845132,knapsack: **295** ; bnb: **1996** ; srd: **153** ; cg: **55**
bustabit-2019-2020-tiny-utxotargets,3.50926912,3465.21466667,2084,3,3898,2997,0,702,bnb: **2270** ; knapsack: **25** ; Total: **2295**,0.00050000,0.08601534,0.00271967525641,0.00778519522042,0.22881567,0.0000763482382382,0.0141712000,0.2429868700,1,26,1.30063396730,1.20747128925,77,2.98031364698,9.48556345473,knapsack: **430** ; bnb: **2270** ; srd: **219** ; cg: **78**
bustabit-2019-2020-tiny-utxotargets,3.22027803,3236.39742857,1665,5,4582,3495,0,930,bnb: **2537** ; knapsack: **28** ; Total: **2565**,0.00050000,0.08601534,0.002834933,0.00775997754655,0.25765532,0.0000737211216023,0.0113220000,0.2689773200,1,26,1.31101573677,1.18337630424,77,2.76337625179,8.80172278760,knapsack: **567** ; bnb: **2537** ; srd: **280** ; cg: **111**
bustabit-2019-2020-tiny-utxotargets,2.91957995,3010.88525000,1178,5,5222,3995,0,1144,bnb: **2817** ; knapsack: **34** ; Total: **2851**,0.00050000,0.08601534,0.00274891753497,0.00734227580681,0.29275828,0.0000732811714643,0.00801040000,0.30076868000,1,26,1.30713391740,1.14411545357,77,2.59624530663,8.24608590903,knapsack: **706** ; bnb: **2817** ; srd: **333** ; cg: **139**
bustabit-2019-2020-tiny-utxotargets,2.64721642,2788.58666667,800,7,5880,4493,0,1396,bnb: **3057** ; knapsack: **40** ; Total: **3097**,0.00050000,0.08601534,0.00289389952722,0.00751423213218,0.32922465,0.0000732750166926,0.00544000000,0.33466465000,1,26,1.30870242600,1.10881975141,77,2.47540618740,7.78487660380,knapsack: **837** ; bnb: **3057** ; srd: **408** ; cg: **191**
bustabit-2019-2020-tiny-utxotargets,2.37809835,2573.41480000,531,7,6524,4993,0,1710,bnb: **3242** ; knapsack: **41** ; Total: **3283**,0.00050000,0.08601534,0.00278392300585,0.00707154922431,0.36072478,0.0000722461005408,0.00361080000,0.36433558000,1,26,1.30662928099,1.07599374265,77,2.39915882235,7.39460503253,knapsack: **1042** ; bnb: **3242** ; srd: **479** ; cg: **230**
bustabit-2019-2020-tiny-utxotargets,1.98494516,2383.64109091,456,7,7168,5493,0,1990,bnb: **3459** ; knapsack: **44** ; Total: **3503**,0.00050000,0.08601534,0.00256291538191,0.00666643475463,0.39995198,0.0000728112106317,0.00310080000,0.40305278000,1,26,1.30493355179,1.05097986922,77,2.41125068269,7.16469434059,knapsack: **1232** ; bnb: **3459** ; srd: **510** ; cg: **292**
bustabit-2019-2020-tiny-utxotargets,1.75929402,2229.60033333,373,9,7771,5991,0,2139,bnb: **3803** ; knapsack: **49** ; Total: **3852**,0.00050000,0.08601534,0.00272570571295,0.00686567469426,0.44853500,0.0000748681355366,0.00253640000,0.45107140000,1,26,1.29711233517,1.02336151410,77,2.36154231347,6.93743684234,knapsack: **1284** ; bnb: **3803** ; srd: **533** ; cg: **371**
bustabit-2019-2020-tiny-utxotargets,1.36609914,2091.06000000,874,9,8564,6491,0,2401,bnb: **4038** ; knapsack: **52** ; Total: **4090**,0.00050000,0.08601534,0.00260420984590,0.00659993073023,0.49940690,0.0000769383608073,0.00594320000,0.50535010000,1,26,1.31936527500,1.03579657420,77,2.44153443229,6.91349323039,knapsack: **1443** ; bnb: **4038** ; srd: **573** ; cg: **437**
bustabit-2019-2020-tiny-utxotargets,1.14850992,1989.90914286,519,11,9240,6989,0,2590,bnb: **4345** ; knapsack: **54** ; Total: **4399**,0.00050000,0.08601534,0.00257417352510,0.00664834699340,0.53034870,0.0000758833452568,0.00352920000,0.53387790000,1,26,1.32207755044,1.04149755090,77,2.40120188868,6.71680638143,knapsack: **1558** ; bnb: **4345** ; srd: **617** ; cg: **469**
bustabit-2019-2020-tiny-utxotargets,0.92695467,1892.92013333,402,13,9825,7487,0,2725,bnb: **4706** ; knapsack: **56** ; Total: **4762**,0.00050000,0.08601534,0.00255030262385,0.00660988301110,0.57936647,0.0000773829931882,0.00273360000,0.58210007000,1,26,1.31227460932,1.01891685268,77,2.35514892480,6.55459265551,knapsack: **1613** ; bnb: **4706** ; srd: **638** ; cg: **530**
bustabit-2019-2020-tiny-utxotargets,1.07852959,1819.19712500,1776,14,10496,7986,0,2930,bnb: **5000** ; knapsack: **56** ; Total: **5056**,0.00022764,0.08601534,0.00244388362799,0.00643444284099,0.66496462,0.0000832662935136,0.0120768000,0.6770414200,1,26,1.31430002504,1.00562643443,119,2.52103681443,7.75436101120,knapsack: **1763** ; bnb: **5000** ; srd: **676** ; cg: **547**
bustabit-2019-2020-tiny-utxotargets,0.79496158,1793.17200000,996,14,11381,8486,0,3071,bnb: **5353** ; knapsack: **62** ; Total: **5415**,0.00022764,0.08601534,0.00244449413872,0.00641253820353,0.68730187,0.0000809924428470,0.00677280000,0.69407467000,1,34,1.34115012963,1.14506809913,119,2.44991751119,7.52902233793,knapsack: **1816** ; bnb: **5353** ; srd: **747** ; cg: **570**
bustabit-2019-2020-tiny-utxotargets,0.51256201,1740.79344444,937,15,12078,8985,0,3330,bnb: **5590** ; knapsack: **65** ; Total: **5655**,0.00006597,0.08601534,0.00238287322823,0.00622112542686,0.74571897,0.0000829959899833,0.00637160000,0.75209057000,1,34,1.34424040067,1.13837109067,119,2.44073455760,7.37430053999,knapsack: **1950** ; bnb: **5590** ; srd: **777** ; cg: **668**
bustabit-2019-2020-tiny-utxotargets,0.47647960,1679.30905263,186,15,13106,9485,0,3575,bnb: **5836** ; knapsack: **74** ; Total: **5910**,0.00006597,0.08601534,0.00228341466573,0.00601854802208,0.78690331,0.0000829629214549,0.00126480000,0.78816811000,1,39,1.38176067475,1.40173134331,119,2.39441222984,7.18308723926,knapsack: **2112** ; bnb: **5836** ; srd: **832** ; cg: **705**
bustabit-2019-2020-tiny-utxotargets,4.29323986,1643.68520000,1790,15,13740,9985,0,3786,bnb: **6125** ; knapsack: **74** ; Total: **6199**,0.00004043,0.08601534,0.00231073382462,0.00617920930682,0.83045033,0.0000831697876815,0.0121720000,0.8426223300,1,39,1.37606409614,1.38004898036,119,2.53440160240,7.52867403979,knapsack: **2254** ; bnb: **6125** ; srd: **877** ; cg: **729**
bustabit-2019-2020-tiny-utxotargets,3.98896647,1639.18171429,1292,15,14334,10485,0,3908,bnb: **6503** ; knapsack: **74** ; Total: **6577**,0.00004043,0.08601534,0.00244210817042,0.00659941986316,0.86795099,0.0000827802565570,0.00878560000,0.87673659000,1,39,1.36709585122,1.35454806647,119,2.47286599905,7.35269645841,knapsack: **2292** ; bnb: **6503** ; srd: **913** ; cg: **777**
bustabit-2019-2020-tiny-utxotargets,3.70964766,1615.64709091,961,16,15047,10984,0,4127,bnb: **6782** ; knapsack: **75** ; Total: **6857**,0.00004043,0.08601534,0.00244507553671,0.00663619820891,0.90283566,0.0000821955262200,0.00653480000,0.90937046000,1,39,1.36990167516,1.34322413218,119,2.44246176256,7.20206676050,knapsack: **2461** ; bnb: **6782** ; srd: **943** ; cg: **798**
bustabit-2019-2020-tiny-utxotargets,3.42515485,1578.47626087,613,16,15716,11484,0,4407,bnb: **7002** ; knapsack: **75** ; Total: **7077**,0.00004043,0.08601534,0.00240239824143,0.00653806903413,0.93290968,0.0000812356043191,0.00416840000,0.93707808000,1,39,1.36851271334,1.32265195186,119,2.40900383142,7.04718369014,knapsack: **2649** ; bnb: **7002** ; srd: **991** ; cg: **842**
bustabit-2019-2020-tiny-utxotargets,3.14157300,1535.98991667,475,16,16385,11984,0,4607,bnb: **7302** ; knapsack: **75** ; Total: **7377**,0.00004043,0.08601534,0.00233268689169,0.00640536491984,0.97847440,0.0000816483978638,0.00323000000,0.98170440000,1,39,1.36723965287,1.30434212441,119,2.42256341789,7.00738239757,knapsack: **2786** ; bnb: **7302** ; srd: **1000** ; cg: **896**
bustabit-2019-2020-tiny-utxotargets,2.90589111,1541.74528000,1899,17,17120,12483,0,4713,bnb: **7694** ; knapsack: **76** ; Total: **7770**,0.00004043,0.08900030,0.00238344492892,0.00660493864885,1.02113365,0.0000818019426420,0.0129132000,1.0340468500,1,39,1.37146519266,1.32780272580,130,2.50700953296,7.70465130371,knapsack: **2851** ; bnb: **7694** ; srd: **1025** ; cg: **913**
bustabit-2019-2020-tiny-utxotargets,2.56362039,1544.48215385,1364,17,17776,12983,0,4838,bnb: **8059** ; knapsack: **86** ; Total: **8145**,0.00004043,0.08900030,0.00250896933444,0.00694937819317,1.04996505,0.0000808722983902,0.00927520000,1.05924025000,1,39,1.36917507510,1.31742127611,130,2.45859970731,7.55917189593,knapsack: **2909** ; bnb: **8059** ; srd: **1069** ; cg: **946**
bustabit-2019-2020-tiny-utxotargets,2.26006309,1528.42325926,844,17,18447,13483,0,5046,bnb: **8346** ; knapsack: **91** ; Total: **8437**,0.00004043,0.08900030,0.00261674081847,0.00725572883273,1.08117509,0.0000801880212119,0.00573920000,1.08691429000,1,39,1.36816732181,1.30204776967,130,2.41993621598,7.42089929950,knapsack: **3025** ; bnb: **8346** ; srd: **1137** ; cg: **975**
bustabit-2019-2020-tiny-utxotargets,1.92484696,1498.56321429,536,17,19015,13983,0,5278,bnb: **8614** ; knapsack: **91** ; Total: **8705**,0.00004043,0.08900030,0.00267540029178,0.00727450808962,1.12561162,0.0000804985782736,0.00364480000,1.12925642000,1,39,1.35986555103,1.28237383771,130,2.39126081671,7.29378404247,knapsack: **3143** ; bnb: **8614** ; srd: **1165** ; cg: **1061**
bustabit-2019-2020-tiny-utxotargets,1.57070052,1462.14062069,431,17,19696,14483,0,5507,bnb: **8882** ; knapsack: **94** ; Total: **8976**,0.00004043,0.08900030,0.00262106022698,0.00717830966943,1.16683589,0.0000805658972589,0.00293080000,1.16976669000,1,39,1.35993923911,1.26963617691,130,2.38817924463,7.20809351285,knapsack: **3287** ; bnb: **8882** ; srd: **1196** ; cg: **1118**
bustabit-2019-2020-tiny-utxotargets,1.81984551,1425.82320000,813,17,20489,14983,0,5715,bnb: **9173** ; knapsack: **95** ; Total: **9268**,0.00004043,0.08900030,0.00272855606824,0.00743811991205,1.20388903,0.0000803503323767,0.00552840000,1.20941743000,1,39,1.36748314757,1.27268201687,130,2.44276847093,7.40552868856,knapsack: **3385** ; bnb: **9173** ; srd: **1256** ; cg: **1169**
