id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00002882,0.00001139,0.0000113913043478,knapsack,1,0,57,0.00050051,0,0,707
1,0.00010000,0.00003481,0.00001476,0.0000147625106022,knapsack,1,0,53,0.00050092,0,0,745
2,0.00200000,0.00004300,0.00001929,0.0000192911619560,knapsack,1,0,50,0.00140648,0,0,795
3,0.00050000,0.00006465,0.00002645,0.0000264525368249,knapsack,1,0,55,0.00054450,0,0,874
4,0.00010000,0.00003911,0.00001495,0.0000149503058104,knapsack,1,0,59,0.00050107,0,0,747
5,0.00050000,0.00003493,0.00001567,0.0000156707043517,knapsack,1,0,50,0.00089800,0,0,755
6,0.00010000,0.00017113,0.00006764,0.0000676403162055,knapsack,1,0,57,0.00050300,0,0,1331
7,0.00050000,0.00007291,0.00002742,0.0000274200827379,knapsack,1,0,60,0.00083071,0,0,885
8,0.00050000,0.00017683,0.00007933,0.0000793315388066,knapsack,1,0,50,0.00090071,0,0,1462
9,0.00050000,0.00014696,0.00006232,0.0000623240033927,knapsack,1,0,53,0.00052903,0,0,1272
10,0.00010000,0.00016812,0.00006222,0.0000622205773501,knapsack,1,0,61,0.00050296,0,0,1272
11,0.00050000,0.00006095,0.00002788,0.0000278819762123,knapsack,1,0,49,0.00064092,0,0,890
12,0.01000000,0.00005390,0.00002926,0.0000292616720955,knapsack,1,0,41,0.00910842,0,0,905
13,0.00010000,0.00004353,0.00001991,0.0000199130832571,knapsack,1,0,49,0.00050105,0,0,802
14,0.00050000,0.00012154,0.00004646,0.0000464602446483,knapsack,1,0,59,0.00060611,0,0,1096
15,0.00010000,0.00023785,0.00009401,0.0000940118577075,knapsack,1,0,57,0.00050448,0,0,1625
16,0.00010000,0.00020625,0.00007884,0.0000788417431193,knapsack,1,0,59,0.00050398,0,0,1457
17,0.00010000,0.00017750,0.00006785,0.0000678516819572,knapsack,1,0,59,0.00050307,0,0,1334
18,0.00050000,0.00008972,0.00004025,0.0000402512337371,knapsack,1,0,50,0.00087739,0,0,1028
19,0.00010000,0.00005579,0.00002205,0.0000220513833992,knapsack,1,0,57,0.00050106,0,0,825
20,0.00010000,0.00003922,0.00001499,0.0000149923547401,knapsack,1,0,59,0.00050096,0,0,747
21,0.00010000,0.00010477,0.00004611,0.0000461135563380,knapsack,1,0,51,0.00050235,0,0,1093
22,0.00010000,0.00015343,0.00006753,0.0000675308098592,knapsack,1,0,51,0.00050323,0,0,1331
23,0.00050000,0.00022424,0.00010060,0.000100601166442,knapsack,1,0,50,0.00089035,0,0,1698
24,0.00010000,0.00022949,0.00010498,0.000104981701738,knapsack,1,0,49,0.00050480,0,0,1746
25,0.00010000,0.00027571,0.00010539,0.000105393730887,knapsack,1,0,59,0.00050502,0,0,1751
26,0.00050000,0.00006052,0.00002392,0.0000239209486166,knapsack,1,0,57,0.00063384,0,0,846
27,0.00010000,0.00014096,0.00006448,0.0000644830741080,knapsack,1,0,49,0.00050314,0,0,1297
28,0.00200000,0.00022086,0.00010103,0.000101033851784,knapsack,1,0,49,0.00213891,0,0,1703
29,0.00010000,0.00018306,0.00008057,0.0000805721830986,knapsack,1,0,51,0.00050375,0,0,1475
30,0.00010000,0.00026492,0.00010471,0.000104711462451,knapsack,1,0,57,0.00050494,0,0,1744
31,0.00050000,0.00018523,0.00008310,0.0000831000448632,knapsack,1,0,50,0.00077555,0,0,1504
32,0.00200000,0.00019502,0.00008749,0.0000874921489457,knapsack,1,0,50,0.00369388,0,0,1552
33,0.00010000,0.00007481,0.00003422,0.0000342223238792,knapsack,1,0,49,0.00050189,0,0,961
34,0.00050000,0.00003710,0.00001573,0.0000157336726039,knapsack,1,0,53,0.00050924,0,0,755
35,0.00200000,0.00006099,0.00002736,0.0000273620457604,knapsack,1,0,50,0.00330778,0,0,885
36,0.00050000,0.00005453,0.00002119,0.0000211931597357,knapsack,1,0,58,0.00079222,0,0,817
37,0.00050000,0.00004357,0.00001993,0.0000199313815188,knapsack,1,0,49,0.00060785,0,0,802
38,0.00010000,0.00015077,0.00006764,0.0000676401973979,knapsack,1,0,50,0.00050299,0,0,1331
39,0.00010000,0.00012597,0.00005342,0.0000534223918575,knapsack,1,0,53,0.00050246,0,0,1174
40,0.00050000,0.00004938,0.00002215,0.0000221534320323,knapsack,1,0,50,0.00082262,0,0,827
41,0.00050000,0.00013310,0.00005971,0.0000597128757290,knapsack,1,0,50,0.00096521,0,0,1244
42,0.00010000,0.00041378,0.00015817,0.000158172782875,knapsack,1,0,59,0.00050732,0,0,2337
43,0.00010000,0.00047460,0.00020127,0.000201272264631,knapsack,1,0,53,0.00050894,0,0,2815
44,0.00010000,0.00028515,0.00013044,0.000130443732845,knapsack,1,0,49,0.00050566,0,0,2028
45,0.00010000,0.00034871,0.00013783,0.000137830039526,knapsack,1,0,57,0.00050613,0,0,2111
46,0.00010000,0.00043210,0.00017079,0.000170790513834,knapsack,1,0,57,0.00050770,0,0,2477
47,0.00010000,0.00032463,0.00012831,0.000128312252964,knapsack,1,0,57,0.00050567,0,0,2005
48,0.00010000,0.00025098,0.00011481,0.000114812442818,knapsack,1,0,49,0.00050509,0,0,1855
49,0.00010000,0.00041455,0.00017907,0.000179071274298,knapsack,1,0,52,0.00050822,0,0,2569
50,0.00050000,0.00050802,0.00022791,0.000227913862719,knapsack,1,0,50,0.00085800,0,0,3111
51,0.00010000,0.00059048,0.00024160,0.000241603927987,knapsack,1,0,55,0.00051045,0,0,3262
52,0.00010000,0.00070674,0.00027934,0.000279343873518,knapsack,1,0,57,0.00051249,0,0,3682
