id,input_amounts
0,['0.05000000']
1,['0.05000000']
2,['0.05000000']
3,['0.05000000']
4,['0.05000000']
5,['0.05000000']
6,['0.05000000']
7,['0.05000000']
8,['0.05000000']
9,['0.05000000']
10,['0.05000000']
11,['0.05000000']
12,['0.05000000']
13,['0.05000000']
14,['0.05000000']
15,['0.05000000']
16,['0.05000000']
17,['0.05000000']
18,['0.05000000']
19,['0.05000000']
20,['0.05000000']
21,['0.05000000']
22,['0.05000000']
23,['0.05000000']
24,['0.05000000']
25,['0.05000000']
26,['0.05000000']
27,['0.05000000']
28,['0.05000000']
29,['0.05000000']
30,['0.05000000']
31,['0.05000000']
32,['0.05000000']
33,['0.05000000']
34,['0.05000000']
35,['0.05000000']
36,['0.05000000']
37,['0.05000000']
38,['0.05000000']
39,['0.05000000']
40,['0.05000000']
41,['0.05000000']
42,['0.05000000']
43,['0.05000000']
44,['0.05000000']
45,['0.05000000']
46,['0.05000000']
47,['0.05000000']
48,['0.05000000']
49,['0.05000000']
50,['0.05000000']
51,['0.05000000']
52,['0.05000000']
53,['0.05000000']
54,['0.05000000']
55,['0.05000000']
56,['0.05000000']
57,['0.05000000']
58,['0.05000000']
59,['0.05000000']
60,['0.05000000']
61,['0.05000000']
62,['0.05000000']
63,['0.05000000']
64,['0.05000000']
65,['0.05000000']
66,['0.05000000']
67,['0.05000000']
68,['0.05000000']
69,['0.05000000']
70,['0.05000000']
71,['0.05000000']
72,['0.05000000']
73,['0.05000000']
74,['0.05000000']
75,['0.05000000']
76,['0.05000000']
77,['0.05000000']
78,['0.05000000']
79,['0.05000000']
80,['0.05000000']
81,['0.05000000']
82,['0.05000000']
83,['0.05000000']
84,['0.05000000']
85,['0.05000000']
86,['0.05000000']
87,['0.05000000']
88,['0.05000000']
89,['0.05000000']
90,['0.05000000']
91,['0.05000000']
92,['0.05000000']
93,['0.05000000']
94,['0.05000000']
95,['0.05000000']
96,['0.05000000']
97,['0.05000000']
98,['0.05000000']
99,['0.05000000']
100,['0.05000000']
101,['0.00030358']
102,['0.05000000']
103,['0.00087852']
104,['0.00013868']
105,['0.00054450']
106,['0.00015663']
107,['0.00055716']
108,['0.00016160']
109,['0.00015609']
110,['0.00055904']
111,['0.01005059']
112,['0.00208011']
113,['0.00020412']
114,['0.00059995']
115,['0.00017122']
116,['0.00014747']
117,['0.00014113']
118,['0.00014005']
119,['0.00015254']
120,['0.00014976']
121,['0.00014431']
122,['0.00015226']
123,['0.00015804']
124,['0.00054755']
125,['0.00015107']
126,['0.00206224']
127,['0.00018663']
128,['0.00018498']
129,['0.00020255']
130,['0.00061647']
131,['0.00020429']
132,['0.00018832']
133,['0.00018845']
134,['0.00022944']
135,['0.00028354']
136,['0.00066063']
137,['0.00024386']
138,['0.00063384']
139,['0.00063584']
140,['0.00065118']
141,['0.00023370']
142,['0.00063488']
143,['0.00024324']
144,['0.00024678']
145,['0.00024044']
146,['0.00061895']
147,['0.00023370']
148,['0.00024725']
149,['0.00063188']
150,['0.00069709']
151,['0.00071360']
152,['0.00070351']
153,['0.00030688']
154,['0.00220941']
155,['0.00028997']
156,['0.00019696']
157,['0.00017423']
158,['0.00017002']
