id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00010000,0.00011159,0.00001139,0.0000113902214964,knapsack,1,0,226,0.00050055,0,225,707
1,0.00010000,0.00000263,0.00001476,0.0000236936936937,bnb,1,0,1,,225,224,183
2,0.00200000,0.00000606,0.00001929,0.0000268141592920,bnb,3,0,1,,224,221,501
3,0.00050000,0.00000605,0.00002645,0.0000267699115044,bnb,3,0,1,,221,218,462
4,0.00010000,0.00000413,0.00001495,0.0000372072072072,bnb,1,0,1,,218,217,332
5,0.00050000,0.00000360,0.00001567,0.0000159292035398,bnb,3,0,1,,217,214,275
6,0.00010000,0.00000884,0.00006764,0.0000796396396396,bnb,1,0,1,,214,213,518
7,0.00050000,0.00000630,0.00002742,0.0000278761061947,bnb,3,0,1,,213,210,481
8,0.00050000,0.00001253,0.00007933,0.000112882882883,bnb,1,0,1,,210,209,824
9,0.00050000,0.00000779,0.00006232,0.0000701801801802,bnb,1,0,1,,209,208,442
10,0.00010000,0.00000895,0.00006222,0.0000806306306306,bnb,1,0,1,,208,207,559
11,0.00050000,0.00000637,0.00002788,0.0000281858407080,bnb,3,0,1,,207,204,486
12,0.01000000,0.00001009,0.00002926,0.0000295894428152,knapsack,5,0,1,,204,199,850
13,0.00010000,0.00000521,0.00001991,0.0000469369369369,bnb,1,0,1,,199,198,413
14,0.00050000,0.00001061,0.00004646,0.0000469469026549,bnb,3,0,1,,198,195,810
15,0.00010000,0.00001112,0.00009401,0.000100180180180,bnb,1,0,1,,195,194,604
16,0.00010000,0.00001018,0.00007884,0.0000917117117117,bnb,1,0,1,,194,193,592
17,0.00010000,0.00001209,0.00006785,0.000108918918919,bnb,1,0,1,,193,192,842
18,0.00050000,0.00000921,0.00004025,0.0000407522123894,bnb,3,0,1,,192,189,703
19,0.00010000,0.00000342,0.00002205,0.0000222077922078,knapsack,1,0,2,0.00050544,189,188,803
20,0.00010000,0.00000233,0.00001499,0.0000151298701299,knapsack,1,0,2,0.00050818,188,187,732
21,0.00010000,0.00001263,0.00004611,0.000113783783784,bnb,1,0,1,,187,186,1014
22,0.00010000,0.00001462,0.00006753,0.000131711711712,bnb,1,0,1,,186,185,1097
23,0.00050000,0.00001537,0.00010060,0.000138468468468,bnb,1,0,1,,185,184,993
24,0.00010000,0.00001531,0.00010498,0.000137927927928,bnb,1,0,1,,184,183,964
25,0.00010000,0.00001801,0.00010539,0.000162252252252,bnb,1,0,1,,183,182,1231
26,0.00050000,0.00000547,0.00002392,0.0000242035398230,bnb,3,0,1,,182,179,417
27,0.00010000,0.00001000,0.00006448,0.0000649350649351,knapsack,1,0,2,0.00050152,179,178,1232
28,0.00200000,0.00005911,0.00010103,0.000101215753425,cg,1,0,12,0.00371973,178,177,1601
29,0.00010000,0.00001249,0.00008057,0.0000811038961039,knapsack,1,0,2,0.00051650,177,176,1395
30,0.00010000,0.00001969,0.00010471,0.000177387387387,bnb,1,0,1,,176,175,1403
31,0.00050000,0.00001647,0.00008310,0.000148378378378,bnb,1,0,1,,175,174,1198
32,0.00200000,0.00005119,0.00008749,0.0000876541095890,cg,1,0,12,0.00297055,174,173,1465
33,0.00010000,0.00001119,0.00003422,0.0000343251533742,cg,1,0,6,0.01001866,173,172,927
34,0.00050000,0.00000362,0.00001573,0.0000160176991150,bnb,3,0,1,,172,169,277
35,0.00200000,0.00000664,0.00002736,0.0000293805309735,bnb,3,0,1,,169,166,516
36,0.00050000,0.00000485,0.00002119,0.0000214601769912,bnb,3,0,1,,166,163,370
37,0.00050000,0.00000460,0.00001993,0.0000203539823009,bnb,3,0,1,,163,160,352
38,0.00010000,0.00001049,0.00006764,0.0000681168831169,cg,1,0,2,0.01308747,160,159,1264
39,0.00010000,0.00000829,0.00005342,0.0000538311688312,cg,1,0,2,0.01347274,159,158,1120
40,0.00050000,0.00000507,0.00002215,0.0000224336283186,bnb,3,0,1,,158,155,387
41,0.00050000,0.00001365,0.00005971,0.0000603982300885,bnb,3,0,1,,155,152,1042
42,0.00010000,0.00001970,0.00015817,0.000177477477477,bnb,1,0,1,,152,151,1115
43,0.00010000,0.00002334,0.00020127,0.000210270270270,bnb,1,0,1,,151,150,1247
44,0.00010000,0.00002070,0.00013044,0.000186486486486,bnb,1,0,1,,150,149,1365
45,0.00010000,0.00002567,0.00013783,0.000231261261261,bnb,1,0,1,,149,148,1822
46,0.00010000,0.00002634,0.00017079,0.000237297297297,bnb,1,0,1,,148,147,1711
47,0.00010000,0.00045024,0.00012831,0.000128346636260,cg,1,0,80,0.01344838,147,146,1877
48,0.00010000,0.00003766,0.00011481,0.000115168195719,srd,4,0,2,0.00053521,146,144,3738
49,0.00010000,0.00002995,0.00017907,0.000269819819820,bnb,1,0,1,,144,143,2028
50,0.00050000,0.00002842,0.00022791,0.000256036036036,bnb,1,0,1,,143,142,1611
51,0.00010000,0.00003440,0.00024160,0.000309909909910,bnb,1,0,1,,142,141,2135
52,0.00010000,0.00003657,0.00027934,0.000329459459459,bnb,1,0,1,,141,140,2148
53,0.00050000,0.00003132,0.00025222,0.000282162162162,bnb,1,0,1,,140,139,1770
54,0.00010000,0.00078763,0.00020389,0.000203890758478,knapsack,1,0,88,0.01137951,139,138,2844
55,0.00010000,0.00004893,0.00018122,0.000181895910781,srd,3,0,2,0.00077042,138,137,4516
