id,input_amounts
0,['0.50000000']
1,['0.00010263']
2,"['0.00053099', '0.00073863', '0.00073644']"
3,"['0.00013016', '0.00024755', '0.00012834']"
4,['0.00010413']
5,"['0.00013717', '0.00011703', '0.00024940']"
6,['0.00010884']
7,"['0.00011874', '0.00024655', '0.00014101']"
8,['0.00051253']
9,['0.00050779']
10,['0.00010895']
11,"['0.00011918', '0.00014095', '0.00024624']"
12,"['0.00216663', '0.00069548', '0.00241702', '0.00242096', '0.00231000']"
13,['0.00010521']
14,"['0.00011382', '0.00024648', '0.00015031']"
15,['0.00011112']
16,['0.00011018']
17,['0.00011209']
18,"['0.00012062', '0.00024663', '0.00014196']"
19,['0.00060886']
20,['0.00061051']
21,['0.00011263']
22,['0.00011462']
23,['0.00051537']
24,['0.00011531']
25,['0.00011801']
26,"['0.00024550', '0.00015913', '0.00010084']"
27,['0.00061152']
28,['0.01016751']
29,['0.00062899']
30,['0.00011969']
31,['0.00051647']
32,['0.01024843']
33,['0.01132645']
34,"['0.00012494', '0.00024412', '0.00013456']"
35,"['0.00073129', '0.00073380', '0.00054155']"
36,"['0.00012640', '0.00024276', '0.00013569']"
37,"['0.00013766', '0.00023834', '0.00012860']"
38,['0.01319796']
39,['0.01358103']
40,"['0.00012294', '0.00014626', '0.00023587']"
41,"['0.00024062', '0.00013074', '0.00014229']"
42,['0.00011970']
43,['0.00012334']
44,['0.00012070']
45,['0.00012567']
46,['0.00012634']
47,['0.33986728']
48,"['0.00020540', '0.00019057', '0.00012796', '0.00014894']"
49,['0.00012995']
50,['0.00052842']
51,['0.00013440']
52,['0.00013657']
53,['0.00053132']
54,['0.50000000']
55,"['0.00016689', '0.00055415', '0.00019831']"
56,['0.00077042']
57,['0.00052287']
58,['0.00051903']
59,"['0.00010155', '0.00020045', '0.00023657']"
60,['0.00071024']
61,['0.00208734']
62,['0.00211402']
63,['0.50000000']
64,"['0.00016473', '0.00015017', '0.00019188', '0.00022301']"
65,['0.00014208']
66,['0.00014216']
67,['0.00218536']
68,"['0.00024789', '0.00021489', '0.00217173']"
69,['0.50000000']
70,"['0.00066134', '0.00023191', '0.00016977']"
71,"['0.00053838', '0.00022155', '0.00017328', '0.00019670']"
72,['0.00053521']
73,['0.00091834']
74,"['0.00019696', '0.00023202', '0.00023068']"
75,"['0.00018796', '0.00014864', '0.00017664']"
76,['0.00064084']
77,['0.50000000']
78,"['0.00019208', '0.00017171', '0.00016160']"
79,['0.00203466']
80,"['0.00016217', '0.00014242', '0.00021849']"
81,"['0.00018165', '0.00056602', '0.00018147', '0.00016618']"
82,"['0.00022641', '0.00021661', '0.00021020']"
83,['0.50000000']
84,"['0.00019452', '0.00015921', '0.00018241']"
85,['0.00014463']
86,['0.00015091']
87,['0.00054216']
88,['0.00015147']
89,['0.00015723']
90,['0.00015757']
91,['0.00208573']
92,['0.00019187']
93,['0.00021440']
94,['0.00020901']
95,['0.00020438']
96,['0.00021452']
97,['0.00021456']
98,['0.00061214']
99,['0.00021708']
100,['0.00019391']
101,['0.00021785']
102,['0.50000000']
103,['0.00225928']
104,"['0.00017649', '0.00056578']"
105,['0.00054831']
106,['0.00015887']
107,['0.00057260']
108,['0.00016221']
109,['0.00015922']
110,['0.00058218']
111,['0.50000000']
112,"['0.00071516', '0.00071122', '0.00072799']"
113,['0.00021944']
114,['0.00060169']
115,['0.00017495']
116,['0.00016624']
117,['0.00233114']
118,['0.00211387']
119,['0.00016933']
120,['0.00017119']
121,['0.50000000']
122,"['0.00024215', '0.00063155']"
123,['0.00017902']
124,['0.00055156']
125,['0.00068885']
126,"['0.00064240', '0.00010122', '0.00068590', '0.00072838']"
127,['0.00019404']
128,['0.00019495']
129,['0.00022426']
130,['0.50000000']
131,['0.00022533']
132,['0.00019504']
133,['0.00019507']
134,['0.00023012']
135,"['0.00017967', '0.00018101']"
136,['0.00066456']
137,['0.00024373']
138,['0.00067485']
139,['0.00067723']
140,['0.00070095']
141,['0.00023734']
142,['0.50000000']
143,['0.00024462']
144,"['0.00012112', '0.00020130']"
145,['0.00024096']
146,['0.00062251']
147,"['0.00050544', '0.00050152']"
148,['0.00029938']
149,['0.00065805']
150,['0.00072004']
151,['0.00210934']
152,['0.00211200']
153,['0.00212042']
154,['0.00224000']
155,['0.00220173']
156,['0.00019912']
157,['0.00017458']
158,['0.00018530']
159,['0.00058182']
160,['0.00017058']
161,['0.00018360']
162,['0.00018371']
163,['0.00017258']
164,['0.00019396']
165,['0.00017370']
166,['0.00016316']
167,['0.00018518']
168,['0.00059425']
169,['0.00018648']
170,['0.00018380']
171,['0.00020533']
172,['0.00020399']
173,['0.00020344']
174,['0.01122674']
175,['0.00018508']
176,['0.00021766']
177,['0.00063126']
178,['0.00024748']
179,['0.00023980']
180,['0.00023812']
181,['0.00019588']
182,['0.00018502']
183,['0.00057044']
184,['0.00017143']
185,['0.00016991']
186,['0.00017030']
187,['0.01308747']
188,['0.00055444']
189,['0.00014766']
190,['0.00056759']
191,['0.00056802']
192,['0.00057191']
193,['0.00015519']
194,['0.00014270']
195,['0.00055509']
196,['0.00014879']
197,['0.00205379']
198,['0.00055532']
199,['0.01347274']
200,['0.00055903']
201,['0.00015452']
202,['0.00015005']
203,['0.00014649']
204,['0.00054709']
205,['0.00205577']
206,['0.00054282']
207,['0.00054068']
208,['0.00013655']
209,['0.00013355']
210,['0.00203636']
211,['0.00013669']
212,['0.00053732']
213,['0.00013673']
214,['0.00013673']
215,['0.00052774']
216,['0.00013985']
217,['0.00017145']
218,['0.00016691']
219,['0.00055512']
220,['0.00013266']
221,['0.00052306']
222,['0.00015779']
223,['0.00055005']
224,['0.00055217']
225,['0.00014239']
226,['0.00013928']
227,['0.00053443']
228,['0.00052329']
229,['0.00052613']
230,['0.00053294']
231,['0.00204823']
232,['0.00013148']
233,['0.00012453']
234,['0.50000000']
235,['0.00201917']
236,['0.00012061']
237,['0.00011821']
238,['0.00011823']
239,['0.00202519']
240,['0.00011717']
241,['0.00051195']
242,['0.00010679']
243,['0.00051546']
244,['0.00012277']
245,['0.00012249']
246,['0.00202326']
247,['0.01001866']
248,['0.00010805']
249,['0.00010810']
250,['0.00011840']
251,['0.00012014']
252,['0.00012015']
253,['0.00010943']
254,['0.00050860']
