----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 4.21853173 | 849.366000000 | 1235 | 1 | 588 | 499 | 0 | 88 | bnb: **409** ; knapsack: **2** ; Total: **411** | 0.00050055 | 0.49798338 | 0.0319529115909 | 0.104596381711 | 0.05324606 | 0.000106705531062 | 0.00839800000 | 0.06164406000 | 1 | 5 | 1.17835671343 | 0.609704406136 | 226 | 4.66733466934 | 22.9587887099 | knapsack: **22** ; bnb: **409** ; cg: **46** ; srd: **22** |
| bustabit-2019-2020-tiny-utxotargets | 2.05965281 | 943.348000000 | 858 | 1 | 1093 | 999 | 0 | 242 | bnb: **754** ; knapsack: **3** ; Total: **757** | 0.00050011 | 0.49798338 | 0.0533961779752 | 0.125574535566 | 0.09303100 | 0.0000931241241241 | 0.00583440000 | 0.09886540000 | 1 | 5 | 1.09409409409 | 0.446714969172 | 226 | 2.98598598599 | 16.3081487372 | knapsack: **57** ; bnb: **754** ; cg: **166** ; srd: **22** |
| bustabit-2019-2020-tiny-utxotargets | 1.40437346 | 880.660666667 | 626 | 1 | 1595 | 1499 | 0 | 521 | bnb: **975** ; knapsack: **3** ; Total: **978** | 0.00050011 | 0.49798338 | 0.0491754396545 | 0.120132326569 | 0.12647691 | 0.0000843741894596 | 0.00425680000 | 0.13073371000 | 1 | 5 | 1.06404269513 | 0.370699102523 | 226 | 2.50967311541 | 13.3312178107 | knapsack: **121** ; bnb: **975** ; cg: **381** ; srd: **22** |
| bustabit-2019-2020-tiny-utxotargets | 4.59234115 | 792.348000000 | 844 | 1 | 2181 | 1999 | 0 | 827 | bnb: **1169** ; knapsack: **3** ; Total: **1172** | 0.00050008 | 0.49798338 | 0.0381497177993 | 0.107264467146 | 0.15806405 | 0.0000790715607804 | 0.00573920000 | 0.16380325000 | 1 | 15 | 1.09104552276 | 0.589968575730 | 226 | 2.62431215608 | 11.8106698005 | knapsack: **153** ; bnb: **1169** ; cg: **637** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 9.10150393 | 807.602800000 | 750 | 1 | 2683 | 2499 | 0 | 1041 | bnb: **1455** ; knapsack: **3** ; Total: **1458** | 0.00050007 | 0.49798338 | 0.0309379709510 | 0.0969305867058 | 0.19758323 | 0.0000790649179672 | 0.00510000000 | 0.20268323000 | 1 | 15 | 1.07362945178 | 0.529532998505 | 226 | 2.43377350940 | 10.5844764027 | knapsack: **193** ; bnb: **1455** ; cg: **811** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 8.69188427 | 800.732000000 | 763 | 3 | 3189 | 2997 | 0 | 1320 | bnb: **1673** ; knapsack: **4** ; Total: **1677** | 0.00050007 | 0.49798338 | 0.0252408170758 | 0.0873945029809 | 0.23642299 | 0.0000788865498832 | 0.00518840000 | 0.24161139000 | 1 | 15 | 1.06406406406 | 0.489441147380 | 226 | 2.40273606940 | 9.75054169123 | knapsack: **265** ; bnb: **1673** ; cg: **1019** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 8.82702470 | 800.787714286 | 694 | 5 | 3697 | 3495 | 0 | 1523 | bnb: **1967** ; knapsack: **5** ; Total: **1972** | 0.00050007 | 0.49798338 | 0.0229879925082 | 0.0822506441589 | 0.26446815 | 0.0000756704291845 | 0.00471920000 | 0.26918735000 | 1 | 15 | 1.05779685265 | 0.460309319537 | 226 | 2.26094420601 | 9.03757371542 | knapsack: **270** ; bnb: **1967** ; cg: **1218** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 7.36452434 | 790.900750000 | 776 | 5 | 4206 | 3995 | 0 | 1704 | bnb: **2285** ; knapsack: **6** ; Total: **2291** | 0.00050007 | 0.49798338 | 0.0218159069601 | 0.0790740590616 | 0.30225940 | 0.0000756594242804 | 0.00527680000 | 0.30753620000 | 1 | 15 | 1.05281602003 | 0.437322342432 | 226 | 2.25206508135 | 8.50672317197 | knapsack: **278** ; bnb: **2285** ; cg: **1392** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 8.21090677 | 775.364666667 | 534 | 7 | 4712 | 4493 | 0 | 1984 | bnb: **2503** ; knapsack: **6** ; Total: **2509** | 0.00050007 | 0.49798338 | 0.0215054071875 | 0.0768283055413 | 0.33999772 | 0.0000756727620743 | 0.00363120000 | 0.34362892000 | 1 | 15 | 1.04874248832 | 0.416256210878 | 226 | 2.19875361674 | 8.02965775179 | knapsack: **281** ; bnb: **2503** ; cg: **1669** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 5.93879717 | 755.201400000 | 531 | 7 | 5222 | 4993 | 0 | 2277 | bnb: **2710** ; knapsack: **6** ; Total: **2716** | 0.00050004 | 0.49798338 | 0.0202559496794 | 0.0738057265419 | 0.37668767 | 0.0000754431544162 | 0.00361080000 | 0.38029847000 | 1 | 15 | 1.04586420989 | 0.397935652638 | 226 | 2.19367113960 | 7.65752991667 | knapsack: **317** ; bnb: **2710** ; cg: **1926** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 4.83525815 | 747.329090909 | 586 | 7 | 5730 | 5493 | 0 | 2493 | bnb: **2994** ; knapsack: **6** ; Total: **3000** | 0.00050004 | 0.49798338 | 0.0217785891737 | 0.0751157695802 | 0.41806934 | 0.0000761094738758 | 0.00398480000 | 0.42205414000 | 1 | 15 | 1.04314582196 | 0.381370253490 | 226 | 2.15911159658 | 7.35764309792 | knapsack: **320** ; bnb: **2994** ; cg: **2139** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 4.88291872 | 728.821833333 | 743 | 9 | 6230 | 5991 | 0 | 2755 | bnb: **3230** ; knapsack: **6** ; Total: **3236** | 0.00050004 | 0.49798338 | 0.0217035592632 | 0.0739336258794 | 0.46426464 | 0.0000774936805208 | 0.00505240000 | 0.46931704000 | 1 | 15 | 1.03989317309 | 0.365787629080 | 226 | 2.17976965448 | 7.08785068922 | knapsack: **326** ; bnb: **3230** ; cg: **2395** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 6.96067263 | 725.319230769 | 556 | 9 | 6730 | 6491 | 0 | 2973 | bnb: **3512** ; knapsack: **6** ; Total: **3518** | 0.00050004 | 0.49798338 | 0.0244813512445 | 0.0782764453648 | 0.49500045 | 0.0000762595054691 | 0.00378080000 | 0.49878125000 | 1 | 15 | 1.03682021260 | 0.351575798723 | 226 | 2.12247727623 | 6.81362758656 | knapsack: **332** ; bnb: **3512** ; cg: **2607** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 1.95952462 | 703.676857143 | 348 | 11 | 7233 | 6989 | 0 | 3321 | bnb: **3662** ; knapsack: **6** ; Total: **3668** | 0.00050004 | 0.49798338 | 0.0284944984523 | 0.0844838104476 | 0.52144348 | 0.0000746091686937 | 0.00236640000 | 0.52380988000 | 1 | 15 | 1.03491200458 | 0.340350981944 | 226 | 2.09228788096 | 6.56840055490 | knapsack: **338** ; bnb: **3662** ; cg: **2949** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 6.24129154 | 681.595066667 | 426 | 13 | 7733 | 7487 | 0 | 3585 | bnb: **3896** ; knapsack: **6** ; Total: **3902** | 0.00050004 | 0.49798338 | 0.0292650107671 | 0.0852490427937 | 0.57343961 | 0.0000765913730466 | 0.00289680000 | 0.57633641000 | 1 | 15 | 1.03285695205 | 0.329735114546 | 226 | 2.08788566849 | 6.36659658907 | knapsack: **340** ; bnb: **3896** ; cg: **3211** ; srd: **40** |
| bustabit-2019-2020-tiny-utxotargets | 10.40402428 | 677.668750000 | 985 | 14 | 8274 | 7986 | 0 | 3835 | bnb: **4145** ; knapsack: **6** ; Total: **4151** | 0.00050004 | 0.49798338 | 0.0289572153272 | 0.0849254827453 | 0.61216217 | 0.0000766544164788 | 0.00669800000 | 0.61886017000 | 1 | 15 | 1.03606311044 | 0.330008979630 | 226 | 2.15514650639 | 6.30385648410 | knapsack: **358** ; bnb: **4145** ; cg: **3421** ; srd: **62** |
