id,input_amounts
0,['0.02000000']
1,['0.00010246']
2,"['0.00013999', '0.00064622', '0.00050050', '0.00015860', '0.00056166']"
3,"['0.00017338', '0.00010382', '0.00022886']"
4,['0.00010248']
5,['0.00205088']
6,['0.00011403']
7,['0.00212167']
8,"['0.00028804', '0.00023003']"
9,['0.01142189']
10,['0.00011975']
11,"['0.00050063', '0.00015162']"
12,['0.02000000']
13,['0.00017230']
14,['0.02000000']
15,['0.02000000']
16,['0.00066810']
17,['0.00231852']
18,['0.00234167']
19,['0.01198450']
20,"['0.00059962', '0.00024109']"
21,['0.00073753']
22,['0.00015797']
23,"['0.00006921', '0.00022435', '0.00023047']"
24,['0.00018047']
25,['0.00019095']
26,['0.00050415']
27,['0.00019411']
28,['0.02000000']
29,['0.02000000']
30,['0.00011824']
31,['0.00127186']
32,['0.01328404']
33,['0.00016016']
34,['0.00050355']
35,"['0.00055544', '0.00054120', '0.00021921', '0.00023211', '0.00019089', '0.00023409', '0.00022357', '0.00231077']"
36,['0.02000000']
37,['0.02000000']
38,['0.00245559']
39,['0.01302193']
40,"['0.00024694', '0.00005485', '0.00020430']"
41,['0.00050844']
42,"['0.00017387', '0.00017577', '0.00055656', '0.00018895']"
43,['0.00016258']
44,['0.00021117']
45,['0.00021333']
46,['0.00081126']
47,['0.00055488']
48,['0.02000000']
49,['0.02000000']
50,['0.00053318']
51,['0.00014035']
52,['0.00014858']
53,"['0.00018311', '0.00036147']"
54,['0.00224965']
55,['0.00249318']
56,['0.01188421']
57,"['0.00058368', '0.00050786', '0.00011385']"
58,"['0.00016679', '0.00010853', '0.00010268', '0.00018553']"
59,['0.00065407']
60,['0.02000000']
61,['0.02000000']
62,['0.00069471']
63,['0.00228917']
64,['0.01390829']
65,"['0.00055087', '0.00016124']"
66,['0.00083358']
67,['0.00055807']
68,['0.00011726']
69,['0.02000000']
70,['0.00016564']
71,"['0.00003999', '0.00010062']"
72,"['0.00010216', '0.00050726']"
73,['0.00017162']
74,['0.00018311']
75,['0.02000000']
76,['0.02000000']
77,['0.00010641']
78,['0.00213466']
79,['0.01391300']
80,"['0.00050146', '0.00012847', '0.00057792']"
81,['0.00010705']
82,"['0.00061184', '0.00019234']"
83,['0.00068053']
84,"['0.00015147', '0.00112437']"
85,['0.00015345']
86,['0.00017562']
87,['0.02000000']
88,['0.02000000']
89,['0.00213687']
90,['0.01076212']
91,"['0.00051696', '0.00021812', '0.00079794', '0.00064488']"
92,['0.00019727']
93,['0.00023100']
94,['0.00021022']
95,['0.00020355']
96,['0.00024414']
97,['0.02000000']
98,"['0.00054207', '0.00011838']"
99,['0.00215389']
100,['0.00019931']
101,"['0.00018849', '0.00020150']"
102,['0.02000000']
103,['0.02000000']
104,['0.00014487']
105,['0.00175498']
106,['0.00017295']
107,['0.00210858']
108,['0.01290088']
109,"['0.00010771', '0.00066112']"
110,['0.00056276']
111,['0.02000000']
112,['0.02000000']
113,['0.00024287']
114,['0.00063851']
115,['0.00330023']
116,['0.00014893']
117,['0.00015243']
118,['0.00015403']
119,['0.01456705']
120,['0.00051266']
121,['0.00034449']
122,['0.02000000']
123,['0.02000000']
124,['0.00159851']
125,['0.00016869']
126,['0.01245930']
127,"['0.00012655', '0.00012553']"
128,['0.00023775']
129,['0.00023798']
130,['0.00062679']
131,"['0.00015012', '0.00012260']"
132,['0.00021826']
133,['0.02000000']
134,['0.00024636']
135,"['0.00015259', '0.00019033']"
136,['0.00068087']
137,['0.00081267']
138,['0.00063661']
139,['0.00066056']
140,['0.00069322']
141,['0.00023797']
142,"['0.00014980', '0.00055587']"
143,['0.01317719']
144,"['0.00021828', '0.00010396']"
145,['0.00024262']
146,['0.00063033']
147,['0.00023962']
148,"['0.00014633', '0.00017737']"
149,"['0.00007461', '0.00063038']"
150,['0.00069707']
151,['0.00071856']
152,['0.00070631']
153,['0.00032372']
154,"['0.00219910', '0.00011992']"
155,['0.00033377']
156,['0.00019756']
157,['0.00017460']
158,['0.00017204']
159,['0.00058379']
160,['0.00017230']
161,['0.00017572']
162,['0.00018490']
163,['0.00017614']
164,['0.00018074']
165,['0.00017651']
166,['0.00016417']
167,['0.00018478']
168,['0.00059975']
169,['0.00019028']
170,['0.00018694']
171,['0.00020518']
172,['0.00020314']
173,['0.00020376']
174,['0.01445793']
175,['0.00018930']
176,['0.00021814']
177,['0.00063122']
178,['0.00028357']
179,['0.00024218']
180,['0.00023820']
181,['0.00019616']
182,['0.00019387']
183,['0.00058943']
184,['0.00017328']
185,['0.00017007']
186,['0.00017046']
187,"['0.01217017', '0.00160969']"
188,['0.00054651']
189,['0.00014966']
190,['0.00056908']
191,['0.00056986']
192,['0.00127565']
193,['0.00015483']
194,['0.00014306']
195,['0.00054815']
196,['0.00015178']
197,"['0.00249198', '0.00234510']"
198,['0.00056014']
199,"['0.01370263', '0.00369141']"
200,['0.00055943']
201,['0.00015547']
202,['0.00015710']
203,['0.00014669']
204,['0.00056074']
205,['0.00264107']
206,['0.00054553']
207,['0.00134420']
208,['0.00013673']
209,['0.00013731']
210,['0.00571079']
211,['0.00013749']
212,['0.00053812']
213,['0.00013817']
214,['0.00013822']
215,['0.00053147']
216,['0.00014005']
217,['0.00017129']
218,['0.00016655']
219,['0.00056794']
220,['0.00013217']
221,['0.00052235']
222,['0.00015893']
223,['0.00119402']
224,['0.00147751']
225,['0.00014351']
226,['0.00014108']
227,['0.00053448']
228,['0.00052305']
229,['0.00053239']
230,['0.00053482']
231,['0.00310169']
232,['0.00013225']
233,['0.00012498']
234,['0.00201583']
235,"['0.00190802', '0.00011128']"
236,['0.00012090']
237,['0.00011895']
238,['0.00012131']
239,['0.00202550']
240,['0.00011789']
241,['0.00051422']
242,['0.00010750']
243,['0.00052008']
244,['0.00012277']
245,['0.00012532']
246,['0.00373633']
247,['0.01287905']
248,['0.00010821']
249,['0.00011059']
250,['0.00012142']
251,['0.00012225']
252,['0.00012532']
253,['0.00011060']
254,['0.00050880']
255,"['0.00018900', '0.00170549', '0.00011172']"
256,['0.00050737']
257,"['0.00001488', '0.00050199']"
258,['0.00290454']
259,['0.00011795']
260,['0.00012591']
261,['0.00012601']
262,['0.00010228']
263,['0.00011288']
264,['0.00052013']
265,"['0.00008411', '0.00004298']"
266,['0.00012736']
267,"['0.00009766', '0.00002740']"
268,['0.00012786']
269,"['0.00002029', '0.00010274']"
270,['0.00012841']
271,['0.00014553']
272,['0.00012852']
273,['0.00012903']
274,['0.00069478']
275,['0.00010308']
276,['0.00069613']
277,['0.00010371']
278,['0.00010564']
279,['0.00011223']
280,['0.00069937']
281,['0.00074225']
282,['0.00050703']
283,"['0.00016591', '0.00013823', '0.00169854']"
284,['0.00050784']
285,"['0.00017530', '0.00034262']"
286,"['0.00015164', '0.00036721']"
287,"['0.00009095', '0.00003138']"
288,['0.00311509']
289,['0.00011199']
290,['0.00075897']
291,['0.00010173']
292,['0.00010529']
293,"['0.00006386', '0.00004750']"
294,['0.00126469']
295,['0.00068838']
296,['0.00053864']
297,['0.00054453']
298,['0.00012957']
299,['0.00433363']
300,['0.00012991']
301,"['0.00043499', '0.00010579']"
302,['0.00013284']
303,['0.00154257']
304,['0.00052386']
305,['0.00013067']
306,['0.00014593']
307,['0.00155486']
308,['0.00014745']
309,['0.00078794']
310,['0.00064881']
311,"['0.00022368', '0.00030872']"
312,"['0.00076384', '0.00021684', '0.00103276']"
313,['0.00011094']
314,['0.00072550']
315,['0.00063200']
316,['0.00011749']
317,['0.00050802']
318,"['0.00083219', '0.00101091', '0.00016770']"
319,['0.00011240']
320,['0.00063456']
321,['0.00063523']
322,"['0.00006419', '0.00006200']"
