id,input_amounts
0,['0.00483000']
1,['0.00172043']
2,['0.00794500']
3,"['0.00161375', '0.00940000']"
4,['0.00329600']
5,"['0.00329000', '0.00329000']"
6,['0.00329400']
7,['0.00329400']
8,['0.00287881']
9,"['0.00464789', '0.00186395']"
10,['0.00065919']
11,"['0.00337195', '0.00014860', '0.00050494']"
12,['0.00091964']
13,"['0.00331400', '0.00014860', '0.00010000']"
14,['0.00080910']
15,"['0.00070397', '0.00390000']"
16,['0.01570000']
17,['0.00500000']
18,['0.00980000']
19,['0.00331400']
20,['0.00329400']
21,['0.01010000']
22,['0.01000000']
23,"['0.00100000', '0.00236525']"
24,['0.00787138']
25,"['0.00217843', '0.00109000', '0.00010863']"
26,"['0.00056976', '0.00057728', '0.00090000']"
27,['0.01569000']
28,['0.02500000']
29,['0.00897444']
30,"['0.00241585', '0.00310261']"
31,"['0.00329400', '0.01468381']"
32,['0.02197669']
33,['0.01000000']
34,['0.01229130']
35,['0.00100000']
36,['0.00690963']
37,"['0.00050000', '0.00000100', '0.00000200', '0.00300000', '0.00067395', '0.00103200']"
38,"['0.00360446', '0.00186452', '0.00389112']"
39,['0.00661944']
40,['0.00892576']
41,"['0.00327674', '0.00196593']"
42,"['0.00566905', '0.00020000']"
43,"['0.00190163', '0.00600492']"
44,['0.01000000']
45,['0.00300000']
46,['0.00100000']
47,['0.00388033']
48,['0.00189490']
49,['0.01300000']
50,['0.00601810']
51,['0.01460256']
52,['0.00779227']
53,['0.00467674']
54,['0.00963388']
55,['0.00617818']
56,['0.01864977']
57,['0.01553201']
58,['0.01207709']
59,['0.00867942']
60,['0.03535793']
61,['0.03198366']
62,['0.02860120']
63,['0.02520198']
64,['0.02180146']
65,['0.00563811']
66,['0.01839412']
67,['0.01499727']
68,['0.01159874']
69,['0.00818377']
70,['0.00490113']
71,['0.00433002']
72,['0.00472786']
73,"['0.00102838', '0.00224256']"
74,"['0.00074993', '0.00267626']"
75,"['0.00272048', '0.00177543']"
76,"['0.00295559', '0.00121556', '0.00214044']"
77,"['0.00076900', '0.00157767', '0.00110443']"
78,"['0.00100000', '0.00254253']"
79,['0.00910000']
80,['0.00569317']
81,"['0.00280947', '0.00223425']"
82,['0.01714000']
83,['0.01368408']
84,['0.01057355']
85,['0.00868876']
86,['0.00583659']
87,"['0.00150429', '0.00232606']"
88,['0.03000000']
89,['0.01481017']
90,['0.01364201']
91,"['0.00347365', '0.00011000']"
92,"['0.00116387', '0.00136303']"
93,['0.00480000']
94,['0.00253116']
95,['0.01780000']
96,['0.01490000']
97,['0.01280659']
98,['0.01071848']
99,['0.00605743']
100,['0.03500000']
101,['0.00267798']
102,['0.03187103']
103,['0.00300000']
104,['0.00370000']
105,['0.00107722']
106,['0.00790000']
107,['0.00270000']
108,['0.00149274']
109,['0.00480000']
110,['0.00500000']
111,['0.01000000']
112,['0.00291104']
113,"['0.00034660', '0.00341677']"
114,['0.00080000']
115,['0.01450000']
116,['0.00500000']
117,['0.02869518']
118,['0.00800000']
119,"['0.00163049', '0.00153878', '0.00025954']"
120,"['0.00087643', '0.00185986', '0.00454585', '0.00100000', '0.00025639']"
121,"['0.00592000', '0.00120000', '0.00092855']"
122,"['0.00010000', '0.00800000', '0.00194050']"
123,"['0.00100000', '0.00295495', '0.01109159']"
124,"['0.00135141', '0.00059941', '0.00009409']"
125,"['0.00010000', '0.00127498']"
126,"['0.00006000', '0.00090000', '0.00027869', '0.00062384', '0.00008000', '0.00091371', '0.00040000']"
127,"['0.00183724', '0.00169500', '0.00171142', '0.00090000']"
128,"['0.00395398', '0.00100000', '0.00120000']"
129,"['0.00290000', '0.00444318']"
130,"['0.00490000', '0.00458548', '0.00006080', '0.00151210']"
131,['0.01000000']
132,"['0.00200000', '0.00100000', '0.00390000', '0.00100000', '0.00213902']"
133,"['0.00464370', '0.00722292']"
134,"['0.01940443', '0.00100000']"
135,"['0.00049540', '0.00096183', '0.00110000']"
136,['0.00300000']
137,"['0.00100000', '0.00138398', '0.00300000', '0.00300000', '0.00183405', '0.00200000', '0.00085171']"
138,['0.00888584']
139,['0.00360000']
140,['0.00100000']
141,['0.00300000']
142,"['0.00155158', '0.00686006', '0.00088461']"
143,"['0.00069882', '0.00500000', '0.00070000']"
144,"['0.00180000', '0.00100000']"
145,"['0.00100000', '0.00100000', '0.00200000', '0.00334360']"
146,"['0.00226500', '0.00290000', '0.00300000', '0.00055178', '0.00112536']"
147,"['0.00500000', '0.01680000']"
148,"['0.00880000', '0.00156876', '0.01205625', '0.01837029', '0.00860000', '0.00969612']"
149,['0.00900000']
150,"['0.06000000', '0.00200000', '0.00263338']"
151,['0.01000000']
152,['0.00600000']
153,"['0.00880000', '0.00280000', '0.04000000', '0.00963986', '0.00900000', '0.05000000', '0.00090000']"
154,"['0.00277252', '0.00600000']"
155,['0.00228044']
