Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Max Output Size,Mean Output Size,Std. Dev. of Output Size,Usage
bustabit-2019-2020-tiny,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,0,0,0,
bustabit-2019-2020-tiny,0.25295458,21.7900000000,24,267,438,230,1,195,bnb: **35** ; Total: **35**,0.00009409,0.09676621,0.00870837471795,0.0148190891107,0.01312092,0.0000570474782609,0.000163200000,0.013284120000,1,12,1.90434782609,1.67422751812,2,1.84782608696,0.359972785504,knapsack: **87** ; bnb: **35** ; srd: **56** ; cg: **52**
bustabit-2019-2020-tiny,9.04715085,50.6980000000,144,594,766,403,1,316,bnb: **87** ; Total: **87**,0.00009409,1.31998244,0.0359408131646,0.149208081807,0.02936701,0.0000728709925558,0.000979200000,0.030346210000,1,15,1.90074441687,1.92135794684,2,1.78411910670,0.411943465313,knapsack: **98** ; bnb: **87** ; srd: **77** ; cg: **141**
bustabit-2019-2020-tiny,12.37514742,93.3333333333,278,961,1084,536,1,401,bnb: **135** ; Total: **135**,0.00009409,1.31998244,0.0352672803741,0.138109263686,0.03907186,0.0000728952611940,0.00189040000,0.04096226000,1,15,2.02238805970,2.16502847676,2,1.74813432836,0.434489999301,knapsack: **122** ; bnb: **135** ; srd: **94** ; cg: **185**
bustabit-2019-2020-tiny,25.79303786,159.527500000,360,1318,1433,679,3,475,bnb: **203** ; knapsack: **1** ; Total: **204**,0.00009409,1.31998244,0.0345413680632,0.130136314174,0.04829829,0.0000711315022091,0.00244800000,0.05074629000,1,15,2.11045655376,2.18425437973,2,1.69955817378,0.458788110314,knapsack: **145** ; bnb: **203** ; srd: **101** ; cg: **230**
bustabit-2019-2020-tiny,30.81490901,212.534000000,462,1682,1772,815,3,552,bnb: **262** ; knapsack: **1** ; Total: **263**,0.00009409,4.99981230,0.0424115159420,0.244619041206,0.05879947,0.0000721465889571,0.00314160000,0.06194107000,1,30,2.17423312883,2.46131217269,2,1.67730061350,0.467795894810,knapsack: **151** ; bnb: **262** ; srd: **108** ; cg: **294**
bustabit-2019-2020-tiny,31.88689226,251.466666667,477,2010,2187,987,3,654,bnb: **332** ; knapsack: **1** ; Total: **333**,0.00009409,4.99981230,0.0585877116055,0.304147139756,0.07330255,0.0000742680344478,0.00324360000,0.07654615000,1,30,2.21580547112,2.45673174498,2,1.66261398176,0.473057527010,knapsack: **174** ; bnb: **332** ; srd: **119** ; cg: **362**
bustabit-2019-2020-tiny,84.76478369,302.571714286,745,2421,2388,1076,3,712,bnb: **363** ; knapsack: **1** ; Total: **364**,0.00009409,4.99981230,0.0580741350702,0.293527328735,0.08096947,0.0000752504368030,0.00506600000,0.08603547000,1,30,2.21933085502,2.43544330872,2,1.66171003717,0.473347754097,knapsack: **183** ; bnb: **363** ; srd: **122** ; cg: **408**
bustabit-2019-2020-tiny,162.21679705,375.960750000,988,2827,2605,1170,3,766,bnb: **403** ; knapsack: **1** ; Total: **404**,0.00009409,4.99981230,0.0650857737467,0.300985482973,0.08862902,0.0000757512991453,0.00671840000,0.09534742000,1,30,2.22649572650,2.43670580621,2,1.65470085470,0.475669035204,knapsack: **195** ; bnb: **403** ; srd: **125** ; cg: **447**
bustabit-2019-2020-tiny,316.51363963,455.560222222,1273,3232,2789,1265,3,830,bnb: **434** ; knapsack: **1** ; Total: **435**,0.00009409,4.99981230,0.0639804479398,0.293006183572,0.09575723,0.0000756974150198,0.00865640000,0.10441363000,1,30,2.20474308300,2.38964861922,2,1.65612648221,0.475187354592,knapsack: **215** ; bnb: **434** ; srd: **132** ; cg: **484**
bustabit-2019-2020-tiny,312.67145818,543.781200000,1427,3588,3083,1409,3,922,bnb: **486** ; knapsack: **1** ; Total: **487**,0.00009409,4.99981230,0.0614604327007,0.281104030560,0.10859299,0.0000770709652236,0.00970360000,0.11829659000,1,30,2.18807665011,2.32561692813,2,1.65436479773,0.475743778095,knapsack: **235** ; bnb: **486** ; srd: **140** ; cg: **548**
bustabit-2019-2020-tiny,370.28512153,635.453272727,1654,3962,3315,1535,3,1007,bnb: **527** ; knapsack: **1** ; Total: **528**,0.00009409,8.79986730,0.0971818427507,0.513049534972,0.11874760,0.00007736,0.0112472000,0.1299948000,1,30,2.15960912052,2.28336421290,2,1.65602605863,0.475187301957,knapsack: **249** ; bnb: **527** ; srd: **160** ; cg: **599**
bustabit-2019-2020-tiny,369.70973835,726.393166667,1816,4303,3603,1694,3,1116,bnb: **577** ; knapsack: **1** ; Total: **578**,0.00009409,8.79986730,0.0922955621416,0.489478234582,0.13478938,0.0000795687012987,0.0123488000,0.1471381800,1,30,2.12691853601,2.22211838324,2,1.65879574970,0.474253816448,knapsack: **266** ; bnb: **577** ; srd: **167** ; cg: **684**
bustabit-2019-2020-tiny,422.03074027,815.283076923,1988,4678,3884,1819,3,1194,bnb: **624** ; knapsack: **1** ; Total: **625**,0.00009409,8.79986730,0.0908625132831,0.476153200790,0.14562304,0.0000800566465091,0.0135184000,0.1591414400,1,30,2.13523914239,2.23714161919,2,1.65640461792,0.475038581145,knapsack: **291** ; bnb: **624** ; srd: **178** ; cg: **726**
bustabit-2019-2020-tiny,462.20477624,902.552571429,2084,5022,4229,1975,3,1291,bnb: **683** ; knapsack: **1** ; Total: **684**,0.00009409,8.79986730,0.0926455334624,0.463197418476,0.15479044,0.0000783749063291,0.0141712000,0.1689616400,1,30,2.14126582278,2.23262023828,2,1.65367088608,0.475920100739,knapsack: **320** ; bnb: **683** ; srd: **195** ; cg: **777**
bustabit-2019-2020-tiny,448.06807262,988.034533333,2281,5373,4483,2124,3,1391,bnb: **732** ; knapsack: **1** ; Total: **733**,0.00009409,8.79986730,0.0910478160460,0.450990333901,0.17055817,0.0000803004566855,0.0155108000,0.1860689700,1,30,2.11064030132,2.19739488730,2,1.65489642185,0.475513990305,knapsack: **339** ; bnb: **732** ; srd: **197** ; cg: **856**
