id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,0.0000678723404255,knapsack,1,0,2,0.00018043,17,17,673
1,0.00010100,0.00000838,0.00004025,0.0000402884615385,knapsack,2,0,2,0.00018782,17,16,-7
2,0.00329400,0.00000459,0.00002205,0.0000220673076923,knapsack,2,0,2,0.00017184,16,15,-311
3,0.00410100,0.00000359,0.00001499,0.0000150209205021,srd,2,0,3,0.00010580,15,15,-429
4,0.00329000,0.00001273,0.00004611,0.0000461231884058,knapsack,3,0,2,0.00035093,15,13,-275
5,0.00319400,0.00001405,0.00006753,0.0000675480769231,knapsack,2,0,2,0.00019175,13,12,450
6,0.00040100,0.00001731,0.00010060,0.000100639534884,srd,1,0,3,0.00011074,12,13,997
7,0.00262000,0.00001806,0.00010498,0.000105000,srd,1,0,3,0.00018215,13,14,1040
8,0.00100000,0.00001486,0.00010539,0.000105390070922,knapsack,1,0,2,0.00175209,14,14,1044
9,0.00650000,0.00001780,0.00006448,0.0000644927536232,knapsack,3,0,2,0.00017503,15,13,157
10,0.00014000,0.00001425,0.00010103,0.000101063829787,knapsack,1,0,2,0.00019668,13,13,1002
11,0.00310000,0.00000441,0.00002119,0.0000212019230769,knapsack,2,0,2,0.00028959,20,19,-324
12,0.00010100,0.00001407,0.00006764,0.0000676442307692,knapsack,2,0,2,0.00025171,20,19,450
13,0.00113200,0.00002201,0.00005342,0.0000534223300971,knapsack,5,0,2,0.00026612,19,15,-734
14,0.00010200,0.00000381,0.00002215,0.0000221511627907,knapsack,1,0,3,0.00017919,15,16,220
15,0.00400000,0.00002669,0.00012831,0.000128317307692,knapsack,2,0,2,0.00013943,22,21,1464
16,0.00100000,0.00001619,0.00011481,0.000114822695035,srd,1,0,2,0.00229781,21,21,1137
17,0.00300000,0.00002900,0.00024160,0.000263636363636,bnb,1,0,1,,23,22,1205
18,0.00665800,0.00011006,0.00027934,0.000279340101523,srd,2,0,8,0.00015782,22,27,3986
19,0.00110000,0.00010720,0.00025222,0.000252235294118,srd,2,0,9,0.00013357,27,33,3534
20,0.00090000,0.00005019,0.00020389,0.000204857142857,bnb,3,0,1,,33,30,2122
21,0.00110000,0.00003357,0.00018122,0.000189661016949,bnb,2,0,1,,30,28,1235
22,0.00209300,0.00007601,0.00025260,0.000310244897959,bnb,3,0,1,,28,25,4500
23,0.00332600,0.00019178,0.00019006,0.000190257936508,srd,1,0,30,0.00016668,25,53,1883
24,0.00424600,0.00004689,0.00014830,0.000149808306709,bnb,4,0,1,,53,49,1346
25,0.00333000,0.00004476,0.00016908,0.000182693877551,bnb,3,0,1,,49,46,1725
26,0.00200000,0.00005843,0.00018578,0.000186677316294,bnb,4,0,1,,46,42,2342
27,0.00337500,0.00004558,0.00016808,0.000186040816327,bnb,3,0,1,,42,39,1812
28,0.00300000,0.00004894,0.00016531,0.000165337837838,srd,1,0,7,0.00011638,39,44,1638
29,0.00294600,0.00004350,0.00016675,0.000177551020408,bnb,3,0,1,,44,41,1609
30,0.00332500,0.00006350,0.00025488,0.000259183673469,bnb,3,0,1,,42,39,3239
31,0.00332500,0.00009519,0.00024158,0.000241598984772,srd,2,0,8,0.00013185,39,44,3355
32,0.00330000,0.00004823,0.00019090,0.000196857142857,bnb,3,0,1,,44,41,1981
33,0.00336300,0.00003911,0.00012449,0.000124952076677,bnb,4,0,1,,41,37,668
34,0.00333400,0.00008120,0.00022367,0.000223691460055,srd,2,0,7,0.00019955,40,44,3056
35,0.00030000,0.00003320,0.00018471,0.000187570621469,bnb,2,0,1,,44,42,1184
36,0.00300100,0.00003136,0.00012415,0.000128000,bnb,3,0,1,,42,39,574
37,0.00332900,0.00001896,0.00003221,0.0000324657534247,bnb,8,0,1,,40,32,-3680
38,0.00332700,0.00004309,0.00005433,0.0000547522236341,bnb,11,0,1,,32,21,-3400
39,0.00332700,0.00002845,0.00011128,0.000116122448980,bnb,3,0,1,,21,18,337
40,0.00322700,0.00019404,0.00021068,0.000210684039088,srd,2,0,25,0.00015098,18,40,2840
41,0.00332000,0.00003866,0.00010115,0.000101469816273,bnb,5,0,1,,40,35,41
42,0.00198400,0.00001087,0.00002268,0.0000226931106472,knapsack,6,1,2,0.00025681,36,31,-2399
43,0.00322000,0.00003408,0.00004712,0.0000473991655076,bnb,10,0,1,,31,21,-3590
44,0.00505500,0.00010173,0.00031108,0.000311100917431,cg,1,0,8,0.00020356,23,29,3081
45,0.00105000,0.00006721,0.00039072,0.000390755813953,knapsack,1,0,3,0.00017625,30,31,3869
46,0.00020000,0.00004777,0.00035509,0.000434272727273,bnb,1,0,1,,31,30,2605
47,0.00086900,0.00005574,0.00039528,0.000395319148936,cg,1,0,2,0.00078180,30,30,3914
48,0.00020400,0.00011323,0.00080301,0.000803049645390,knapsack,1,0,2,0.00027788,31,31,7951
49,0.00322600,0.00050977,0.00099370,0.000993703703704,cg,1,0,14,0.00018286,31,43,9839
50,0.00334300,0.00045316,0.00094015,0.000940165975104,cg,1,0,13,0.00024013,43,54,9309
51,0.00668000,0.00018757,0.00092398,0.000923990147783,cg,1,0,4,0.00021648,54,56,9149
52,0.00332500,0.00013725,0.00097336,0.000973404255319,cg,1,0,2,0.00176833,56,56,9637
53,0.00332500,0.00052539,0.00096578,0.000965790441176,cg,1,0,15,0.00014019,56,69,9562
54,0.00332500,0.00067666,0.00092693,0.000926931506849,cg,1,0,21,0.00017458,69,88,9178
55,0.00332500,0.00045361,0.00094109,0.000941099585062,cg,1,0,13,0.00023603,88,99,9318
56,0.00300000,0.00016954,0.00083513,0.000835172413793,cg,1,0,4,0.00013371,99,101,8268
57,0.00332700,0.00012792,0.00090717,0.000907234042553,cg,1,0,2,0.00573632,101,101,8982
58,0.00332500,0.00007267,0.00051533,0.000515390070922,cg,1,0,2,0.00233865,101,101,5103
59,0.00300000,0.00005229,0.00029292,0.000295423728814,bnb,2,0,1,,101,99,2638
60,0.00332700,0.00004727,0.00033519,0.000335248226950,cg,1,0,2,0.01038972,99,99,3320
61,0.00332700,0.00005546,0.00039329,0.000393333333333,cg,1,0,2,0.00700726,99,99,3895
62,0.00332800,0.00007122,0.00050508,0.000505106382979,cg,1,0,2,0.00360804,99,99,5001
63,0.00332900,0.00007152,0.00050722,0.000507234042553,cg,1,0,2,0.00020752,99,99,5023
64,0.00333000,0.00011409,0.00054847,0.000548509615385,cg,2,0,2,0.00066289,99,98,8481
65,0.00332500,0.00010407,0.00050031,0.000500336538462,cg,2,0,2,0.00022256,98,97,7677
66,0.00332500,0.00010599,0.00050953,0.000509567307692,cg,2,0,2,0.00097390,97,96,7830
67,0.00333500,0.00008117,0.00045050,0.000458587570621,bnb,2,0,1,,96,94,4864
68,0.00332500,0.00013010,0.00063805,0.000735028248588,bnb,2,0,1,,94,92,8970
69,0.00332500,0.00019311,0.00092840,0.000928413461538,cg,2,0,2,0.00125140,92,91,14827
70,0.00300000,0.00028519,0.00089143,0.000911150159744,bnb,4,0,1,,91,87,22054
