id,input_amounts
0,['0.00329000']
1,"['0.00014860', '0.00014860']"
2,"['0.00329000', '0.00018043']"
3,"['0.00329400', '0.00794500']"
4,"['0.00017184', '0.00329400', '0.00018782']"
5,"['0.00329400', '0.00010580']"
6,['0.00329600']
7,['0.01569000']
8,['0.00276695']
9,"['0.00483000', '0.00175209', '0.00011074']"
10,['0.00035093']
11,"['0.00010000', '0.00329400']"
12,"['0.00017503', '0.00019175']"
13,"['0.00050000', '0.00019668', '0.00028959', '0.00025171', '0.00018215']"
14,['0.00331400']
15,"['0.00026612', '0.00390000']"
16,['0.00331400']
17,['0.00302900']
18,"['0.00229781', '0.00702861']"
19,"['0.00500000', '0.00013943']"
20,"['0.00019854', '0.00056375', '0.00018790']"
21,"['0.00100000', '0.00013357']"
22,"['0.00017901', '0.00090000', '0.00109000']"
23,['0.01570000']
24,"['0.00065988', '0.00244257', '0.00103200', '0.00015844']"
25,"['0.00237758', '0.00024764', '0.00074954']"
26,"['0.00062265', '0.00100000', '0.00024423', '0.00019155']"
27,"['0.00056976', '0.00057851', '0.00227231']"
28,['0.01010000']
29,"['0.00012891', '0.00071558', '0.00214501']"
30,"['0.00029780', '0.00246800', '0.00062270']"
31,"['0.00105489', '0.01000000']"
32,"['0.00021781', '0.00248634', '0.00064408']"
33,"['0.00059219', '0.00016668', '0.00243994', '0.00020330']"
34,"['0.01000000', '0.00100000']"
35,"['0.00011708', '0.00021612']"
36,"['0.00241218', '0.00018480', '0.00043538']"
37,"['0.00016540', '0.00010843', '0.00010507', '0.00011021', '0.00017919', '0.00010863', '0.00020634', '0.00236469']"
38,"['0.00010550', '0.00013689', '0.00019955', '0.00015782', '0.00015986', '0.00011418', '0.00071246', '0.00017590', '0.00129915', '0.00013185', '0.00017693']"
39,"['0.00023907', '0.00011638', '0.00300000']"
40,"['0.00016940', '0.01300000']"
41,"['0.00233922', '0.00010776', '0.00014392', '0.00059896', '0.00016880']"
42,"['0.00020000', '0.00000100', '0.00017725', '0.00059834', '0.00065668', '0.00061841']"
43,"['0.00010169', '0.00014240', '0.00013753', '0.00016172', '0.00011627', '0.00025681', '0.00133776', '0.00071412', '0.00015098', '0.00013480']"
44,['0.00940000']
45,['0.00300000']
46,['0.00024777']
47,['0.00170654']
48,['0.00059511']
49,['0.00980000']
50,['0.01000000']
51,['0.01286979']
52,['0.00523058']
53,['0.02500000']
54,['0.01271533']
55,['0.03535793']
56,['0.01304330']
57,['0.00919124']
58,['0.00573632']
59,"['0.00058468', '0.00246761']"
60,['0.01376399']
61,['0.01038972']
62,['0.00700726']
63,['0.00360804']
64,"['0.00176833', '0.00233865']"
65,"['0.00122195', '0.00242968']"
66,"['0.00216476', '0.00224013']"
67,"['0.00097390', '0.00244227']"
68,"['0.00100312', '0.00245198']"
69,"['0.00239118', '0.00237833']"
70,"['0.00070318', '0.00078180', '0.00125140', '0.00054881']"
71,"['0.00060410', '0.00061663', '0.00073192', '0.00076900', '0.00073473']"
72,"['0.00067296', '0.00063234', '0.00066603', '0.00014360']"
73,"['0.00066289', '0.00059916', '0.00071516', '0.00068677', '0.00068175']"
74,"['0.00061689', '0.00060093', '0.00064614', '0.00055516', '0.00055303', '0.00057033']"
75,"['0.00023842', '0.00034660', '0.00024881', '0.00023603', '0.00052861', '0.00024013', '0.00046378', '0.00024344', '0.00022026', '0.00027788', '0.00023669', '0.00023333', '0.00019375']"
76,"['0.00021060', '0.00021727', '0.00018280', '0.00017376', '0.00020571', '0.00021804', '0.00022591', '0.00021151', '0.00021126', '0.00016598', '0.00013461', '0.00018286', '0.00020356', '0.00018324', '0.00021648', '0.00019528', '0.00020752', '0.00019805', '0.00018044', '0.00022256']"
77,"['0.00013428', '0.00011000', '0.00014417', '0.00014314', '0.00100000', '0.00017482', '0.00015877', '0.00013852', '0.00017458', '0.00014472', '0.00017625', '0.00016012', '0.00015016', '0.00016720', '0.00016762', '0.00017496', '0.00013443', '0.00014994', '0.00012670', '0.00015454', '0.00012758']"
78,['0.00910000']
79,['0.00542947']
80,['0.01714000']
81,['0.01335944']
82,"['0.00216519', '0.00197055']"
83,['0.00216531']
84,"['0.00228397', '0.00013977', '0.00057962']"
85,"['0.00024659', '0.00080949', '0.00022662', '0.00072043', '0.00068275', '0.00027824', '0.00024273', '0.00028052', '0.00013772', '0.00060664', '0.00011012']"
86,['0.03000000']
87,"['0.00209098', '0.01349638']"
88,['0.00219015']
89,"['0.00024139', '0.00221774']"
90,"['0.00116387', '0.00102199', '0.00010820']"
91,['0.00300000']
92,['0.00480000']
93,['0.01780000']
94,['0.00267798']
95,['0.00354382']
96,['0.01490000']
97,['0.00300000']
98,['0.00370000']
99,['0.00145571']
100,['0.00390000']
101,['0.00200000']
102,['0.00444318']
103,['0.00107722']
104,['0.00790000']
105,['0.00171142']
106,['0.00080000']
107,['0.00480000']
108,['0.00480000']
109,['0.00800000']
110,['0.00120000']
111,"['0.00035141', '0.00341677']"
112,['0.00016718']
113,['0.01000000']
114,['0.00360000']
115,['0.01000000']
116,['0.00592000']
117,"['0.00011743', '0.00300000', '0.00031145']"
118,"['0.00800000', '0.00015877', '0.00014734', '0.00022552']"
119,"['0.00231152', '0.00500000', '0.00073692']"
120,"['0.00464370', '0.00500000', '0.00040000']"
121,"['0.00023851', '0.00030732', '0.01450000']"
122,"['0.00120000', '0.00072415', '0.00012027']"
123,"['0.00107287', '0.00012790', '0.00018013']"
124,"['0.00006080', '0.00019702', '0.00010000', '0.00008000', '0.00270000', '0.00010860']"
125,"['0.00025639', '0.00500000', '0.00087643']"
126,"['0.00072919', '0.00087495', '0.00454585']"
127,"['0.00057528', '0.00490000', '0.00091371']"
128,"['0.00074530', '0.01023895', '0.00006000']"
129,"['0.00228555', '0.00022427', '0.00028668']"
130,"['0.00010000', '0.00015021', '0.00010602', '0.00900000', '0.00012272', '0.00056546']"
131,"['0.00880000', '0.00013890', '0.00110000']"
132,"['0.00019273', '0.00021757', '0.00163049']"
133,"['0.00012938', '0.00016355', '0.00012325', '0.00014882', '0.00000200', '0.00014336', '0.00100000']"
134,"['0.00100000', '0.00051162', '0.00011641']"
135,"['0.01109159', '0.00024378', '0.00169500']"
136,"['0.00063435', '0.00051505', '0.00089655']"
137,['0.00225528']
138,"['0.00013522', '0.00011712', '0.00019804']"
