----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny | 0.25591043 | 85.9960000000 | 170 | 267 | 852 | 228 | 1 | 116 | bnb: **108** ; knapsack: **4** ; Total: **112** | 0.00010580 | 0.01038972 | 0.000789014224138 | 0.00163686219781 | 0.02350607 | 0.000103096798246 | 0.00115600000 | 0.02466207000 | 1 | 33 | 3.73684210526 | 4.96516966554 | 103 | 4.31140350877 | 10.5756953408 | knapsack: **41** ; srd: **25** ; bnb: **108** ; cg: **54** |
| bustabit-2019-2020-tiny | 9.04725403 | 190.585000000 | 366 | 594 | 1281 | 401 | 1 | 194 | bnb: **202** ; knapsack: **5** ; Total: **207** | 0.00010580 | 0.96875715 | 0.0114128042784 | 0.0816959077178 | 0.04260483 | 0.000106246458853 | 0.00248880000 | 0.04509363000 | 1 | 35 | 3.19451371571 | 4.75311159404 | 103 | 3.62593516209 | 9.00276211425 | knapsack: **46** ; srd: **32** ; bnb: **202** ; cg: **121** |
| bustabit-2019-2020-tiny | 12.37318797 | 266.624666667 | 538 | 961 | 1646 | 534 | 1 | 245 | bnb: **283** ; knapsack: **6** ; Total: **289** | 0.00010580 | 0.96875715 | 0.0118160132653 | 0.0757029994671 | 0.05437231 | 0.000101820805243 | 0.00365840000 | 0.05803071000 | 1 | 35 | 3.08239700375 | 4.41564133818 | 103 | 3.29026217228 | 8.12149873914 | knapsack: **49** ; srd: **37** ; bnb: **283** ; cg: **165** |
| bustabit-2019-2020-tiny | 25.78904051 | 363.160500000 | 710 | 1318 | 2019 | 677 | 1 | 291 | bnb: **379** ; knapsack: **7** ; Total: **386** | 0.00010580 | 0.97497143 | 0.0171300115120 | 0.0948471325001 | 0.06563664 | 0.0000969522008863 | 0.00482800000 | 0.07046464000 | 1 | 35 | 2.98227474151 | 4.13023691186 | 103 | 3.08419497784 | 7.66304056235 | knapsack: **52** ; srd: **40** ; bnb: **379** ; cg: **206** |
| bustabit-2019-2020-tiny | 30.80819292 | 422.173200000 | 665 | 1682 | 2648 | 813 | 1 | 349 | bnb: **457** ; knapsack: **7** ; Total: **464** | 0.00010580 | 4.99981230 | 0.0309010287106 | 0.280725799468 | 0.07885656 | 0.0000969945387454 | 0.00452200000 | 0.08337856000 | 1 | 184 | 3.25707257073 | 9.29611867685 | 103 | 3.00615006150 | 7.90218598939 | knapsack: **53** ; srd: **43** ; bnb: **457** ; cg: **260** |
| bustabit-2019-2020-tiny | 31.87932764 | 470.449000000 | 742 | 2010 | 3060 | 985 | 1 | 414 | bnb: **564** ; knapsack: **7** ; Total: **571** | 0.00010580 | 4.99981230 | 0.0559304269082 | 0.366705548550 | 0.09420817 | 0.0000956428121827 | 0.00504560000 | 0.09925377000 | 1 | 184 | 3.10659898477 | 8.51384615364 | 103 | 2.81928934010 | 7.42796254320 | knapsack: **53** ; srd: **48** ; bnb: **564** ; cg: **320** |
| bustabit-2019-2020-tiny | 84.75603698 | 535.412285714 | 1084 | 2421 | 3254 | 1074 | 1 | 460 | bnb: **607** ; knapsack: **7** ; Total: **614** | 0.00010580 | 4.99981230 | 0.0535794824783 | 0.349669318458 | 0.10305718 | 0.0000959564059590 | 0.00737120000 | 0.11042838000 | 1 | 184 | 3.02979515829 | 8.17544379379 | 103 | 2.78491620112 | 7.21273826847 | knapsack: **54** ; srd: **50** ; bnb: **607** ; cg: **363** |
| bustabit-2019-2020-tiny | 162.20767902 | 623.736250000 | 1342 | 2827 | 3483 | 1168 | 1 | 502 | bnb: **659** ; knapsack: **7** ; Total: **666** | 0.00010580 | 4.99981230 | 0.0588964753187 | 0.351576001496 | 0.11108805 | 0.0000951096318493 | 0.00912560000 | 0.12021365000 | 1 | 184 | 2.98202054795 | 7.90738065039 | 103 | 2.71061643836 | 6.95734268753 | knapsack: **56** ; srd: **52** ; bnb: **659** ; cg: **401** |
| bustabit-2019-2020-tiny | 316.50357231 | 718.734222222 | 1676 | 3232 | 3673 | 1263 | 1 | 547 | bnb: **709** ; knapsack: **7** ; Total: **716** | 0.00010580 | 4.99981230 | 0.0560745401645 | 0.338212762139 | 0.11916555 | 0.0000943511876485 | 0.0113968000 | 0.1305623500 | 1 | 184 | 2.90815518606 | 7.62166744101 | 103 | 2.67616785432 | 6.79730023854 | knapsack: **60** ; srd: **55** ; bnb: **709** ; cg: **439** |
| bustabit-2019-2020-tiny | 312.66154556 | 823.549800000 | 1879 | 3588 | 3944 | 1407 | 1 | 613 | bnb: **787** ; knapsack: **7** ; Total: **794** | 0.00010580 | 4.99981230 | 0.0510837936052 | 0.319921100392 | 0.13184661 | 0.0000937076119403 | 0.0127772000 | 0.1446238100 | 1 | 184 | 2.80312722104 | 7.23495477411 | 103 | 2.58848614072 | 6.51001709128 | knapsack: **66** ; srd: **58** ; bnb: **787** ; cg: **496** |
| bustabit-2019-2020-tiny | 370.27525513 | 930.724545455 | 2118 | 3962 | 4163 | 1533 | 1 | 675 | bnb: **850** ; knapsack: **8** ; Total: **858** | 0.00010580 | 8.79986730 | 0.102689290859 | 0.611663635151 | 0.14195500 | 0.0000925994781474 | 0.0144024000 | 0.1563574000 | 1 | 184 | 2.71559034573 | 6.94420120761 | 103 | 2.51272015656 | 6.25997908080 | knapsack: **75** ; srd: **66** ; bnb: **850** ; cg: **542** |
| bustabit-2019-2020-tiny | 369.69968304 | 1037.17316667 | 2315 | 4303 | 4436 | 1692 | 1 | 766 | bnb: **918** ; knapsack: **8** ; Total: **926** | 0.00010580 | 8.79986730 | 0.0933574767363 | 0.575742416128 | 0.15818569 | 0.0000934903605201 | 0.0157420000 | 0.1739276900 | 1 | 184 | 2.62174940898 | 6.62468189307 | 103 | 2.44680851064 | 5.97898017081 | knapsack: **85** ; srd: **67** ; bnb: **918** ; cg: **622** |
| bustabit-2019-2020-tiny | 422.02117857 | 1143.52569231 | 2539 | 4678 | 4685 | 1817 | 1 | 823 | bnb: **986** ; knapsack: **8** ; Total: **994** | 0.00010580 | 8.79986730 | 0.0904019041677 | 0.557424712167 | 0.16852574 | 0.0000927494441387 | 0.0172652000 | 0.1857909400 | 1 | 184 | 2.57842597688 | 6.40471821101 | 103 | 2.40121078701 | 5.83758318038 | knapsack: **101** ; srd: **71** ; bnb: **986** ; cg: **659** |
| bustabit-2019-2020-tiny | 462.19479287 | 1247.97971429 | 2674 | 5022 | 5020 | 1973 | 1 | 895 | bnb: **1070** ; knapsack: **8** ; Total: **1078** | 0.00010580 | 8.79986730 | 0.0876315828492 | 0.536386320759 | 0.17811481 | 0.0000902761327927 | 0.0181832000 | 0.1962980100 | 1 | 184 | 2.54434870755 | 6.16447033139 | 103 | 2.35428281804 | 5.63859833933 | knapsack: **108** ; srd: **82** ; bnb: **1070** ; cg: **713** |
