id,input_amounts
0,['0.04444444']
1,['0.04444444']
2,['0.04444444']
3,['0.04444444']
4,['0.04444444']
5,['0.04444444']
6,['0.04444444']
7,['0.04444444']
8,['0.04444444']
9,['0.04444444']
10,['0.04444444']
11,['0.04444444']
12,['0.04444444']
13,['0.04444444']
14,['0.04444444']
15,['0.04444444']
16,['0.04444444']
17,['0.04444444']
18,['0.04444444']
19,['0.04444444']
20,['0.04444444']
21,['0.04444444']
22,['0.04444444']
23,['0.04444444']
24,['0.04444444']
25,['0.04444444']
26,['0.04444444']
27,['0.04444444']
28,['0.04444444']
29,['0.04444444']
30,['0.04444444']
31,['0.04444444']
32,['0.04444444']
33,['0.04444444']
34,['0.04444444']
35,['0.04444444']
36,['0.04444444']
37,['0.04444444']
38,['0.04444444']
39,['0.04444444']
40,['0.04444444']
41,['0.04444444']
42,['0.04444444']
43,['0.04444444']
44,['0.04444444']
45,['0.04444444']
46,['0.04444444']
47,['0.04444444']
48,['0.04444444']
49,['0.04444444']
50,['0.04444444']
51,['0.04444444']
52,['0.04444444']
53,['0.04444444']
54,['0.04444444']
55,['0.04444444']
56,['0.04444444']
57,['0.04444444']
58,['0.04444444']
59,['0.04444444']
60,['0.04444444']
61,['0.04444444']
62,['0.04444444']
63,['0.04444444']
64,['0.04444444']
65,['0.04444444']
66,['0.04444444']
67,['0.04444444']
68,['0.04444444']
69,['0.04444444']
70,['0.04444444']
71,['0.04444444']
72,['0.04444444']
73,['0.04444444']
74,['0.04444444']
75,['0.04444444']
76,['0.04444444']
77,['0.04444444']
78,['0.04444444']
79,['0.04444444']
80,['0.04444444']
81,['0.04444444']
82,['0.04444444']
83,['0.04444444']
84,['0.04444444']
85,['0.04444444']
86,['0.04444444']
87,['0.04444444']
88,['0.04444444']
89,['0.04444444']
90,['0.04444444']
91,['0.04444444']
92,['0.04444444']
93,['0.04444444']
94,['0.04444444']
95,['0.04444444']
96,['0.04444444']
97,['0.04444444']
98,['0.04444444']
99,['0.04444444']
100,['0.04444444']
101,['0.00062301']
102,['0.00015679']
103,['0.00053288']
104,['0.00013695']
105,['0.00204850']
106,['0.00015605']
107,['0.00015602']
108,['0.00016034']
109,['0.00015616']
110,['0.00015695']
111,['0.00205672']
112,['0.00057112']
113,['0.04444444']
114,['0.00019837']
115,['0.00017034']
116,['0.00054917']
117,['0.00014057']
118,['0.00013959']
119,['0.00055350']
120,['0.00014839']
121,['0.00204859']
122,['0.00015134']
123,['0.00015695']
124,['0.00014708']
125,['0.00015005']
126,['0.00016075']
127,['0.00018518']
128,['0.00018336']
129,['0.00060094']
130,['0.00061376']
131,['0.00060307']
132,['0.00018624']
133,['0.00018667']
134,['0.00022702']
135,['0.04444444']
136,['0.04444444']
137,['0.00064109']
138,['0.00023017']
139,['0.00023313']
140,['0.00065050']
141,['0.00063207']
142,['0.00023146']
143,['0.00064069']
144,['0.00064403']
145,['0.01017175']
146,['0.00021696']
147,['0.00023133']
148,['0.00214659']
149,['0.01013024']
150,['0.04444444']
151,['0.00071010']
152,['0.04444444']
153,['0.04444444']
154,['0.00070481']
155,['0.04444444']
156,['0.00019523']
157,['0.00017288']
158,['0.00016877']
159,['0.00016879']
160,['0.00016882']
161,['0.00017426']
162,['0.00058054']
163,['0.00056958']
164,['0.00017703']
165,['0.00017008']
166,['0.00016218']
167,['0.00018335']
168,['0.00019232']
169,['0.00058501']
170,['0.00018071']
171,['0.00020306']
172,['0.00020030']
173,['0.00020070']
174,['0.00058890']
175,['0.00018250']
176,['0.00211695']
177,['0.00022841']
178,['0.00024462']
179,['0.00023723']
180,['0.00063541']
181,['0.00209422']
182,['0.00018322']
183,['0.00016884']
184,['0.00016943']
185,['0.00206984']
186,['0.00207016']
187,['0.00016371']
188,['0.00014570']
189,['0.00014664']
190,['0.00056079']
191,['0.00016443']
192,['0.00016212']
193,['0.00015384']
194,['0.00054195']
195,['0.00014630']
196,['0.00014779']
197,['0.00014577']
198,['0.00015011']
199,['0.00016026']
200,['0.00015709']
201,['0.00015355']
202,['0.00014899']
203,['0.01004993']
204,['0.00054569']
205,['0.00014371']
206,['0.00014179']
207,['0.00013994']
208,['0.00053584']
209,['0.00013291']
210,['0.00053297']
211,['0.00013606']
212,['0.00013607']
213,['0.00053639']
214,['0.00013589']
215,['0.00012652']
216,['0.00013897']
217,['0.00057025']
218,['0.00016506']
219,['0.00015387']
220,['0.00053155']
221,['0.00011823']
222,['0.00015677']
223,['0.00014711']
224,['0.00014645']
225,['0.00054142']
226,['0.00013850']
227,['0.00053341']
228,['0.00012110']
229,['0.00202512']
230,['0.00013099']
231,['0.00013525']
232,['0.00013062']
233,['0.00052453']
234,['0.00011108']
235,['0.00051239']
236,['0.00012005']
237,['0.00011785']
238,['0.00011786']
239,['0.00012008']
240,['0.00011650']
241,"['0.00132114', '0.00069610']"
242,"['0.00014421', '0.00011693', '0.00024888', '0.00017709']"
243,['0.00011461']
244,['0.00012229']
245,['0.00052195']
246,['0.00012231']
247,['0.00052240']
248,['0.00010766']
249,['0.00010776']
250,['0.00011791']
251,['0.00011972']
252,['0.00051961']
253,['0.00050938']
254,['0.00010823']
255,['0.00010314']
256,['0.00010698']
257,"['0.00074948', '0.00025024', '0.00014709', '0.00088418']"
258,['0.00011740']
259,['0.00051671']
260,['0.00012041']
261,['0.00011835']
262,['0.00010224']
263,['0.00011251']
264,['0.00011868']
265,['0.00011756']
266,['0.00011929']
267,['0.00011594']
268,['0.00202089']
269,"['0.00022486', '0.00979905']"
270,['0.00012105']
271,['0.00053790']
272,['0.00012114']
273,['0.00012072']
274,['0.00011852']
275,"['0.00024966', '0.00012981', '0.00249216']"
276,"['0.00024967', '0.00020018', '0.00249500']"
277,"['0.00245423', '0.00069071', '0.00072584', '0.00011283', '0.00011702', '0.00072258', '0.00019375', '0.00018499', '0.00017754', '0.00013385', '0.00020324', '0.00019740', '0.00010181', '0.00011235', '0.00017535', '0.00247138', '0.00024348', '0.00058178', '0.00022762', '0.00248144', '0.00014600', '0.00019925', '0.00018735']"
278,['0.00010523']
279,['0.00011205']
280,['0.00051954']
281,"['0.00021825', '0.00012015', '0.00070696', '0.00016936', '0.00024556', '0.00017589']"
282,['0.00010571']
283,"['0.00010896', '0.00010197', '0.00019171', '0.00024834']"
284,['0.00010712']
285,['0.00051143']
286,['0.00011136']
287,['0.00011309']
288,['0.00011579']
289,['0.00050816']
290,"['0.00014956', '0.00070155', '0.00024929']"
291,['0.00010115']
292,"['0.00018302', '0.01287622', '0.00023210']"
293,['0.00010716']
294,"['0.00074888', '0.00052516', '0.00074915']"
295,['0.00012090']
296,['0.00013349']
297,['0.00013328']
298,['0.00052520']
299,['0.00012584']
300,['0.00202687']
301,['0.00012609']
302,['0.00013067']
303,['0.00012816']
304,['0.00052308']
305,['0.00052154']
306,['0.00013100']
307,['0.00012893']
308,['0.00052995']
309,['0.00053384']
310,['0.00052998']
311,['0.00012048']
312,['0.00010659']
313,['0.00010935']
314,['0.00012272']
315,['0.00012010']
316,['0.00011665']
317,['0.00010676']
318,"['0.00014349', '0.00019985', '0.00023924', '0.00011149']"
319,['0.00050733']
320,['0.00011857']
321,['0.00011523']
322,['0.00011619']
323,['0.00012069']
324,['0.00051453']
325,['0.00050820']
326,['0.00201568']
327,['0.00053045']
328,['0.00052536']
329,['0.00012146']
330,['0.00012201']
331,['0.00012769']
332,['0.00202573']
333,['0.00011143']
334,"['0.00052719', '0.00074818', '0.00074832']"
335,['0.00010605']
336,"['0.00247813', '0.00010003', '0.00024970']"
337,['0.00010810']
338,"['0.00021784', '0.01062442', '0.00069817', '0.00239356', '0.00017320', '0.00015748', '0.00018708', '0.00062039', '0.00235965', '0.00022644', '0.00012967']"
339,"['0.00016841', '0.00016911', '0.00067755', '0.00011884']"
340,"['0.00013395', '0.00024953', '0.00024886']"
341,['0.00011069']
342,['0.00201304']
343,['0.00011425']
344,['0.00011421']
345,['0.00010527']
346,"['0.00020363', '0.00056316', '0.00010856', '0.00019162', '0.04444444', '0.00021302']"
347,['0.00010875']
348,['0.00050842']
349,['0.00051642']
350,['0.00201816']
351,['0.00051652']
352,['0.00010698']
353,"['0.00249736', '0.00024964', '0.00074712', '0.00074720', '0.00012797']"
354,['0.00010344']
355,['0.00010511']
356,['0.00010328']
357,"['0.00015100', '0.00072736']"
358,['0.00010210']
359,"['0.00011387', '0.00024660', '0.00239696']"
360,"['0.00012171', '0.00059647']"
361,"['0.00248426', '0.00010017']"
362,['0.00010429']
363,['0.00050457']
364,"['0.00023284', '0.00024950', '0.00249416']"
365,['0.00010288']
366,['0.00010195']
367,"['0.00010186', '0.00023126', '0.00015767', '0.00054322']"
368,"['0.00017698', '0.00024300', '0.00011978', '0.00014519', '0.00020660', '0.00016326']"
369,['0.00010781']
370,['0.00051341']
371,['0.00012176']
372,['0.00011909']
373,['0.00010968']
374,['0.00010216']
375,"['0.00017500', '0.00016345', '0.00062371', '0.00019733']"
376,['0.00201707']
377,['0.00202282']
378,['0.00011483']
379,['0.00050956']
380,['0.00011196']
381,['0.00011152']
382,['0.00010786']
383,"['0.00056637', '0.00236495']"
384,['0.00244051']
385,['0.00050463']
386,['0.00010241']
387,['0.00010249']
388,['0.00010750']
389,['0.00011366']
