----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets-presplit
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets-presplit | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.88650888 | 129.5 | 125 | 225 | 275 | 275 | 0 | 275 | Total: **0** | 0.03363952 | 0.04434283 | 0.0432612294909 | 0.00204996693019 | 0.01688501 | 0.0000614000363636 | 0.000850000000 | 0.017735010000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **275** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.81591537 | 127.756000000 | 129 | 229 | 771 | 771 | 0 | 771 | Total: **0** | 0.02281741 | 0.04434283 | 0.0415816832296 | 0.00357118579084 | 0.05196740 | 0.0000674025940337 | 0.000877200000 | 0.052844600000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **771** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.54782553 | 128.477333333 | 130 | 230 | 1270 | 1270 | 0 | 1270 | Total: **0** | 0.01915348 | 0.04434283 | 0.0399658133386 | 0.00477701410231 | 0.07904771 | 0.0000622422913386 | 0.000884000000 | 0.079931710000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **1270** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.15597628 | 128.858000000 | 130 | 230 | 1770 | 1770 | 0 | 1770 | Total: **0** | 0.00867777 | 0.04434283 | 0.0381758203955 | 0.00616182219347 | 0.12104350 | 0.0000683861581921 | 0.000884000000 | 0.121927500000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **1770** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 8.83864353 | 129.086400000 | 130 | 230 | 2270 | 2270 | 0 | 2270 | Total: **0** | 0.00577048 | 0.04434283 | 0.0364621553128 | 0.00733487609297 | 0.15659594 | 0.0000689849955947 | 0.000884000000 | 0.157479940000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **2270** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 8.57068912 | 129.238666667 | 130 | 230 | 2770 | 2770 | 0 | 2770 | Total: **0** | 0.00406687 | 0.04434283 | 0.0348599253105 | 0.00820946978057 | 0.18767907 | 0.0000677541768953 | 0.000884000000 | 0.188563070000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **2770** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 8.26244287 | 129.347428571 | 130 | 230 | 3270 | 3270 | 0 | 3270 | Total: **0** | 0.00292435 | 0.04434283 | 0.0332965383180 | 0.00900371686441 | 0.22517632 | 0.0000688612599388 | 0.000884000000 | 0.226060320000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **3270** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.91890483 | 129.429000000 | 130 | 230 | 3770 | 3770 | 0 | 3770 | Total: **0** | 0.00209895 | 0.04434283 | 0.0317413424775 | 0.00973494719739 | 0.26426199 | 0.0000700960185676 | 0.000884000000 | 0.265145990000 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | knapsack: **3770** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.61473706 | 129.545555556 | 131 | 231 | 4269 | 4269 | 0 | 4268 | bnb: **1** ; Total: **1** | 0.00051928 | 0.04434283 | 0.0301733136715 | 0.0104845713412 | 0.29593276 | 0.0000693213305224 | 0.000890800000 | 0.296823560000 | 1 | 1 | 1 | 0 | 2 | 1.99976575310 | 0.0153051264689 | knapsack: **4268** ; bnb: **1** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.30993239 | 129.621600000 | 130 | 232 | 4768 | 4768 | 0 | 4766 | bnb: **2** ; Total: **2** | 0.00050051 | 0.04434283 | 0.0286626935921 | 0.0111459726192 | 0.32930757 | 0.0000690661849832 | 0.000884000000 | 0.330191570000 | 1 | 1 | 1 | 0 | 2 | 1.99958053691 | 0.0204786497151 | knapsack: **4766** ; bnb: **2** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 6.98709690 | 129.607636364 | 128 | 232 | 5268 | 5268 | 0 | 5264 | bnb: **4** ; Total: **4** | 0.00050051 | 0.04434283 | 0.0271731343123 | 0.0117954523661 | 0.37448100 | 0.0000710859908884 | 0.000870400000 | 0.375351400000 | 1 | 1 | 1 | 0 | 2 | 1.99924069856 | 0.0275475762376 | knapsack: **5263** ; bnb: **4** ; cg: **1** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 6.64652835 | 129.329833333 | 125 | 232 | 5770 | 5768 | 0 | 5762 | bnb: **6** ; Total: **6** | 0.00050051 | 0.04434283 | 0.0258041327959 | 0.0123477896288 | 0.40821051 | 0.0000707715863384 | 0.000850000000 | 0.409060510000 | 1 | 2 | 1.00034674064 | 0.0186193585562 | 2 | 1.99895977809 | 0.0322384869314 | knapsack: **5756** ; bnb: **6** ; cg: **3** ; srd: **3** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 6.33480712 | 128.515846154 | 114 | 232 | 6276 | 6268 | 0 | 6257 | bnb: **11** ; Total: **11** | 0.00050038 | 0.05583661 | 0.0246707068148 | 0.0127797821112 | 0.43479306 | 0.0000693671123165 | 0.000775200000 | 0.435568260000 | 1 | 3 | 1.00127632419 | 0.0399253120460 | 2 | 1.99824505424 | 0.0418586366216 | knapsack: **6234** ; bnb: **11** ; cg: **13** ; srd: **10** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.97318245 | 127.095857143 | 104 | 232 | 6778 | 6768 | 0 | 6749 | bnb: **19** ; Total: **19** | 0.00050038 | 0.05583661 | 0.0238110510031 | 0.0130836804271 | 0.48097659 | 0.0000710662810284 | 0.000707200000 | 0.481683790000 | 1 | 3 | 1.00147754137 | 0.0420847740686 | 2 | 1.99719267139 | 0.0529137146908 | knapsack: **6681** ; bnb: **19** ; cg: **52** ; srd: **16** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.65822206 | 125.301866667 | 98 | 232 | 7280 | 7268 | 0 | 7244 | bnb: **24** ; Total: **24** | 0.00050038 | 0.08821268 | 0.0230817189067 | 0.0133731753356 | 0.51648746 | 0.0000710632168409 | 0.000666400000 | 0.517153860000 | 1 | 3 | 1.00165107320 | 0.0438610386837 | 2 | 1.99669785360 | 0.0573732962868 | knapsack: **7109** ; bnb: **24** ; cg: **106** ; srd: **29** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.28776804 | 123.216625000 | 84 | 232 | 7788 | 7768 | 0 | 7740 | bnb: **28** ; Total: **28** | 0.00050038 | 0.08821268 | 0.0225092611770 | 0.0136197163752 | 0.53994879 | 0.0000695093704943 | 0.000571200000 | 0.540519990000 | 1 | 3 | 1.00257466529 | 0.0555280684218 | 2 | 1.99639546859 | 0.0599333060515 | knapsack: **7505** ; bnb: **28** ; cg: **184** ; srd: **51** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.00196522 | 120.616470588 | 70 | 233 | 8291 | 8267 | 0 | 8226 | bnb: **41** ; Total: **41** | 0.00050038 | 0.08821268 | 0.0221863300049 | 0.0137833241889 | 0.58520338 | 0.0000707878771017 | 0.000476000000 | 0.585679380000 | 1 | 3 | 1.00290310875 | 0.0581286580715 | 2 | 1.99504052256 | 0.0702529574716 | knapsack: **7871** ; bnb: **41** ; cg: **290** ; srd: **65** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 4.70017034 | 117.380444444 | 56 | 233 | 8796 | 8767 | 0 | 8718 | bnb: **49** ; Total: **49** | 0.00050038 | 0.08821268 | 0.0220888874616 | 0.0138775316863 | 0.62043875 | 0.0000707697901220 | 0.000380800000 | 0.620819550000 | 1 | 3 | 1.00330785902 | 0.0612666438840 | 2 | 1.99441085890 | 0.0745555942139 | knapsack: **8313** ; bnb: **49** ; cg: **322** ; srd: **83** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 4.41036391 | 113.921789474 | 49 | 234 | 9297 | 9266 | 0 | 9208 | bnb: **58** ; Total: **58** | 0.00050038 | 0.08821268 | 0.0220800061827 | 0.0139540197334 | 0.64737346 | 0.0000698654716167 | 0.000333200000 | 0.647706660000 | 1 | 3 | 1.00334556443 | 0.0613715230600 | 2 | 1.99374055687 | 0.0788728969245 | knapsack: **8759** ; bnb: **58** ; cg: **339** ; srd: **110** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 4.11998326 | 110.304800000 | 38 | 235 | 9798 | 9765 | 0 | 9701 | bnb: **64** ; Total: **64** | 0.00050038 | 0.08821268 | 0.0221427545171 | 0.0139541502065 | 0.68939595 | 0.0000705986635945 | 0.000258400000 | 0.689654350000 | 1 | 3 | 1.00337941628 | 0.0614655101434 | 2 | 1.99344598054 | 0.0806952980671 | knapsack: **9170** ; bnb: **64** ; cg: **418** ; srd: **113** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 3.86204428 | 106.726571429 | 31 | 235 | 10303 | 10265 | 0 | 10199 | bnb: **66** ; Total: **66** | 0.00050029 | 0.08821268 | 0.0222689866252 | 0.0139819113915 | 0.72475119 | 0.0000706041100828 | 0.000210800000 | 0.724961990000 | 1 | 3 | 1.00370189966 | 0.0638613071000 | 2 | 1.99357038480 | 0.0799305801427 | knapsack: **9639** ; bnb: **66** ; cg: **421** ; srd: **139** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 3.53386779 | 103.237454545 | 28 | 235 | 10806 | 10765 | 0 | 10697 | bnb: **68** ; Total: **68** | 0.00050029 | 0.08821268 | 0.0223052915341 | 0.0139140716649 | 0.75495841 | 0.0000701308323270 | 0.000190400000 | 0.755148810000 | 1 | 3 | 1.00380863911 | 0.0645452936101 | 2 | 1.99368323270 | 0.0792303533209 | knapsack: **10063** ; bnb: **68** ; cg: **484** ; srd: **150** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 3.25118152 | 99.7870434783 | 21 | 235 | 11307 | 11265 | 0 | 11193 | bnb: **72** ; Total: **72** | 0.00050029 | 0.08821268 | 0.0223109833896 | 0.0138396019845 | 0.79356664 | 0.0000704453297825 | 0.000142800000 | 0.793709440000 | 1 | 3 | 1.00372836218 | 0.0637958062848 | 2 | 1.99360852197 | 0.0796943588748 | knapsack: **10538** ; bnb: **72** ; cg: **498** ; srd: **157** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 2.92256756 | 96.4667500000 | 18 | 236 | 11806 | 11764 | 0 | 11688 | bnb: **76** ; Total: **76** | 0.00050029 | 0.08821268 | 0.0222542756015 | 0.0137574947977 | 0.83156691 | 0.0000706874285957 | 0.000122400000 | 0.831689310000 | 1 | 3 | 1.00357021421 | 0.0624325197240 | 2 | 1.99353961238 | 0.0801198894125 | knapsack: **11013** ; bnb: **76** ; cg: **506** ; srd: **169** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 2.57125243 | 93.2588800000 | 15 | 236 | 12308 | 12264 | 0 | 12186 | bnb: **78** ; Total: **78** | 0.00050029 | 0.08821268 | 0.0221368750788 | 0.0137108149626 | 0.86367777 | 0.0000704238233855 | 0.000102000000 | 0.863779770000 | 1 | 3 | 1.00358773646 | 0.0624607123329 | 2 | 1.99363992172 | 0.0794993271875 | knapsack: **11460** ; bnb: **78** ; cg: **543** ; srd: **183** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 2.21518449 | 90.1781538462 | 11 | 236 | 12808 | 12764 | 0 | 12683 | bnb: **81** ; Total: **81** | 0.00050029 | 0.08821268 | 0.0219326002862 | 0.0136337342489 | 0.89742432 | 0.0000703090191163 | 0.0000748000000 | 0.897499120000 | 1 | 3 | 1.00344719524 | 0.0612289733905 | 2 | 1.99365402695 | 0.0794115592112 | knapsack: **11940** ; bnb: **81** ; cg: **558** ; srd: **185** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 1.83259131 | 87.1723703704 | 6 | 236 | 13311 | 13264 | 0 | 13181 | bnb: **83** ; Total: **83** | 0.00050029 | 0.08821268 | 0.0217204839868 | 0.0136068073077 | 0.94172206 | 0.0000709983458987 | 0.0000408000000 | 0.941762860000 | 1 | 3 | 1.00354342581 | 0.0619090224381 | 2 | 1.99374246080 | 0.0788596934996 | knapsack: **12415** ; bnb: **83** ; cg: **569** ; srd: **197** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 1.57143863 | 84.1535714286 | 1 | 236 | 13759 | 13708 | 0 | 13624 | bnb: **84** ; Total: **84** | 0.00007222 | 0.08821268 | 0.0215016437317 | 0.0136489178993 | 0.96602228 | 0.0000704714239860 | 0.00000680000000 | 0.966029080000 | 1 | 3 | 1.00372045521 | 0.0632353187402 | 2 | 1.99387219142 | 0.0780429552128 | knapsack: **12823** ; bnb: **84** ; cg: **601** ; srd: **200** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 11.45638868 | 86.7624137931 | 222 | 462 | 14005 | 13950 | 0 | 13864 | bnb: **86** ; Total: **86** | 0.00007222 | 0.08821268 | 0.0214111317131 | 0.0136383905615 | 0.98412428 | 0.0000705465433692 | 0.00150960000 | 0.98563388000 | 1 | 3 | 1.00394265233 | 0.0660115725977 | 2 | 1.99383512545 | 0.0782771237801 | knapsack: **12988** ; bnb: **86** ; cg: **673** ; srd: **203** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 11.12231049 | 91.1210666667 | 215 | 462 | 14508 | 14450 | 0 | 14358 | bnb: **92** ; Total: **92** | 0.00007222 | 0.08821268 | 0.0212160291726 | 0.0136393584581 | 1.01915170 | 0.0000705295294118 | 0.00146200000 | 1.02061370000 | 1 | 3 | 1.00401384083 | 0.0664323734460 | 2 | 1.99363321799 | 0.0795404546542 | knapsack: **13420** ; bnb: **92** ; cg: **721** ; srd: **217** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 10.82346807 | 94.5888025890 | 208 | 462 | 14960 | 14900 | 0 | 14806 | bnb: **94** ; Total: **94** | 0.00007222 | 0.08821268 | 0.0210519848089 | 0.0136391383943 | 1.04068250 | 0.0000698444630872 | 0.00141440000 | 1.04209690000 | 1 | 3 | 1.00402684564 | 0.0664350128400 | 2 | 1.99369127517 | 0.0791791991918 | knapsack: **13860** ; bnb: **94** ; cg: **722** ; srd: **224** |
----END SIMULATION RESULTS----


