id,input_amounts
0,['0.04444444']
1,['0.04444444']
2,['0.04444444']
3,['0.04444444']
4,['0.04444444']
5,['0.04444444']
6,['0.04444444']
7,['0.04444444']
8,['0.04444444']
9,['0.04444444']
10,['0.04444444']
11,['0.04444444']
12,['0.04444444']
13,['0.04444444']
14,['0.04444444']
15,['0.04444444']
16,['0.04444444']
17,['0.04444444']
18,['0.04444444']
19,['0.04444444']
20,['0.04444444']
21,['0.04444444']
22,['0.04444444']
23,['0.04444444']
24,['0.04444444']
25,['0.04444444']
26,['0.04444444']
27,['0.04444444']
28,['0.04444444']
29,['0.04444444']
30,['0.04444444']
31,['0.04444444']
32,['0.04444444']
33,['0.04444444']
34,['0.04444444']
35,['0.04444444']
36,['0.04444444']
37,['0.04444444']
38,['0.04444444']
39,['0.04444444']
40,['0.04444444']
41,['0.04444444']
42,['0.04444444']
43,['0.04444444']
44,['0.04444444']
45,['0.04444444']
46,['0.04444444']
47,['0.04444444']
48,['0.04444444']
49,['0.04444444']
50,['0.04444444']
51,['0.04444444']
52,['0.04444444']
53,['0.04444444']
54,['0.04444444']
55,['0.04444444']
56,['0.04444444']
57,['0.04444444']
58,['0.04444444']
59,['0.04444444']
60,['0.04444444']
61,['0.04444444']
62,['0.04444444']
63,['0.04444444']
64,['0.04444444']
65,['0.04444444']
66,['0.04444444']
67,['0.04444444']
68,['0.04444444']
69,['0.04444444']
70,['0.04444444']
71,['0.04444444']
72,['0.04444444']
73,['0.04444444']
74,['0.04444444']
75,['0.04444444']
76,['0.04444444']
77,['0.04444444']
78,['0.04444444']
79,['0.04444444']
80,['0.04444444']
81,['0.04444444']
82,['0.04444444']
83,['0.04444444']
84,['0.04444444']
85,['0.04444444']
86,['0.04444444']
87,['0.04444444']
88,['0.04444444']
89,['0.04444444']
90,['0.04444444']
91,['0.04444444']
92,['0.04444444']
93,['0.04444444']
94,['0.04444444']
95,['0.04444444']
96,['0.04444444']
97,['0.04444444']
98,['0.04444444']
99,['0.04444444']
100,['0.04444444']
101,['0.00060648']
102,['0.00016591']
103,['0.00053460']
104,['0.00013721']
105,['0.04444444']
106,['0.00015653']
107,['0.00015645']
108,['0.00016127']
109,['0.00015515']
110,['0.00015771']
111,['0.04444444']
112,['0.00057323']
113,['0.00210781']
114,['0.00019866']
115,['0.00017006']
116,['0.00054665']
117,['0.00014032']
118,['0.00013940']
119,['0.00055531']
120,['0.00014854']
121,['0.00204828']
122,['0.00015135']
123,['0.00015683']
124,['0.00014685']
125,['0.00014992']
126,['0.00016089']
127,['0.00018508']
128,['0.00018342']
129,['0.00060181']
130,['0.00061342']
131,['0.00060227']
132,['0.00018655']
133,['0.00018678']
134,['0.00022718']
135,['0.04444444']
136,['0.04444444']
137,['0.00064089']
138,['0.00023007']
139,['0.00023319']
140,['0.00064865']
141,['0.00063138']
142,['0.00023141']
143,['0.00064065']
144,['0.00064632']
145,['0.01016955']
146,['0.00021668']
147,['0.00023142']
148,['0.00214628']
149,['0.04444444']
150,['0.04444444']
151,['0.00070993']
152,['0.04444444']
153,['0.04444444']
154,['0.00070503']
155,['0.04444444']
156,['0.00019520']
157,['0.00017291']
158,['0.00016888']
159,['0.00016870']
160,['0.00016872']
161,['0.00017456']
162,['0.00058035']
163,['0.00056901']
164,['0.00017700']
165,['0.00016987']
166,['0.00016192']
167,['0.00018331']
168,['0.00019227']
169,['0.00058470']
170,['0.00018082']
171,['0.00020298']
172,['0.00020029']
173,['0.00020068']
174,['0.00058843']
175,['0.00018239']
176,['0.00211571']
177,['0.00022841']
178,['0.00024457']
179,['0.00023723']
180,['0.00063551']
181,['0.00209433']
182,['0.00018320']
183,['0.00016890']
184,['0.00016939']
185,['0.00206896']
186,['0.00206928']
187,['0.00016369']
188,['0.00014583']
189,['0.00014680']
190,['0.00056077']
191,['0.00016443']
192,['0.00016194']
193,['0.00015386']
194,['0.00054249']
195,['0.00014633']
196,['0.00014778']
197,['0.00014588']
198,['0.00015008']
199,['0.00016032']
200,['0.00015720']
201,['0.00015353']
202,['0.00014903']
203,['0.01005000']
204,['0.00054556']
205,['0.00014377']
206,['0.00014177']
207,['0.00013995']
208,['0.00053597']
209,['0.00013294']
210,['0.00053283']
211,['0.00013618']
212,['0.00013623']
213,['0.00053650']
214,['0.00013576']
215,['0.00012644']
216,['0.00013898']
217,['0.00057076']
218,['0.00016515']
219,['0.00015387']
220,['0.00053157']
221,['0.00011821']
222,['0.00015688']
223,['0.00014711']
224,['0.00014652']
225,['0.00054127']
226,['0.00013850']
227,['0.00053353']
228,['0.00012108']
229,['0.00202603']
230,['0.00013108']
231,['0.00013517']
232,['0.00013055']
233,['0.00052421']
234,['0.00011111']
235,['0.00051249']
236,['0.00011998']
237,['0.00011786']
238,['0.00011788']
239,['0.00011986']
240,['0.00011655']
241,['0.00201057']
242,['0.00010666']
243,['0.00011460']
244,['0.00012232']
245,['0.00052187']
246,['0.00012236']
247,['0.00052241']
248,['0.00010761']
249,['0.00010771']
250,['0.00011789']
251,['0.00011970']
252,['0.00051957']
253,['0.00050927']
254,['0.00010820']
255,"['0.00021144', '0.00016052', '0.00019287', '0.00019974']"
256,['0.00010696']
257,['0.00201249']
258,['0.00011724']
259,['0.00051697']
260,['0.00012049']
261,['0.00011809']
262,['0.00010222']
263,['0.00011251']
264,['0.00011870']
265,['0.00011755']
266,['0.00011928']
267,['0.00011590']
268,['0.00202033']
269,['0.04444444']
270,['0.00012109']
271,['0.00053793']
272,['0.00012119']
273,['0.00012072']
274,['0.00011851']
275,['0.00050278']
276,"['0.00066885', '0.00023159', '0.00219241']"
277,"['0.00050170', '0.00018948', '0.00012099', '0.00015226', '0.00225854', '0.00022738', '0.00013041', '0.00018463', '0.00012635', '0.00020177', '0.00021879', '0.00012125', '0.00020084', '0.00060033', '0.00066160', '0.00059470', '0.00023351', '0.00020968', '0.00018142', '0.00024692', '0.00248733', '0.00013570', '0.00020830', '0.00023915', '0.00018306']"
278,['0.00010523']
279,['0.00011205']
280,['0.00051907']
281,['0.00050824']
282,['0.00010565']
283,"['0.00023523', '0.00012102', '0.00024441', '0.00016421']"
284,['0.00010699']
285,['0.00051156']
286,['0.00011137']
287,['0.00011312']
288,['0.00011576']
289,['0.00050829']
290,['0.00010181']
291,['0.00010115']
292,"['0.00021723', '0.00016942', '0.00063181']"
293,['0.00010705']
294,['0.00201303']
295,['0.00012088']
296,['0.00013342']
297,['0.00013333']
298,['0.00052462']
299,['0.00012599']
300,['0.00202662']
301,['0.00012607']
302,['0.00013068']
303,['0.00012804']
304,['0.00052260']
305,['0.00052152']
306,['0.00013115']
307,['0.00012886']
308,['0.00052969']
309,['0.00053374']
310,['0.00052987']
311,['0.00012056']
312,['0.00010654']
313,['0.00010924']
314,['0.00012274']
315,['0.00012006']
316,['0.00011658']
317,['0.00010680']
318,"['0.00010553', '0.00017575', '0.00013905', '0.00022819']"
319,['0.00050747']
320,['0.00011859']
321,['0.00011520']
322,['0.00011621']
323,['0.00012066']
324,['0.00051439']
325,['0.00050789']
326,['0.00201696']
327,['0.00053026']
328,['0.00052541']
329,['0.00012144']
330,['0.00012201']
331,['0.00012786']
332,['0.00202810']
333,['0.00011140']
334,['0.00201310']
335,['0.00010609']
336,"['0.00017102', '0.00228768', '0.00017536', '0.00016323']"
337,['0.00010802']
338,"['0.00963156', '0.00024999', '0.00014150']"
339,"['0.00013635', '0.00013523', '0.00021682', '0.00021523']"
340,['0.00010426']
341,['0.00011071']
342,['0.00201453']
343,['0.00011426']
344,['0.00011409']
345,"['0.00021291', '0.00011757', '0.00050630', '0.00024164']"
346,"['0.00205141', '0.00237229', '0.00011163', '0.00024153', '0.00067528', '0.00010774', '0.01169489']"
347,['0.00010877']
348,['0.00050834']
349,['0.00051609']
350,['0.00201869']
351,['0.00051709']
352,['0.00010696']
353,"['0.00024985', '0.00019335', '0.00156161']"
354,"['0.00011992', '0.00012934', '0.00014003', '0.00020103', '0.00019777']"
355,"['0.00063182', '0.00023694', '0.00023580']"
356,['0.00010321']
357,['0.00065522']
358,['0.00010204']
359,['0.00010144']
360,"['0.00067820', '0.00010888']"
361,"['0.00020941', '0.00021072', '0.00011721', '0.00247559']"
362,"['0.00012829', '0.00019819', '0.00024269', '0.00016656']"
363,"['0.00096564', '0.00019448', '0.00024970']"
364,"['0.00017260', '0.00024937', '0.00079160']"
365,"['0.00022266', '0.00024897', '0.04408826']"
366,['0.00010199']
367,"['0.00018770', '0.00012076', '0.00015657', '0.00054846']"
368,"['0.00022964', '0.00013314', '0.00021157', '0.00023123', '0.00023454', '0.00021436']"
369,['0.00010762']
370,['0.00051365']
371,['0.00012171']
372,['0.00011914']
373,['0.00010973']
374,['0.00010203']
375,['0.00010489']
376,['0.00201798']
377,['0.00202045']
378,['0.00011487']
379,['0.00050952']
380,['0.00011196']
381,['0.00011148']
382,['0.00010787']
383,['0.00050877']
384,['0.00010503']
385,"['0.00010565', '0.00013666', '0.00019396', '0.00011623', '0.01318951']"
386,['0.00066086']
387,"['0.00050401', '0.00056839']"
388,['0.00258851']
389,['0.00011369']
390,['0.00010988']
391,['0.00011100']
392,['0.00011371']
393,['0.00051400']
394,['0.00011121']
395,['0.00050980']
396,['0.00011416']
397,['0.00051733']
