----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets-presplit
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets-presplit | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.85892258 | 1307.87200000 | 4783 | 225 | 278 | 275 | 0 | 112 | bnb: **163** ; Total: **163** | 0.00050058 | 0.04414424 | 0.00449500607143 | 0.0118405225247 | 0.04340155 | 0.000157823818182 | 0.0325244000 | 0.0759259500 | 1 | 4 | 1.01090909091 | 0.180906806747 | 50 | 18.5927272727 | 23.0975703729 | knapsack: **101** ; bnb: **163** ; cg: **9** ; srd: **2** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.79389120 | 2892.16700000 | 4225 | 229 | 897 | 771 | 0 | 184 | bnb: **586** ; knapsack: **1** ; Total: **587** | 0.00050058 | 0.04445292 | 0.00564511152174 | 0.0123058473251 | 0.07273991 | 0.0000943448897536 | 0.0287300000 | 0.1014699100 | 1 | 25 | 1.16342412451 | 1.07353558383 | 50 | 7.36835278859 | 16.1203021067 | knapsack: **123** ; bnb: **586** ; cg: **28** ; srd: **34** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.53077432 | 3252.06000000 | 3702 | 230 | 1489 | 1270 | 0 | 259 | bnb: **1010** ; knapsack: **1** ; Total: **1011** | 0.00050058 | 0.04445292 | 0.00608008795367 | 0.0124171757756 | 0.09519743 | 0.0000749586062992 | 0.0251736000 | 0.1203710300 | 1 | 25 | 1.17244094488 | 1.00480933078 | 50 | 4.92519685039 | 12.9212896844 | knapsack: **152** ; bnb: **1010** ; cg: **41** ; srd: **67** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 9.14648323 | 3308.90350000 | 3211 | 230 | 2073 | 1770 | 0 | 357 | bnb: **1412** ; knapsack: **1** ; Total: **1413** | 0.00050058 | 0.04632838 | 0.00645824310924 | 0.0123514688403 | 0.13045858 | 0.0000737054124294 | 0.0218348000 | 0.1522933800 | 1 | 25 | 1.17118644068 | 1.04427982613 | 50 | 3.87175141243 | 11.0740323770 | knapsack: **196** ; bnb: **1412** ; cg: **72** ; srd: **90** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 8.83376601 | 3241.81640000 | 2723 | 230 | 2721 | 2270 | 0 | 544 | bnb: **1725** ; knapsack: **1** ; Total: **1726** | 0.00050004 | 0.08231743 | 0.00747554404412 | 0.0136645197952 | 0.16125876 | 0.0000710391013216 | 0.0185164000 | 0.1797751600 | 1 | 25 | 1.19867841410 | 1.09113096603 | 50 | 3.32158590308 | 9.83533986300 | knapsack: **302** ; bnb: **1725** ; cg: **97** ; srd: **146** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 8.56874749 | 3123.61100000 | 2365 | 230 | 3327 | 2770 | 0 | 758 | bnb: **2009** ; knapsack: **3** ; Total: **2012** | 0.00050004 | 0.08231743 | 0.00795858476253 | 0.0142791959319 | 0.18801214 | 0.0000678744187726 | 0.0160820000 | 0.2040941400 | 1 | 25 | 1.20108303249 | 1.02320437031 | 50 | 2.97978339350 | 8.93540213381 | knapsack: **433** ; bnb: **2009** ; cg: **119** ; srd: **209** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 8.26743832 | 2984.15085714 | 1907 | 230 | 3942 | 3270 | 0 | 971 | bnb: **2295** ; knapsack: **4** ; Total: **2299** | 0.00050004 | 0.08231743 | 0.00853053639547 | 0.0147893483941 | 0.22043818 | 0.0000674122874618 | 0.0129676000 | 0.2334057800 | 1 | 25 | 1.20550458716 | 0.991536672651 | 50 | 2.74220183486 | 8.24498097460 | knapsack: **539** ; bnb: **2295** ; cg: **154** ; srd: **282** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.92730420 | 2831.24150000 | 1578 | 230 | 4539 | 3770 | 0 | 1215 | bnb: **2549** ; knapsack: **6** ; Total: **2555** | 0.00050004 | 0.08231743 | 0.00880254533333 | 0.0152120977680 | 0.25515570 | 0.0000676805570292 | 0.0107304000 | 0.2658861000 | 1 | 25 | 1.20397877984 | 0.950923685274 | 50 | 2.57586206897 | 7.69256727349 | knapsack: **673** ; bnb: **2549** ; cg: **200** ; srd: **348** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.62542774 | 2674.12800000 | 1288 | 231 | 5146 | 4269 | 0 | 1510 | bnb: **2753** ; knapsack: **6** ; Total: **2759** | 0.00050004 | 0.08231743 | 0.00908512917219 | 0.0155951991956 | 0.28381817 | 0.0000664835254158 | 0.00875840000 | 0.29257657000 | 1 | 25 | 1.20543452799 | 0.917755952586 | 50 | 2.46076364488 | 7.23777251391 | knapsack: **838** ; bnb: **2753** ; cg: **236** ; srd: **442** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.32524447 | 2516.60540000 | 917 | 232 | 5776 | 4768 | 0 | 1830 | bnb: **2932** ; knapsack: **6** ; Total: **2938** | 0.00050004 | 0.08863163 | 0.00930281326776 | 0.0158103805383 | 0.31418188 | 0.0000658938506711 | 0.00623560000 | 0.32041748000 | 1 | 25 | 1.21140939597 | 0.890112968609 | 50 | 2.375 | 6.85483603076 | knapsack: **1006** ; bnb: **2932** ; cg: **284** ; srd: **546** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 7.00487395 | 2361.23800000 | 656 | 232 | 6366 | 5268 | 0 | 2115 | bnb: **3147** ; knapsack: **6** ; Total: **3153** | 0.00050004 | 0.08863163 | 0.00909299829787 | 0.0156184709094 | 0.35575697 | 0.0000675316951405 | 0.00446080000 | 0.36021777000 | 1 | 25 | 1.20842824601 | 0.863708934964 | 50 | 2.29859529233 | 6.52740727101 | knapsack: **1151** ; bnb: **3147** ; cg: **370** ; srd: **600** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 6.66038404 | 2241.50733333 | 1301 | 232 | 7039 | 5768 | 0 | 2355 | bnb: **3405** ; knapsack: **8** ; Total: **3413** | 0.00050004 | 0.08863163 | 0.00870939815287 | 0.0152964834962 | 0.39200701 | 0.0000679623803745 | 0.00884680000 | 0.40085381000 | 1 | 25 | 1.22035367545 | 0.854097974377 | 117 | 2.40776699029 | 7.04816263320 | knapsack: **1282** ; bnb: **3405** ; cg: **429** ; srd: **652** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 6.35444134 | 2148.84153846 | 759 | 232 | 7702 | 6268 | 0 | 2541 | bnb: **3718** ; knapsack: **9** ; Total: **3727** | 0.00050004 | 0.08863163 | 0.00902343287682 | 0.0155205076699 | 0.41523264 | 0.0000662464326739 | 0.00516120000 | 0.42039384000 | 1 | 25 | 1.22878111040 | 0.847369698376 | 117 | 2.32514358647 | 6.76835668426 | knapsack: **1354** ; bnb: **3718** ; cg: **459** ; srd: **737** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.99498733 | 2038.98114286 | 550 | 232 | 8323 | 6768 | 0 | 2787 | bnb: **3972** ; knapsack: **9** ; Total: **3981** | 0.00050003 | 0.08863163 | 0.00866124728023 | 0.0152660071597 | 0.45967189 | 0.0000679184234634 | 0.00374000000 | 0.46341189000 | 1 | 25 | 1.22975768322 | 0.833193340523 | 117 | 2.29033687943 | 6.54387481738 | knapsack: **1443** ; bnb: **3972** ; cg: **557** ; srd: **796** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.67891296 | 1947.13240000 | 657 | 232 | 8964 | 7268 | 0 | 2984 | bnb: **4274** ; knapsack: **10** ; Total: **4284** | 0.00050003 | 0.08863163 | 0.00839415540214 | 0.0149817599306 | 0.49441934 | 0.0000680268767199 | 0.00446760000 | 0.49888694000 | 1 | 25 | 1.23335167859 | 0.823842750829 | 117 | 2.29650522840 | 6.55367094797 | knapsack: **1547** ; bnb: **4274** ; cg: **620** ; srd: **827** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.30662300 | 1857.71475000 | 982 | 232 | 9718 | 7768 | 0 | 3263 | bnb: **4493** ; knapsack: **12** ; Total: **4505** | 0.00050003 | 0.08863163 | 0.00825032719583 | 0.0148291822973 | 0.52102775 | 0.0000670736032441 | 0.00667760000 | 0.52770535000 | 1 | 25 | 1.25102986612 | 0.829829773789 | 119 | 2.35723480947 | 6.80451982684 | knapsack: **1670** ; bnb: **4493** ; cg: **675** ; srd: **930** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 5.02549361 | 1797.08317647 | 660 | 233 | 10275 | 8267 | 0 | 3442 | bnb: **4813** ; knapsack: **12** ; Total: **4825** | 0.00050001 | 0.08863163 | 0.00805851653399 | 0.0146409361910 | 0.56354652 | 0.0000681682012822 | 0.00448800000 | 0.56803452000 | 1 | 25 | 1.24289343172 | 0.813647056578 | 119 | 2.33034958268 | 6.69725555350 | knapsack: **1764** ; bnb: **4813** ; cg: **732** ; srd: **958** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 4.72344093 | 1734.67233333 | 525 | 233 | 10903 | 8767 | 0 | 3635 | bnb: **5118** ; knapsack: **14** ; Total: **5132** | 0.00050001 | 0.08863163 | 0.00791876653920 | 0.0145564073190 | 0.60181712 | 0.0000686457305806 | 0.00357000000 | 0.60538712000 | 1 | 25 | 1.24364092620 | 0.807899552077 | 119 | 2.30911372191 | 6.56589044890 | knapsack: **1873** ; bnb: **5118** ; cg: **774** ; srd: **1002** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 4.43023714 | 1672.46778947 | 373 | 234 | 11583 | 9266 | 0 | 3875 | bnb: **5372** ; knapsack: **19** ; Total: **5391** | 0.00050001 | 0.08863163 | 0.00798449936774 | 0.0145779528989 | 0.62775351 | 0.0000677480584934 | 0.00253640000 | 0.63028991000 | 1 | 25 | 1.25005396072 | 0.823928761940 | 119 | 2.27681847615 | 6.40785877967 | knapsack: **1997** ; bnb: **5372** ; cg: **820** ; srd: **1077** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 4.13817818 | 1612.29190000 | 305 | 235 | 12199 | 9765 | 0 | 4028 | bnb: **5717** ; knapsack: **20** ; Total: **5737** | 0.00050001 | 0.08863163 | 0.00798989282274 | 0.0145892388787 | 0.67173946 | 0.0000687905232975 | 0.00207400000 | 0.67381346000 | 1 | 25 | 1.24925755248 | 0.821870943228 | 119 | 2.26728110599 | 6.32152961042 | knapsack: **2046** ; bnb: **5717** ; cg: **879** ; srd: **1123** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 3.87493283 | 1594.16638095 | 1611 | 235 | 12905 | 10265 | 0 | 4180 | bnb: **6063** ; knapsack: **22** ; Total: **6085** | 0.00050001 | 0.08863163 | 0.00780539555024 | 0.0144507077731 | 0.71136131 | 0.0000692996892353 | 0.0109548000 | 0.7223161100 | 1 | 25 | 1.25718460789 | 0.829422452759 | 123 | 2.39308329274 | 7.35245165204 | knapsack: **2136** ; bnb: **6063** ; cg: **900** ; srd: **1166** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 3.54997890 | 1583.23218182 | 1119 | 235 | 13519 | 10765 | 0 | 4313 | bnb: **6428** ; knapsack: **24** ; Total: **6452** | 0.00050001 | 0.08863163 | 0.00783937724786 | 0.0144512602793 | 0.73766012 | 0.0000685239312587 | 0.00760920000 | 0.74526932000 | 1 | 25 | 1.25582907571 | 0.838138139689 | 123 | 2.34138411519 | 7.18433572440 | knapsack: **2198** ; bnb: **6428** ; cg: **937** ; srd: **1202** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 3.27369222 | 1554.18991304 | 691 | 235 | 14112 | 11265 | 0 | 4502 | bnb: **6738** ; knapsack: **25** ; Total: **6763** | 0.00050001 | 0.08863163 | 0.00780710145047 | 0.0144094038271 | 0.77123169 | 0.0000684626444740 | 0.00469880000 | 0.77593049000 | 1 | 25 | 1.25272969374 | 0.831160205437 | 123 | 2.30013315579 | 7.02698892224 | knapsack: **2307** ; bnb: **6738** ; cg: **966** ; srd: **1254** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 2.94810098 | 1511.82666667 | 376 | 236 | 14725 | 11764 | 0 | 4787 | bnb: **6951** ; knapsack: **26** ; Total: **6977** | 0.00050001 | 0.08863163 | 0.00770405393566 | 0.0142789415890 | 0.80589818 | 0.0000685054556273 | 0.00255680000 | 0.80845498000 | 1 | 25 | 1.25170010201 | 0.835216744290 | 123 | 2.27133628018 | 6.87893323127 | knapsack: **2474** ; bnb: **6951** ; cg: **1024** ; srd: **1315** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 2.59576299 | 1469.22928000 | 594 | 236 | 15376 | 12264 | 0 | 5022 | bnb: **7215** ; knapsack: **27** ; Total: **7242** | 0.00050001 | 0.08863163 | 0.00746671065114 | 0.0140836270882 | 0.83765271 | 0.0000683017539139 | 0.00403920000 | 0.84169191000 | 1 | 25 | 1.25375081539 | 0.850014868245 | 123 | 2.28400195695 | 6.87613539472 | knapsack: **2608** ; bnb: **7215** ; cg: **1075** ; srd: **1366** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 2.24281101 | 1426.23369231 | 237 | 236 | 16146 | 12764 | 0 | 5268 | bnb: **7469** ; knapsack: **27** ; Total: **7496** | 0.00050001 | 0.08863163 | 0.00728443319476 | 0.0139161157155 | 0.87486697 | 0.0000685417557192 | 0.00161160000 | 0.87647857000 | 1 | 25 | 1.26496396114 | 0.864288484601 | 123 | 2.33429959260 | 7.22644199387 | knapsack: **2735** ; bnb: **7469** ; cg: **1129** ; srd: **1431** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 1.86005039 | 1403.74229630 | 651 | 236 | 16718 | 13264 | 0 | 5370 | bnb: **7866** ; knapsack: **28** ; Total: **7894** | 0.00050001 | 0.08863163 | 0.00726206324767 | 0.0138494791953 | 0.91247914 | 0.0000687936625452 | 0.00442680000 | 0.91690594000 | 1 | 25 | 1.26040410133 | 0.855307693405 | 123 | 2.29304885404 | 7.09281812799 | knapsack: **2774** ; bnb: **7866** ; cg: **1171** ; srd: **1453** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 1.53405189 | 1367.88835714 | 253 | 236 | 17382 | 13764 | 0 | 5626 | bnb: **8108** ; knapsack: **30** ; Total: **8138** | 0.00050001 | 0.08863163 | 0.00708027643263 | 0.0136795528396 | 0.94425809 | 0.0000686034648358 | 0.00172040000 | 0.94597849000 | 1 | 25 | 1.26285963383 | 0.852952773931 | 123 | 2.27041557687 | 6.96806383618 | knapsack: **2935** ; bnb: **8108** ; cg: **1225** ; srd: **1496** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 11.39488204 | 1335.46468966 | 748 | 462 | 17712 | 14038 | 0 | 5739 | bnb: **8269** ; knapsack: **30** ; Total: **8299** | 0.00050001 | 0.08863163 | 0.00696039951211 | 0.0135709558097 | 0.96915828 | 0.0000690382020231 | 0.00508640000 | 0.97424468000 | 1 | 25 | 1.26171819347 | 0.848100155131 | 123 | 2.28387234649 | 7.02745898523 | knapsack: **2983** ; bnb: **8269** ; cg: **1281** ; srd: **1505** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 11.05887161 | 1320.09620000 | 1297 | 462 | 18376 | 14538 | 0 | 5926 | bnb: **8580** ; knapsack: **32** ; Total: **8612** | 0.00050001 | 0.08863163 | 0.00680694906176 | 0.0134177524517 | 1.00560132 | 0.0000691705406521 | 0.00881960000 | 1.01442092000 | 1 | 25 | 1.26399779887 | 0.846991952059 | 123 | 2.32246526345 | 7.12760819436 | knapsack: **3102** ; bnb: **8580** ; cg: **1312** ; srd: **1544** |
| bustabit-2019-2020-tiny-utxotargets-presplit | 10.76062647 | 1315.47533981 | 1093 | 462 | 18930 | 14988 | 0 | 6121 | bnb: **8831** ; knapsack: **36** ; Total: **8867** | 0.00050001 | 0.08863163 | 0.00682620237870 | 0.0134786259519 | 1.02850061 | 0.0000686216046170 | 0.00743240000 | 1.03593301000 | 1 | 25 | 1.26301040833 | 0.842315713387 | 123 | 2.30938083800 | 7.04488275703 | knapsack: **3229** ; bnb: **8831** ; cg: **1335** ; srd: **1593** |
----END SIMULATION RESULTS----


