"Time","1-2 blocks"
2022-04-18 00:00:00,2.69
2022-04-18 12:00:00,4.29
2022-04-19 00:00:00,4.47
2022-04-19 12:00:00,5.25
2022-04-20 00:00:00,4.86
2022-04-20 12:00:00,4.14
2022-04-21 00:00:00,4.02
2022-04-21 12:00:00,7.33
2022-04-22 00:00:00,6.58
2022-04-22 12:00:00,8.08
2022-04-23 00:00:00,7.44
2022-04-23 12:00:00,7.02
2022-04-24 00:00:00,6.97
2022-04-24 12:00:00,6.38
2022-04-25 00:00:00,5.67
2022-04-25 12:00:00,8.95
2022-04-26 00:00:00,8.46
2022-04-26 12:00:00,9.66
2022-04-27 00:00:00,9.37
2022-04-27 12:00:00,8.45
2022-04-28 00:00:00,7.95
2022-04-28 12:00:00,8.17
2022-04-29 00:00:00,7.38
2022-04-29 12:00:00,8.93
2022-04-30 00:00:00,8.39
2022-04-30 12:00:00,7.37
2022-05-01 00:00:00,7.22
2022-05-01 12:00:00,7.15
2022-05-02 00:00:00,6.97
2022-05-02 12:00:00,8.53
2022-05-03 00:00:00,6.99
2022-05-03 12:00:00,6.87
2022-05-04 00:00:00,6.17
2022-05-04 12:00:00,8.69
2022-05-05 00:00:00,13.3
2022-05-05 12:00:00,14.9
2022-05-06 00:00:00,13.7
2022-05-06 12:00:00,14.9
2022-05-07 00:00:00,14.0
2022-05-07 12:00:00,13.6
2022-05-08 00:00:00,13.7
2022-05-08 12:00:00,13.7
2022-05-09 00:00:00,13.8
2022-05-09 12:00:00,16.2
2022-05-10 00:00:00,17.1
2022-05-10 12:00:00,16.4
2022-05-11 00:00:00,14.8
2022-05-11 12:00:00,17.1
2022-05-12 00:00:00,18.2
2022-05-12 12:00:00,20.8
2022-05-13 00:00:00,20.1
2022-05-13 12:00:00,27.5
2022-05-14 00:00:00,67.6
2022-05-14 12:00:00,24.1
2022-05-15 00:00:00,23.3
2022-05-15 12:00:00,19.5
2022-05-16 00:00:00,14.7
2022-05-16 12:00:00,16.9
2022-05-17 00:00:00,15.5
2022-05-17 12:00:00,15.2
2022-05-18 00:00:00,14.3
2022-05-18 12:00:00,16.2
2022-05-19 00:00:00,15.3
2022-05-19 12:00:00,15.5
2022-05-20 00:00:00,14.8
2022-05-20 12:00:00,15.9
2022-05-21 00:00:00,14.5
2022-05-21 12:00:00,14.1
2022-05-22 00:00:00,13.7
2022-05-22 12:00:00,14.9
2022-05-23 00:00:00,15.1
2022-05-23 12:00:00,14.9
2022-05-24 00:00:00,12.2
2022-05-24 12:00:00,18.2
2022-05-25 00:00:00,19.2
2022-05-25 12:00:00,17.2
2022-05-26 00:00:00,16.6
2022-05-26 12:00:00,16.3
2022-05-27 00:00:00,15.7
2022-05-27 12:00:00,15.6
2022-05-28 00:00:00,16.0
2022-05-28 12:00:00,15.0
2022-05-29 00:00:00,14.3
2022-05-29 12:00:00,12.4
2022-05-30 00:00:00,8.78
2022-05-30 12:00:00,8.82
2022-05-31 00:00:00,6.83
2022-05-31 12:00:00,10.4
2022-06-01 00:00:00,12.7
2022-06-01 12:00:00,16.4
2022-06-02 00:00:00,17.3
2022-06-02 12:00:00,19.8
2022-06-03 00:00:00,19.6
2022-06-03 12:00:00,17.6
2022-06-04 00:00:00,19.0
2022-06-04 12:00:00,16.6
2022-06-05 00:00:00,16.2
2022-06-05 12:00:00,12.4
2022-06-06 00:00:00,11.1
2022-06-06 12:00:00,9.59
2022-06-07 00:00:00,7.68
2022-06-07 12:00:00,7.40
2022-06-08 00:00:00,9.10
2022-06-08 12:00:00,8.35
2022-06-09 00:00:00,7.80
2022-06-09 12:00:00,6.72
2022-06-10 00:00:00,7.19
2022-06-10 12:00:00,13.3
2022-06-11 00:00:00,14.3
2022-06-11 12:00:00,11.8
2022-06-12 00:00:00,11.1
2022-06-12 12:00:00,11.3
2022-06-13 00:00:00,10.4
2022-06-13 12:00:00,26.3
2022-06-14 00:00:00,20.8
2022-06-14 12:00:00,21.4
2022-06-15 00:00:00,22.4
2022-06-15 12:00:00,22.2
2022-06-16 00:00:00,22.5
2022-06-16 12:00:00,24.1
2022-06-17 00:00:00,20.2
2022-06-17 12:00:00,21.8
