"Time","1-2 blocks","3 blocks","6 blocks"
2023-12-01 00:00:00,87.6,52.7,43.8
2023-12-01 00:20:00,90.7,55.1,43.8
2023-12-01 00:40:00,130,79.0,43.8
2023-12-01 01:00:00,130,60.5,43.8
2023-12-01 01:20:00,136,81.7,43.8
2023-12-01 01:40:00,141,106,43.8
2023-12-01 02:00:00,142,127,51.3
2023-12-01 02:20:00,142,117,59.6
2023-12-01 02:40:00,142,113,59.6
2023-12-01 03:00:00,142,142,65.8
2023-12-01 03:20:00,142,138,68.4
2023-12-01 03:40:00,142,106,64.9
2023-12-01 04:00:00,142,106,59.5
2023-12-01 04:20:00,128,102,59.5
2023-12-01 04:40:00,106,95.4,59.5
2023-12-01 05:00:00,99.7,95.5,59.5
2023-12-01 05:20:00,95.6,95.6,59.5
2023-12-01 05:40:00,95.7,83.6,59.5
2023-12-01 06:00:00,95.7,79.9,59.5
2023-12-01 06:20:00,95.8,78.9,59.5
2023-12-01 06:40:00,95.8,78.9,43.8
2023-12-01 07:00:00,95.8,78.2,43.8
2023-12-01 07:20:00,91.5,75.2,43.8
2023-12-01 07:40:00,78.9,62.1,43.8
2023-12-01 08:00:00,79.0,52.4,43.8
2023-12-01 08:20:00,79.0,50.7,43.8
2023-12-01 08:40:00,79.0,50.7,43.8
2023-12-01 09:00:00,79.0,50.7,43.8
2023-12-01 09:20:00,79.0,50.7,43.8
2023-12-01 09:40:00,72.8,50.7,43.8
2023-12-01 10:00:00,59.3,50.7,43.8
2023-12-01 10:20:00,59.3,50.7,43.8
2023-12-01 10:40:00,59.3,50.7,43.8
2023-12-01 11:00:00,59.3,50.7,43.8
2023-12-01 11:20:00,59.3,50.7,43.8
2023-12-01 11:40:00,59.4,50.7,43.8
2023-12-01 12:00:00,59.4,50.7,43.8
2023-12-01 12:20:00,59.4,50.7,43.8
2023-12-01 12:40:00,59.4,50.7,43.8
2023-12-01 13:00:00,59.4,50.7,43.8
2023-12-01 13:20:00,59.4,50.7,43.8
2023-12-01 13:40:00,59.4,50.7,43.8
2023-12-01 14:00:00,59.4,50.7,43.8
2023-12-01 14:20:00,59.4,50.7,43.8
2023-12-01 14:40:00,59.4,50.7,44.7
2023-12-01 15:00:00,59.4,50.8,48.4
2023-12-01 15:20:00,59.4,52.0,48.5
2023-12-01 15:40:00,59.4,50.6,48.8
2023-12-01 16:00:00,59.4,50.7,48.5
2023-12-01 16:20:00,59.4,50.7,48.5
2023-12-01 16:40:00,59.4,52.9,50.0
2023-12-01 17:00:00,59.4,53.5,50.7
