"Time","1-2 blocks","3 blocks","6 blocks"
2023-04-01 00:00:00,40.0,40.0,25.7
2023-04-01 00:20:00,40.0,40.0,25.7
2023-04-01 00:40:00,40.0,40.0,25.7
2023-04-01 01:00:00,40.0,40.0,25.8
2023-04-01 01:20:00,40.0,40.0,25.8
2023-04-01 01:40:00,40.0,40.0,25.8
2023-04-01 02:00:00,40.0,40.0,25.8
2023-04-01 02:20:00,40.0,40.0,25.8
2023-04-01 02:40:00,40.0,40.0,25.8
2023-04-01 03:00:00,41.2,41.2,25.8
2023-04-01 03:20:00,41.8,41.8,25.8
2023-04-01 03:40:00,41.8,41.8,25.8
2023-04-01 04:00:00,41.8,41.8,25.8
2023-04-01 04:20:00,41.8,41.8,25.8
2023-04-01 04:40:00,41.8,41.8,25.8
2023-04-01 05:00:00,41.9,41.9,25.8
2023-04-01 05:20:00,41.9,41.9,25.8
2023-04-01 05:40:00,41.9,41.9,25.8
2023-04-01 06:00:00,41.9,41.9,25.8
2023-04-01 06:20:00,41.9,41.9,25.8
2023-04-01 06:40:00,41.9,41.9,25.8
2023-04-01 07:00:00,41.9,41.9,25.8
2023-04-01 07:20:00,41.9,41.9,25.8
2023-04-01 07:40:00,41.9,41.9,25.8
2023-04-01 08:00:00,41.9,41.9,25.8
2023-04-01 08:20:00,42.0,42.0,25.8
2023-04-01 08:40:00,42.0,42.0,25.8
2023-04-01 09:00:00,42.0,42.0,25.8
2023-04-01 09:20:00,42.0,42.0,25.8
2023-04-01 09:40:00,41.6,41.6,25.8
2023-04-01 10:00:00,35.2,35.2,24.6
2023-04-01 10:20:00,33.7,33.7,24.5
2023-04-01 10:40:00,30.2,30.2,24.5
2023-04-01 11:00:00,28.2,28.2,24.5
2023-04-01 11:20:00,28.2,27.5,24.5
2023-04-01 11:40:00,28.2,25.7,24.5
2023-04-01 12:00:00,28.2,25.7,24.5
2023-04-01 12:20:00,28.2,25.7,24.5
2023-04-01 12:40:00,28.2,25.7,24.5
2023-04-01 13:00:00,28.2,25.7,24.5
2023-04-01 13:20:00,28.3,25.7,24.6
2023-04-01 13:40:00,28.3,25.7,24.6
2023-04-01 14:00:00,28.3,25.7,24.6
2023-04-01 14:20:00,28.3,25.8,24.6
2023-04-01 14:40:00,28.3,25.8,24.6
2023-04-01 15:00:00,28.3,25.8,24.5
2023-04-01 15:20:00,28.3,25.8,24.4
2023-04-01 15:40:00,28.3,25.8,24.4
2023-04-01 16:00:00,28.3,25.8,24.4
2023-04-01 16:20:00,28.3,25.8,24.4
2023-04-01 16:40:00,28.3,25.8,24.4
2023-04-01 17:00:00,28.3,25.8,24.4
2023-04-01 17:20:00,26.5,25.8,24.4
2023-04-01 17:40:00,25.8,25.8,24.4
2023-04-01 18:00:00,25.8,25.8,24.4
2023-04-01 18:20:00,25.8,25.8,24.4
2023-04-01 18:40:00,25.8,25.8,24.4
2023-04-01 19:00:00,25.8,25.8,24.4
2023-04-01 19:20:00,25.8,25.8,24.4
